gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.15920675;0.40744713;-0.1133155;-4.56;-16.8;-41.16;2.9017725;5.5692124;7.3744407;
0.11995866;0.3830125;0.23487769;-3.1799998;-16.32;-41.76;2.9999347;5.5596356;8.2794485;
0.3282637;0.3811799;0.45051312;-2.7;-17.16;-42.6;2.2170308;5.722441;7.898771;
0.3392593;0.60231316;0.50976706;-1.4399999;-17.22;-41.04;1.9776106;6.395212;9.122208;
0.19081903;1.1808025;0.3820962;-0.59999996;-17.22;-41.34;1.2378023;7.1613564;9.629779;
0.35269833;1.3377949;0.08032878;0.06;-17.88;-41.399998;0.51235914;6.074389;10.817303;
0.71799576;1.3017539;0.6056729;2.34;-18.119999;-41.399998;0.2801216;4.6662993;10.927436;
0.8823185;1.6328428;0.8206975;4.98;-21.24;-41.46;2.1859062;4.297592;10.005669;
0.7375434;2.044566;1.144456;7.2;-23.58;-40.5;1.8435353;2.6479871;11.341633;
0.0613156;2.4740043;1.4877623;5.8199997;-25.08;-38.579998;0.29209262;2.3654714;13.118131;
1.5231161;2.7849348;2.0894647;8.22;-25.56;-37.38;4.8482585;0.7206547;15.589246;
1.5616007;3.14168;2.01555;7.56;-29.279999;-35.82;10.122984;3.122039;7.975385;
0.8639925;2.0738876;1.1133019;9.96;-32.82;-32.28;11.449371;5.4471083;0.23223756;
-0.17264579;1.3090842;0.9379836;10.139999;-34.26;-30.539999;8.310574;4.795586;2.0614076;
0.53351444;0.39278635;1.2330315;11.34;-33.96;-31.439999;7.4319015;6.2707133;4.501099;
0.53717965;0.204029;1.0760391;10.139999;-35.64;-30.0;6.01214;7.8221564;3.2704794;
0.24029912;-0.07880162;0.5653558;7.98;-37.44;-28.32;4.8865657;9.126996;3.8498764;
0.2616794;-0.16249016;0.21227567;7.02;-37.559998;-28.199999;3.6415808;10.297761;5.6434326;
0.5603925;-0.37812558;0.071776666;6.72;-38.34;-27.72;3.3135753;12.474091;7.5635824;
1.0118219;-0.39400807;-0.25137106;5.7599998;-38.64;-26.22;2.6551697;13.455713;7.865252;
1.261055;-0.112399206;-0.7266242;6.12;-39.84;-24.539999;2.2242134;12.996026;7.865252;
1.7931186;0.03176499;-0.7510588;8.16;-41.64;-22.619999;1.42455;11.640908;8.636185;
2.063121;-0.092240654;-0.8604037;9.84;-43.02;-17.94;0.4285621;10.654497;6.2252235;
2.135814;-0.2321288;-0.7357872;11.88;-44.219997;-14.58;1.6041151;10.726323;4.8626237;
2.3276258;-0.28771752;-0.6575964;13.679999;-43.739998;-8.4;1.5490485;10.125379;3.6272156;
2.4687355;-0.40866885;-0.50793445;15.299999;-44.579998;-4.56;2.7341783;9.881169;0.80205756;
1.510288;-0.52412236;-0.46517387;16.32;-43.2;1.02;1.5035586;8.538023;1.0702082;
1.705154;-0.61819565;-0.49021935;17.279999;-43.02;4.74;1.2952632;7.877223;0.7661445;
1.7827339;-0.6872234;-0.3032946;19.56;-41.28;8.88;0.33039984;6.8836293;-0.6464345;
0.8444449;-0.49418998;-0.5720753;20.34;-41.28;11.46;0.6655881;5.75596;-2.8682537;
0.19265163;-0.5186246;-0.71685034;22.8;-38.879997;12.48;0.21547815;4.1132383;-1.7190368;
0.28733575;-0.28893927;-0.24587326;23.939999;-38.82;12.179999;-1.6184803;2.861071;-1.8148049;
1.0240393;-0.59803706;0.65148777;24.18;-38.28;12.179999;-2.303222;3.6583402;-4.759673;
0.3056617;-0.84971356;0.8671232;23.22;-37.92;14.28;-0.7254431;5.882853;-7.295432;
0.04848743;-0.81000733;1.1267409;23.1;-38.399998;14.28;2.1547816;8.001721;-5.602731;
-0.0046578473;-0.95172805;0.72295904;21.359999;-39.84;12.96;1.5155296;8.241141;-6.2036757;
-0.2691625;-1.1050552;0.82619524;21.18;-40.079998;12.3;1.4772224;8.50211;-6.560412;
-0.13110696;-1.5039502;0.627664;19.68;-42.059998;10.32;1.7764976;9.517251;-6.632238;
-0.5067891;-1.7641789;0.68325275;19.68;-40.44;7.7999997;3.3901896;10.242694;-5.0951605;
-0.5483279;-1.7379116;0.121256754;18.359999;-42.12;4.92;1.6639702;9.517251;-3.799598;
-0.40905064;-2.071444;0.45540005;18.24;-42.54;0.9;1.769315;9.2586775;-3.5889084;
-0.2233476;-2.2864685;0.50976706;17.699999;-43.2;-1.9799999;1.3599066;9.589077;-1.7046716;
-0.19219348;-2.2363777;0.56230146;15.719999;-43.86;-4.44;3.1627405;10.539576;-2.9017725;
-0.4621959;-2.3988678;0.30268374;13.559999;-43.5;-6.42;0.61770403;8.8923645;-1.6927006;
-0.082237735;-2.6041186;0.73761976;11.34;-43.62;-9.42;0.5722142;9.488521;1.0127473;
-0.07979427;-2.2925773;0.55680364;9.48;-42.899998;-10.559999;1.0103531;10.233117;1.3694834;
0.05642868;-1.676825;0.3827071;6.7799997;-43.98;-11.82;-1.0582372;10.122984;4.8602295;
0.24640776;-0.9639453;0.35277468;6.66;-44.04;-11.04;-1.8938135;10.154109;3.7349546;
0.100410976;-0.09590584;0.18417588;5.58;-43.02;-10.92;-1.5921441;10.137349;2.6647465;
0.081474155;-0.004886922;0.0076358155;5.16;-43.739998;-10.86;-1.7310078;8.803779;0.36152446;
-0.29665142;0.2932153;0.37965274;4.56;-43.68;-10.08;-2.1571758;7.7862434;-1.1468226;
-0.37178785;0.31398472;0.33383787;4.2599998;-42.66;-10.139999;-0.19871874;7.7862434;-0.33758244;
-0.12744176;0.5540548;0.6032294;3.8999999;-42.96;-11.5199995;-0.8499416;7.156568;-1.0989386;
0.061926465;0.36651915;0.7791586;2.46;-43.98;-11.88;-0.15801731;6.9075713;-1.7549498;
0.51946455;0.4129449;1.1016954;0.71999997;-42.48;-11.34;1.316811;7.084742;-2.0398598;
-0.4114941;0.65057147;1.1065824;-1.1999999;-44.1;-10.8;2.7940333;9.268254;-1.5945383;
-0.6515641;0.5467244;0.92087936;-3.1799998;-43.32;-11.639999;2.3702598;8.794202;-1.9369092;
-0.8812495;0.15943582;0.7254025;-4.98;-41.04;-13.08;3.7493198;8.973767;-0.7278373;
-1.2599859;0.40683624;0.89461213;-6.8399997;-41.16;-15.299999;1.4891934;7.712023;1.6759412;
0.4742605;0.45631635;1.4046847;-6.8999996;-39.66;-18.24;5.71047;8.286632;3.2680852;
-0.40355286;0.43310347;1.4199562;-10.0199995;-40.2;-18.06;4.891354;8.664915;-1.9057846;
-1.2813662;0.6017023;0.70157874;-11.04;-38.34;-18.18;6.265925;9.471761;-0.4213795;
-0.5593235;0.080634214;1.0650436;-12.3;-37.86;-20.52;5.7511716;8.447042;2.834735;
-1.0956632;0.38056904;0.763887;-14.34;-36.0;-23.16;5.2028995;8.221988;1.0773908;
-0.46830457;0.04642576;0.98929626;-15.48;-35.1;-25.08;7.2930374;8.636185;2.4971523;
-1.2379948;0.31703907;0.5543602;-16.14;-34.559998;-26.279999;6.9458785;8.063971;1.3670892;
-1.0303006;0.021380283;0.71685034;-16.68;-31.92;-28.619999;6.0911484;6.6130843;3.8043866;
-0.7560221;0.025045475;0.86651236;-17.58;-30.24;-30.48;7.3864117;6.7375827;3.4763808;
-0.83848894;-0.09101892;0.9550878;-18.539999;-27.96;-32.1;7.4558434;6.751948;3.5242648;
-0.9686032;-0.032986723;0.72295904;-20.699999;-26.46;-33.059998;8.413524;6.586748;4.465186;
-0.9545533;-0.14477506;0.48899764;-21.84;-24.539999;-33.48;8.24593;6.2515597;3.3399115;
-1.0504591;0.06169739;0.52198434;-22.14;-22.32;-35.7;7.597101;5.372888;5.8110266;
-0.60391665;-0.0018325958;0.3943135;-22.199999;-21.06;-36.18;9.694422;6.0815716;3.7852328;
-1.2703706;0.22479841;0.17989981;-21.779999;-19.199999;-37.8;7.3816233;4.450821;5.7846904;
-0.5379432;0.1441642;0.44806966;-21.96;-16.68;-39.0;7.1230493;4.644751;5.576395;
-0.30642527;0.023823744;0.6417139;-22.26;-16.14;-39.899998;8.344092;4.8865657;6.1031194;
-0.33147076;0.19608775;0.3222314;-22.38;-14.34;-39.84;8.5499935;5.174169;4.6806645;
-0.6540076;0.070249505;0.102319926;-22.5;-12.54;-39.36;7.982568;4.390966;5.6889224;
-0.16653714;0.06780604;0.116980694;-21.72;-11.759999;-41.399998;7.712023;4.189853;6.2012815;
-0.017486017;0.0036651916;0.09315695;-21.42;-11.099999;-41.04;7.951443;3.9264908;5.1526213;
-0.02603813;0.28527406;0.08032878;-22.14;-10.44;-41.1;6.8381395;3.9001546;6.122273;
-0.0669661;0.28038713;0.13897185;-21.779999;-9.78;-41.399998;8.3512745;3.0765493;4.99221;
0.20303634;0.1282817;0.1328632;-21.24;-8.82;-40.98;7.10629;3.311181;5.2028995;
0.0045051314;-0.2724459;0.056505036;-20.76;-9.84;-41.16;8.030452;3.4117374;4.829105;
-0.25938866;-0.047036625;-0.14569137;-21.66;-9.719999;-40.8;7.6258316;2.9592333;5.9379196;
-0.020540344;-0.064751714;-0.06994407;-21.42;-9.48;-41.399998;7.4678144;3.083732;5.6793456;
-0.19585867;0.13683382;-0.13713925;-22.02;-9.719999;-41.219997;7.4654202;3.071761;5.016152;
-0.11522446;0.0842994;-0.14874569;-21.3;-8.4;-41.52;7.6737156;2.9640217;5.5476646;
-0.16103935;0.056199603;-0.17867808;-21.48;-8.639999;-41.34;7.364864;2.717419;5.2866964;
0.059483003;0.13255776;-0.2312125;-20.64;-8.88;-42.48;7.67611;3.0119057;5.7751136;
-0.14332426;0.5491679;-0.16890424;-20.1;-8.04;-41.16;7.692869;2.4851813;6.060024;
-0.08590292;0.15271631;-0.025350908;-18.779999;-7.62;-42.48;7.817368;3.0621839;7.261913;
