gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.055588737;0.37728566;0.062155537;-39.0;-1.1999999;-27.0;4.9730563;5.3561287;6.0911484;
0.08857546;0.3290273;0.26190847;-38.399998;-1.68;-28.32;4.27365;5.0807953;6.5292873;
0.54183745;0.4609742;0.93752545;-38.52;-1.4399999;-27.539999;3.0119057;4.5154643;9.392753;
1.958434;0.09628764;0.4353942;-37.92;-2.6399999;-28.14;1.6998832;6.4837976;11.427824;
1.8973475;0.64423376;0.6748534;-38.16;-5.16;-29.34;4.5992613;7.5875244;8.758289;
2.0146337;0.99242693;0.5520695;-37.5;-9.3;-29.34;4.9850273;6.301838;10.209175;
1.4862351;1.3058008;0.122020334;-36.54;-10.86;-29.76;6.7112465;6.538864;7.8006086;
1.1453724;1.9637027;0.19165897;-35.64;-13.74;-31.08;7.9921446;4.99221;12.028769;
1.5949692;3.5159113;0.44211373;-32.82;-14.04;-34.2;9.524434;3.9791632;12.359168;
3.6340373;3.4102316;0.6534731;-29.039999;-16.14;-36.059998;11.071088;1.9273324;8.655338;
3.196658;3.090749;0.41157046;-24.6;-21.42;-38.28;14.1548195;3.1244333;-1.7860745;
1.3005321;2.3687065;0.18188512;-20.039999;-25.199999;-37.02;9.55077;2.1068976;-5.336975;
0.86376345;1.1072696;0.34376442;-15.42;-27.48;-36.96;9.876381;3.5290532;-2.3391352;
0.9627236;0.6124688;0.32727104;-14.16;-28.38;-36.3;7.987356;6.3976064;-1.8387469;
0.91507614;-0.010613783;0.10125092;-13.74;-29.699999;-34.739998;7.4582376;11.772589;-2.681506;
0.41538838;-0.44310638;-0.27198774;-14.099999;-30.96;-34.44;8.059182;16.240469;-2.1787236;
0.22174409;-0.5658903;-1.0428997;-12.66;-31.32;-33.12;6.4814034;17.33462;2.6120741;
1.7073684;-0.89025974;-1.6122261;-13.139999;-33.42;-31.56;5.9498906;15.536573;3.3159695;
1.930945;-0.79496473;-1.5975653;-12.059999;-35.82;-28.439999;3.394978;11.370363;4.4005427;
2.9614747;-1.115669;-1.0703887;-10.32;-38.76;-23.34;1.7166426;8.739136;2.4372973;
2.144748;-1.0686324;-0.73929965;-8.5199995;-41.64;-16.5;2.5354595;8.104672;-0.47644615;
2.039679;-1.5041794;-0.8810204;-7.98;-42.0;-11.099999;2.9951463;7.9418664;-2.3558946;
0.41355577;-1.1865294;-0.7985536;-7.14;-42.96;-6.3599997;2.3702598;5.7607484;-1.7501614;
