gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.1877647;0.10392345;-0.039477166;-15.48;-25.08;-15.66;1.163582;5.743989;8.293814;
0.15798502;0.12896892;0.0045051314;-14.5199995;-24.84;-16.02;0.12449849;5.56203;8.9163065;
0.23189972;0.13752104;0.24701864;-13.5;-24.539999;-17.699999;-0.30406362;6.026505;8.9187;
0.16042848;0.43317983;0.36491564;-13.679999;-24.779999;-17.34;-1.0271125;6.368876;8.684069;
0.28871018;0.7538841;0.2506838;-14.5199995;-23.16;-18.0;-1.6112977;7.1254435;9.31135;
0.32597297;1.0287734;0.5066364;-13.559999;-23.4;-18.9;-3.9911342;7.0919247;10.1900215;
0.6680575;1.3225996;1.0222067;-13.44;-23.4;-21.0;-6.634632;6.184522;8.69604;
0.8055022;1.6665168;1.5243379;-13.5;-21.779999;-21.42;-5.822998;4.8602295;9.253889;
0.39683333;2.1014528;2.0154736;-13.259999;-21.06;-22.08;-8.724771;3.2489316;7.963414;
0.78290015;2.0195968;2.7094164;-14.099999;-19.8;-26.16;-3.6822822;2.9161377;10.877157;
0.7822893;2.98904;2.3453407;-14.28;-16.44;-27.0;-5.3250036;1.8195933;9.9434185;
0.51778466;2.7642417;2.7228556;-11.5199995;-16.08;-29.64;-2.7700913;0.8834604;10.984897;
0.4658611;2.667114;2.8358655;-9.48;-15.179999;-30.66;-0.33997664;0.7350199;12.581829;
0.566043;2.2804363;2.7863855;-6.3599997;-13.86;-31.38;3.9815574;1.2976574;10.944195;
0.275882;2.07824;1.9501109;-4.3199997;-13.679999;-31.26;8.904335;2.9161377;11.305719;
0.31436652;1.6103171;1.047252;-1.14;-13.139999;-30.599998;8.097489;4.3526587;9.495703;
0.330249;1.4111751;0.3459788;0.53999996;-13.0199995;-30.24;6.9434843;5.1214967;7.537246;
-0.005726862;0.54863334;0.802906;2.7;-13.139999;-29.519999;4.663905;5.7152586;7.264307;
0.13049608;-0.09644035;0.7351;2.9399998;-12.9;-29.939999;6.7208233;6.526893;6.4933743;
-0.14317155;-0.17035505;-0.012599096;1.9799999;-12.66;-29.88;6.1917048;7.793426;6.7926493;
0.06269005;-0.5930738;-0.22029328;1.4399999;-13.139999;-29.34;6.1533976;10.611402;9.380781;
0.73403096;-1.2002739;-0.19280434;0.9;-13.679999;-29.46;6.562806;15.708956;13.975255;
2.184225;-2.020666;-0.1811979;-0.9;-13.74;-28.74;3.4093432;16.52538;12.967296;
2.4304037;-2.4965298;0.18532124;-3.8999999;-16.92;-27.119999;3.904943;13.920188;8.79899;
2.1836143;-2.8483882;0.3740786;-9.78;-19.26;-22.439999;3.181894;12.155662;9.512463;
2.4365125;-3.1831424;0.18837558;-12.24;-21.06;-17.94;3.7014358;10.185233;8.528446;
1.9301051;-2.514245;-0.47563496;-16.38;-23.34;-10.32;0.4405331;6.728006;5.741595;
1.8940641;-2.5722773;-0.40172026;-15.36;-24.66;-4.08;-3.9911342;3.86903;1.3192052;
1.1946234;-1.897882;-0.070631295;-15.9;-24.6;1.14;-2.2984335;3.2609026;1.1611878;
0.7963392;-1.7860936;0.53534704;-14.5199995;-24.359999;4.62;-5.59076;2.9400797;-2.3654714;
0.62712955;-1.3481033;0.9226356;-15.0;-23.82;7.02;-2.2098482;3.7972038;-4.4580035;
-0.3862959;-0.07200574;0.4217261;-16.14;-23.4;8.4;-0.6488287;3.2202013;-5.2603602;
0.23373231;-0.6016259;0.31665727;-17.1;-23.34;7.3199997;-0.82121116;3.881001;-4.9371433;
-0.29772046;-0.38476875;0.44127378;-16.98;-23.34;8.22;1.4389153;5.090372;-5.9618616;
-0.3636939;-0.109268524;0.3551418;-17.76;-22.92;7.98;2.2697031;5.9259486;-5.2483892;
-0.5658903;-0.13309227;0.21158844;-18.6;-22.32;8.22;3.7804444;5.514146;-4.6399627;
-0.9049205;-0.024969118;0.09735665;-18.359999;-22.14;6.7799997;3.4213142;4.331111;-3.25372;
-1.0246501;-0.37377316;0.42416954;-20.039999;-22.32;6.0;3.632004;3.2752678;-3.8786068;
-1.5206727;-0.188681;0.025274549;-20.4;-21.359999;5.52;4.1946416;3.095703;-2.4516625;
-2.1822398;-0.37866008;0.12118039;-21.48;-21.72;2.9399998;3.2680852;2.243367;-2.2122424;
-2.7356837;-0.7879398;0.3581961;-22.859999;-21.779999;0.84;3.5745432;2.3223755;-0.2657564;
-3.109533;-0.14592044;-0.6692792;-23.46;-21.359999;-1.1999999;6.560412;3.4739866;4.687847;
-4.044768;-1.4605024;0.29955304;-23.76;-21.779999;-5.8799996;1.4987702;4.0533834;7.618649;
-4.151058;-0.564974;-0.5807038;-25.08;-21.0;-9.179999;7.4055653;7.726388;12.284948;
