gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.35850155;-0.2934444;-0.04734206;26.519999;-2.58;-42.36;-7.7670894;2.255338;5.346552;
0.56741744;-0.26106852;0.16646078;26.4;-5.1;-42.48;-7.9442606;1.946486;3.98874;
0.31390837;-0.3618613;0.2660318;27.0;-5.8199997;-43.079998;-8.389582;1.8171991;3.8043866;
0.013362677;-0.1474476;0.5531385;26.46;-6.42;-43.32;-12.079047;1.1923125;2.4995465;
0.43180537;0.06818783;0.93859446;25.14;-7.7999997;-43.14;-13.498809;0.6895301;2.6168625;
0.16730072;1.0669525;1.3600914;24.66;-10.38;-42.54;-15.122376;-1.508347;0.5602432;
-0.79847723;1.9465984;1.8469511;25.5;-12.059999;-41.76;-15.998654;-1.7621324;1.8315643;
-2.2895992;2.8622854;2.4248295;28.26;-13.32;-40.079998;-16.73128;-3.2968156;5.832575;
-2.902908;3.6185367;3.2042937;31.859999;-13.08;-37.559998;-15.768811;-3.763685;11.013627;
-2.9829314;3.5207982;4.326453;35.399998;-12.84;-33.059998;-13.077429;-3.4715924;15.443199;
-2.1979694;3.7822485;4.3484445;39.3;-16.44;-29.939999;-5.574001;-2.267309;18.189348;
-1.7520379;3.870824;3.2085698;40.02;-21.18;-24.539999;-0.3878607;-0.4261679;16.443975;
-0.8106945;2.887331;2.0344868;40.32;-26.34;-19.56;3.2728736;2.4013844;11.147702;
-0.9114873;1.6710982;1.4022411;39.48;-29.099998;-15.719999;4.5034933;6.083966;11.114183;
-0.49732068;0.98020965;0.6795876;39.36;-31.92;-14.4;3.7349546;11.008839;12.198757;
0.32612568;-0.2897792;1.0656544;38.399998;-32.28;-13.86;3.0933087;17.229275;10.467749;
1.3957508;-1.0619129;1.1023064;36.36;-34.68;-13.38;0.9576807;20.011337;9.675268;
1.8765017;-2.112601;1.9507982;33.84;-36.96;-13.5;-1.9560628;19.96824;12.486061;
2.5282948;-2.6104562;2.219579;28.74;-41.34;-12.179999;-2.956839;16.020203;9.407118;
2.4494932;-2.9158888;1.8500054;23.88;-44.879997;-10.679999;-5.296273;12.23467;8.114249;
2.1171825;-3.0020208;1.68385;19.5;-47.399998;-7.44;-6.3066263;7.6258316;4.910807;
1.3682618;-2.5182157;1.6685784;15.78;-49.26;-4.5;-6.845322;2.717419;0.33518824;
1.2082151;-1.8285488;1.5005904;11.639999;-51.42;-3.6599998;-5.2364182;1.0606314;2.408567;
0.9724211;-1.0582477;1.2751812;7.02;-52.86;-0.48;-5.2627544;-1.2473791;-2.3678656;
0.037797287;-0.65752006;1.1829406;5.3399997;-52.739998;1.62;0.89064306;-2.3319526;-4.072537;
-0.43134722;-0.3899611;0.12675454;1.5;-52.8;1.4399999;3.5745432;-2.8778305;-3.7924154;
-1.3543646;-0.56955546;-0.3136793;2.1;-52.8;0.65999997;4.2161894;-2.4612393;-5.3752823;
-2.045864;-0.62514424;-0.9935723;2.9399998;-52.739998;-3.06;3.4979286;-0.14844051;-1.2689269;
-2.0476966;-0.81756675;-1.4853189;5.7;-51.84;-7.8599997;2.6862943;1.6280571;0.89543146;
-2.517452;-1.3429109;-1.3344351;8.88;-49.98;-13.259999;1.1324574;4.0821137;4.0701427;
-2.9823205;-1.2311225;-1.779756;12.0;-46.8;-19.5;1.5586253;4.6591167;6.16058;
-3.3005812;-1.464473;-2.414445;14.46;-42.6;-26.46;-3.6966474;5.358523;10.266636;
-3.1075478;-2.063732;-2.3857343;16.26;-36.719997;-33.239998;-3.5242648;8.116643;13.041516;
-2.6750553;-1.8743637;-3.30753;17.34;-29.88;-38.94;-10.59943;8.825327;13.333609;
-2.0666335;-1.7802904;-2.7882943;18.48;-22.74;-43.739998;-11.511621;10.965743;14.236222;
-1.6054302;-0.76381063;-2.3655756;15.599999;-16.44;-45.78;-13.721469;10.558729;10.458172;
-1.1680508;-0.5927684;-0.97158116;15.54;-10.98;-46.68;-10.206781;10.316915;9.962572;
-0.60605466;3.8179077E-4;-1.035722;14.099999;-6.8999996;-47.7;-7.0440407;9.031228;9.680057;
-0.15645786;-0.1297325;-0.732122;14.28;-5.22;-47.76;-6.1797338;7.273884;8.69604;
0.031077769;-0.080252424;-0.6044512;14.46;-4.3199997;-47.879997;-4.654328;6.5340757;8.432677;
0.05062546;0.12805262;-0.6722572;14.639999;-4.74;-48.48;-4.8458643;4.9874215;8.00651;
0.04512767;0.10789407;-0.33628133;15.36;-4.14;-49.02;-4.4460325;4.417302;7.108684;
-0.12102768;-0.02893974;-0.16157386;15.059999;-3.9599998;-48.6;-4.426879;3.9959226;8.049605;
0.06772968;-0.03688099;-0.040011674;15.54;-4.02;-48.059998;-4.1252093;3.9097314;7.862858;
-0.04466952;0.10361802;-0.21655174;14.46;-3.48;-47.879997;-3.6750996;3.9073372;7.994539;
-0.10025826;0.030925052;-0.038789943;15.299999;-3.84;-48.36;-4.8243165;3.9240966;8.3752165;
-0.032452215;0.024816401;0.07727446;15.12;-2.76;-47.52;-4.31914;3.9791632;8.41113;
-0.10942124;0.13049608;-0.07238753;15.299999;-3.0;-48.6;-3.8714242;4.06296;7.8963766;
0.021303926;-0.17921259;0.13713925;15.719999;-2.76;-47.76;-4.4484267;3.715801;8.655338;
-0.05749769;0.1830305;-0.13103059;15.179999;-2.6399999;-48.539997;-3.8259344;3.9193082;8.099884;
