gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.1512655;0.28771752;0.13041973;-36.54;-21.18;-9.42;5.4255605;4.5633483;6.7304;
0.003894266;0.18875736;0.15241088;-37.559998;-21.66;-9.24;5.23163;4.783615;7.654562;
0.27084237;0.2779437;0.5885687;-38.16;-20.58;-9.12;3.5122938;3.8522706;8.497321;
0.8810968;0.4111123;0.75655663;-37.98;-19.74;-9.179999;4.855441;5.234024;7.379229;
0.5432883;0.7678576;0.36682457;-37.62;-19.439999;-9.719999;5.054459;5.408801;8.849269;
0.67523515;1.0115929;0.28924468;-38.94;-19.38;-10.92;3.5913026;4.4675803;9.387964;
1.10223;1.2357804;0.5897904;-38.399998;-18.18;-12.24;4.1156325;4.6926355;10.393529;
1.3600152;1.5864171;0.68752885;-38.46;-18.9;-13.5;4.3382936;4.285621;9.502886;
1.3984996;1.8802432;0.8756753;-38.219997;-17.52;-15.0;5.56203;4.1299977;8.952219;
0.8456666;1.981036;0.9624182;-39.18;-17.699999;-16.859999;1.3670892;0.7661445;11.985673;
2.9531517;2.166739;2.2214115;-36.96;-16.92;-19.8;7.6354084;2.5234885;9.627384;
1.6477326;2.2785273;1.6734654;-37.02;-16.02;-20.699999;6.265925;2.147599;9.493309;
1.8798615;2.0830505;1.7272215;-35.52;-14.759999;-23.46;7.1230493;3.335123;7.305009;
1.8157206;2.1361957;1.7608191;-35.219997;-14.46;-26.16;7.25473;4.0533834;9.38557;
1.9342284;2.0512855;1.1059716;-33.54;-13.679999;-27.24;9.466972;5.0975547;7.214029;
1.3703998;2.02624;0.6441574;-30.66;-14.28;-28.98;8.866028;3.9552212;4.5274353;
0.7198283;1.428203;0.46028697;-28.74;-16.02;-31.019999;8.980949;4.0438066;-0.6751649;
0.6343072;0.6774496;0.28802297;-26.939999;-16.619999;-31.619999;8.578724;4.177882;-0.6703765;
0.3093269;-0.118507855;0.058948494;-26.34;-17.1;-31.38;9.486126;7.5180926;-1.8243817;
0.28855747;-0.93645644;0.03145956;-26.46;-17.46;-30.599998;9.629779;11.882722;0.5506664;
0.19937114;-1.5662584;-0.66553766;-28.019999;-19.199999;-29.58;9.739912;14.4253645;2.789245;
0.8810968;-1.9706513;-0.9086621;-29.58;-19.02;-27.48;10.601825;14.346355;2.4516625;
1.0955105;-2.652377;-1.2843442;-30.359999;-21.84;-23.699999;10.965743;13.893851;2.2720973;
1.6184111;-3.500258;-1.1212431;-31.92;-25.5;-18.06;10.185233;14.875773;5.8756704;
1.4320972;-3.6529741;-1.5781704;-32.46;-29.519999;-9.66;11.870751;17.799093;4.958691;
1.034424;-3.3023374;-2.368019;-31.74;-32.399998;-2.1;9.2107935;14.360721;11.382334;
1.6257415;-2.8173106;-2.4804184;-26.58;-35.7;4.92;6.4837976;9.076718;9.783008;
1.8132771;-2.64749;-2.1493294;-19.439999;-38.28;11.099999;4.5872903;2.645593;6.5556235;
1.8926896;-2.5216517;-1.1640037;-11.7;-38.46;18.0;-2.0590134;-0.23702596;3.6415808;
2.1064925;-2.238821;-0.2782491;-7.8599997;-37.38;22.26;-0.6392518;2.2218192;3.2992098;
0.6025422;-1.1777482;-0.7816021;-4.14;-35.579998;27.06;-3.8881836;1.5801731;0.30645782;
-0.030314188;-0.5864306;-0.43890667;-1.1999999;-35.16;28.98;-6.060024;0.1364695;0.81642276;
0.76503235;-0.14844026;0.4560109;0.17999999;-35.34;29.519999;-6.8525047;0.4189853;0.90979666;
0.499306;0.22418754;0.73945236;0.53999996;-33.6;31.74;-4.5896845;2.3558946;-4.570531;
-0.5061782;0.52595496;0.61727935;-2.3999999;-31.8;32.52;-2.4636335;2.858677;-4.99221;
-0.9337839;0.68477994;0.9691377;-4.56;-32.399998;31.74;-2.1523874;2.1284454;-3.2106245;
-0.44448084;0.54733527;1.2660183;-6.8399997;-33.42;29.939999;-0.38067806;1.697489;-2.0685902;
-0.37178785;0.4783075;1.9422461;-10.26;-33.059998;27.84;1.067814;4.1371803;-6.268319;
-1.980196;0.41599923;2.0137172;-13.799999;-32.88;27.3;4.1706996;5.490204;-3.335123;
-1.7731128;0.20280726;2.0864103;-18.539999;-32.82;23.76;7.8245506;8.128614;0.06703765;
-2.764547;0.06841691;1.720502;-22.8;-33.36;18.3;5.384859;8.9163065;1.5035586;
-1.948431;-0.42638394;2.151162;-26.88;-33.3;14.28;6.787861;10.180445;4.1802764;
-1.8238145;-0.16615535;1.9544634;-29.939999;-31.74;11.04;9.792584;11.159674;4.3598413;
-1.6882025;-0.17837265;1.6716328;-33.84;-29.22;8.46;8.758289;10.577883;3.8594532;
-1.6924785;-0.27122417;1.2678508;-37.02;-26.34;5.16;7.963414;10.417471;3.3758245;
-1.5690837;-0.39767328;1.0852021;-37.739998;-25.08;3.8999999;8.775048;10.288184;4.7668557;
-1.5849662;0.0030543262;0.99112886;-39.96;-22.859999;1.86;7.898771;9.122208;5.9379196;
-1.1982886;-0.3915646;0.5635232;-41.219997;-21.66;0.53999996;8.3033905;9.598654;3.6990416;
-1.7657824;-0.40378192;-0.02107485;-41.52;-20.4;-0.71999997;8.791808;8.456619;5.4518967;
-1.4395803;-0.081855945;0.019242255;-41.879997;-19.199999;-1.5;6.0576296;6.1390324;7.1350203;
-0.36690095;0.0842994;0.51159966;-41.34;-18.779999;-2.9399998;7.664139;6.5556235;6.1294556;
-0.6533967;-0.06536258;0.17134771;-41.46;-18.84;-3.54;7.568371;7.513304;4.3023806;
-0.5422193;-0.052534413;0.11575896;-41.28;-17.88;-3.24;7.178116;6.4814034;6.0073514;
-0.31070134;-0.106901415;-0.056505036;-42.3;-16.8;-4.44;7.618649;6.1557918;5.504569;
-0.31070134;0.076358154;-0.12186762;-41.94;-17.039999;-4.02;6.974609;5.0376997;5.2292356;
-0.016264288;0.0720821;-0.21899518;-41.76;-17.16;-4.7999997;7.0560117;4.8338933;6.4239426;
