gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.037033707;0.2761111;-0.062002823;-38.219997;-21.18;-6.0;4.0414124;5.3896475;4.197036;
-0.13049608;0.33658674;0.09315695;-38.28;-21.42;-7.62;5.076007;5.0113635;6.9578495;
0.44005206;0.44348818;0.14446963;-38.28;-20.76;-8.4;4.6902413;4.4675803;8.150162;
0.51946455;1.3329079;0.44440445;-37.98;-20.64;-10.26;4.3023806;3.4715924;9.718364;
0.8841511;1.3200798;0.65148777;-38.28;-19.92;-11.28;4.4364557;2.8514943;11.061511;
1.3948344;2.257147;1.1291844;-39.059998;-18.18;-14.4;6.356905;3.1603463;11.940183;
1.5756506;2.235767;0.9447031;-39.3;-16.44;-16.8;6.716035;2.8993783;11.099818;
1.8413769;2.7537806;1.2568552;-38.82;-15.719999;-21.119999;8.145373;3.052607;11.011233;
1.8352683;2.9083295;1.0968086;-36.54;-14.759999;-24.119999;7.850887;2.219425;12.928988;
2.1394792;2.987742;1.2305881;-34.62;-14.88;-30.539999;7.7431474;1.7429788;11.286566;
2.2195024;2.9755247;1.3081679;-30.96;-15.42;-33.239998;8.12622;1.4149733;10.771812;
1.6562848;2.914438;1.1939361;-27.18;-16.619999;-36.239998;8.523658;1.9249382;9.313744;
1.7100409;2.479502;1.108415;-23.46;-17.16;-39.48;9.131784;2.3774424;7.427113;
0.85116434;2.348166;0.8164214;-21.119999;-17.88;-41.1;8.722376;2.7509377;4.7620673;
1.1254429;1.9779817;1.0021244;-17.4;-18.96;-42.66;9.256283;3.3566709;4.175488;
1.3184763;1.0751228;0.8915578;-14.4;-19.619999;-42.0;7.652168;4.39336;0.51235914;
0.71433055;0.75686204;0.81153446;-13.38;-21.84;-42.719997;7.7192054;6.646603;0.09816227;
0.5817728;-0.12522738;0.33567044;-13.139999;-22.32;-41.46;7.144597;8.138191;1.0319009;
-0.06818783;-0.43127087;0.07849618;-12.9;-23.1;-41.1;6.8046207;10.2139635;2.4277205;
0.4553237;-1.1160508;-0.3173445;-14.099999;-23.1;-41.219997;6.560412;12.119748;3.7948096;
0.29772046;-1.1325442;-0.7162395;-15.54;-23.939999;-39.12;7.202058;13.486837;4.3526587;
0.7198283;-1.5454891;-1.0595458;-16.02;-25.199999;-38.1;6.807015;13.1037655;6.0217166;
1.4217125;-1.6927075;-1.0106765;-16.98;-26.76;-34.739998;5.2483892;11.801319;6.194099;
1.7473037;-2.1844542;-0.8194757;-18.3;-30.06;-31.8;5.4351373;13.1277075;4.759673;
1.5212835;-2.0421226;-1.3179418;-19.8;-33.78;-25.439999;6.9219365;12.043134;5.6314616;
1.7198148;-2.2516494;-1.3313808;-18.96;-36.66;-21.119999;3.5553896;9.718364;4.5681367;
1.537777;-2.2864685;-1.2757921;-17.76;-38.82;-15.12;3.502717;9.524434;3.0813377;
1.7167604;-2.3212879;-1.1707232;-15.179999;-41.52;-8.5199995;0.3184288;8.674492;4.441244;
1.5225053;-2.0207422;-0.8414669;-11.639999;-43.2;-2.82;0.24899697;7.3241625;2.1667526;
1.0240393;-1.5131133;-0.40286562;-10.08;-44.04;2.76;-1.1372458;6.49098;2.3678656;
1.5383878;-1.4349225;-0.28619036;-8.34;-44.1;5.7;-1.1923125;5.7487774;1.5586253;
0.6000987;-0.68111473;-0.52687126;-7.02;-43.14;10.2;-2.27928;4.5681367;-1.757344;
0.025274549;-0.49418998;-0.19028452;-5.4;-41.76;11.639999;-2.1763294;2.9951463;-1.7932571;
0.3930154;-0.09040806;0.03145956;-3.4199998;-42.6;11.94;-3.739743;4.072537;-1.412579;
0.49136472;-0.08368854;0.3827071;-4.02;-41.879997;12.42;-3.0669725;5.3752823;-3.5218706;
-0.030314188;0.24678956;0.31673363;-3.9599998;-41.879997;13.44;-2.315193;6.1174846;-4.7620673;
-0.3375794;-0.039095376;0.2843578;-5.2799997;-41.7;13.32;-2.0207062;6.143821;-4.0677485;
-0.5043456;0.2724459;0.33505958;-6.06;-41.399998;12.3;-1.5825673;6.0911484;-3.3518825;
-0.6558402;0.2144137;0.42119157;-7.2;-41.879997;11.46;-1.163582;5.8900356;-3.074155;
-0.7450265;0.25717425;0.51343226;-8.76;-41.399998;10.5;-0.3854665;6.2395887;-3.5314474;
-1.0412961;0.19425514;0.768163;-8.7;-42.12;8.16;-1.6041151;7.0536175;-3.7900212;
-1.4169782;-0.031154128;0.7309003;-11.88;-43.86;5.2799997;0.59136784;8.095096;-2.5809495;
-0.9826531;-0.19425514;1.1267409;-13.799999;-42.96;2.58;1.0654198;8.092701;0.031124622;
-1.2245557;-0.17531833;0.9624182;-16.08;-42.0;0.12;2.3870192;9.2586775;-1.271321;
-1.032744;-0.17959438;1.1743884;-18.96;-40.32;-1.56;2.825158;9.155726;1.3814543;
-1.6607136;-0.112399206;1.1798862;-20.88;-39.6;-3.72;3.229778;9.917083;0.79966336;
-1.055346;-0.5723807;1.3362677;-23.34;-38.1;-6.6;5.0329113;9.8715925;5.2364182;
-1.2428817;-0.012217305;1.0082331;-25.98;-36.059998;-8.16;2.9759927;9.076718;2.6240451;
-0.67416614;-0.3390302;1.1212431;-28.08;-33.84;-10.44;4.7500963;9.694422;2.8898015;
-0.9154579;-0.13500121;1.0613784;-30.06;-31.619999;-10.86;5.832575;9.347262;2.5713725;
-1.1976776;-0.103847094;0.9447031;-31.679998;-29.039999;-12.599999;4.7979803;8.9163065;2.741361;
-1.1836277;-0.50823987;0.7150178;-32.82;-26.82;-14.759999;7.214029;9.148544;2.2002714;
-1.740126;0.112399206;0.68508536;-34.26;-25.439999;-14.88;4.99221;6.586748;6.5819597;
-0.72731143;-0.56077427;0.84940815;-35.76;-22.8;-16.8;7.096713;7.5564;2.9735985;
-1.6979764;-0.24984388;0.5128214;-36.54;-20.699999;-17.039999;6.1533976;6.062418;5.296273;
-0.7945066;-0.8313876;0.6789767;-37.2;-18.66;-17.16;7.4055653;6.036082;5.84694;
