gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.09048442;-0.13019066;0.14332426;-7.56;2.58;-43.62;3.632004;0.91937345;8.686463;
0.05933029;-0.44112107;0.13782647;-7.56;1.74;-43.739998;4.4125137;1.733402;8.782231;
0.08559749;-1.483868;-0.039935317;-7.9199996;1.8;-43.26;3.466804;2.0949266;9.71597;
0.4741078;0.9162215;0.59353197;-11.639999;0.71999997;-42.48;2.099715;1.2306197;15.95077;
1.2279155;1.1153636;0.3027601;-10.5;-0.48;-42.78;-3.181894;2.2864625;15.325884;
1.6042085;-0.7715992;0.60025144;-10.559999;-8.7;-43.2;-4.048595;-1.9776106;15.428834;
1.7673095;0.74701184;3.3778558;-13.799999;-12.42;-41.399998;-0.04070143;-4.6950297;14.744093;
2.3067036;2.9736156;2.8683941;-18.539999;-14.16;-42.42;2.753332;-8.2315645;17.791912;
2.966438;3.0023263;3.5751653;-17.94;-13.98;-50.039997;3.8474822;-11.712734;14.729728;
3.120987;2.7750845;3.9050324;-11.16;-18.119999;-54.78;7.807791;-12.007221;13.292907;
2.2731059;3.0053806;3.8195114;-4.02;-28.68;-48.42;12.129325;-7.6234374;9.653721;
1.4197272;2.5661685;2.7230082;-4.08;-33.96;-42.059998;14.389451;-2.4492683;5.6314616;
1.0458777;2.0408244;2.0925953;-4.8599997;-34.86;-37.68;14.499585;-0.04070143;5.897218;
0.78381646;1.475774;1.6032922;-3.6;-35.88;-35.219997;11.480496;2.078167;0.6560113;
0.4844925;-6.872234E-4;1.0015899;-5.58;-35.1;-34.079998;10.230723;5.334581;-0.021547815;
-0.5222134;-0.5791766;0.3534619;-8.099999;-35.64;-32.16;8.976161;7.7551184;3.6894648;
0.22365303;-1.6921731;-0.55184036;-8.76;-34.62;-32.7;8.882788;11.75583;8.073547;
0.32872185;-1.4802028;-1.478523;-9.42;-35.88;-32.64;16.101604;20.054432;12.505215;
1.1228467;-2.1344395;-2.511496;-9.66;-38.94;-31.38;12.921805;18.924368;17.054497;
2.8900797;-2.4105506;-2.956206;-7.68;-42.12;-27.48;14.748881;16.697762;16.597204;
2.9273427;-2.8283825;-3.600058;-4.38;-46.32;-20.4;13.798083;11.300931;20.037672;
3.6121225;-3.0165288;-3.3746486;2.1;-50.1;-11.4;7.688081;5.5572414;21.900362;
3.438026;-2.8699212;-3.2292628;9.059999;-48.719997;-2.8799999;6.572383;1.6017209;15.735292;
2.38184;-1.3122149;-3.1083114;18.9;-45.78;4.14;2.4875755;-4.43885;12.826037;
1.955456;-1.0996338;-2.5689175;25.08;-41.76;8.28;-7.108684;-8.9402485;6.9913683;
2.7013226;-0.935311;-0.58238363;31.679998;-37.079998;11.46;-5.8301806;-7.4079595;2.0159178;
1.1521682;-0.7074583;0.1811979;33.36;-34.38;14.099999;-6.1629744;-4.5633483;-5.8086324;
0.46066874;-0.10942124;0.6369034;33.6;-33.239998;15.48;-5.382465;-4.261679;-4.012682;
0.32505667;-0.55596375;1.200732;33.239998;-34.62;15.0;-4.4196963;-2.8419175;-7.0991073;
-1.3297772;-0.53091824;1.4872278;31.26;-35.16;15.0;-1.5514427;-2.621651;-7.3935943;
-1.7140115;-1.1961505;1.8299232;29.039999;-38.28;11.4;0.47165772;-3.0573955;-3.229778;
-2.3383157;-1.1491139;2.5403595;25.08;-42.18;6.18;6.000169;-1.9800048;-0.32321724;
-3.4256558;-1.4111751;2.537305;20.279999;-45.0;-0.96;5.2292356;-4.630386;1.6184803;
-4.2979717;-1.6756797;3.5751653;15.299999;-45.6;-8.5199995;11.722311;-3.691859;6.0552354;
-4.4842854;-3.0354657;3.82562;4.92;-46.079998;-19.74;14.071023;-4.2760444;18.711285;
-4.36761;-2.3341925;3.8738782;-8.82;-41.579998;-28.5;21.720797;3.7541082;16.180614;
-4.9131126;-1.7257707;2.6081655;-23.1;-31.08;-33.54;22.422297;6.9243307;21.787834;
-3.707265;-1.3989577;1.7896061;-28.859999;-18.42;-34.8;19.216461;8.056788;23.691225;
-2.7500389;-0.73494726;0.46708283;-28.439999;-9.36;-36.66;15.040974;9.512463;17.475876;
-2.0151682;0.010919216;-0.36491564;-28.98;-3.24;-37.32;8.662521;5.916372;14.135666;
-0.97547543;-0.028176159;-0.31543553;-28.859999;0.59999996;-38.34;6.692093;3.0454245;11.650485;
-0.35789067;0.021914791;-0.19326249;-27.96;2.1;-39.0;7.5564;1.496376;9.00968;
-0.20761782;0.31390837;-0.52129716;-28.199999;2.34;-38.399998;8.384793;0.557849;7.958626;
0.021456642;0.4434118;-0.6373615;-28.56;3.12;-38.82;6.3616934;0.090979666;6.5412583;
-0.08666651;0.39637518;-0.23052527;-26.76;2.58;-39.18;7.0081277;-1.3503298;5.686528;
0.3122285;0.06650795;0.16042848;-26.4;1.4399999;-40.26;7.3864117;-1.067814;5.3680997;
0.23403774;0.2167808;0.14882204;-24.779999;1.62;-40.14;8.459014;-0.5386954;5.1765633;
0.03306308;0.123929285;0.22395848;-25.619999;1.14;-40.559998;7.6593504;-0.79966336;5.3633113;
0.22487476;-0.031230485;0.2832124;-26.099998;1.1999999;-40.92;7.879617;-0.81881696;5.906795;
0.14362969;-0.017180584;0.06574437;-26.46;0.9;-40.739998;9.308955;-0.35913026;4.4580035;
