gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.35132387;-0.35392004;0.28069258;11.759999;-14.34;-43.2;-4.9275665;5.7128644;6.2587423;
-0.08315403;-0.13095424;0.3173445;13.139999;-13.62;-43.26;-5.8541226;6.6035075;8.384793;
-0.117362484;-0.15844317;0.61850107;11.7;-14.46;-43.86;-6.359299;5.909189;5.75596;
-0.08498663;0.0669661;0.5018258;10.86;-13.98;-43.44;-5.9834094;6.2036757;6.04087;
0.18318321;0.22456934;0.4999932;10.92;-14.759999;-43.92;-7.793426;6.028899;5.4255605;
0.48678324;0.6191883;0.16340645;10.92;-14.94;-44.16;-8.748713;5.566818;5.207688;
0.9369909;1.4420238;-0.06078109;11.639999;-15.96;-43.26;-14.909292;3.9552212;4.4436383;
0.5209917;2.4102452;0.786489;15.719999;-17.58;-42.54;-15.51742;4.3406878;4.6040497;
0.02313652;3.6686275;1.2018774;20.16;-18.96;-38.7;-14.226645;3.6008794;6.4215484;
-1.166829;4.4261003;1.3344351;24.119999;-19.8;-35.1;-12.174815;3.6152446;8.8205385;
-1.3018302;4.5305586;1.8634444;29.939999;-20.34;-30.0;-11.712734;2.765303;14.327202;
-1.6396387;4.741307;2.268448;35.16;-21.66;-24.84;-9.253889;2.4229321;14.683938;
-1.3904057;3.82562;3.5372152;35.579998;-23.4;-19.38;-1.6519991;3.454833;16.221315;
-0.37270415;3.561726;1.2318097;34.26;-29.22;-14.28;6.799832;6.4454904;12.213122;
-0.5241987;2.1561253;0.23548855;34.26;-31.14;-10.74;4.3622355;6.194099;10.020034;
-0.25297457;0.96066195;0.2489276;35.34;-31.679998;-7.7999997;4.0318356;6.5819597;9.067142;
-0.155847;0.07490735;0.5653558;35.52;-31.26;-6.6;4.5178585;8.561965;7.6617446;
-0.21143574;-0.7912996;0.6942484;35.04;-32.28;-7.3199997;6.2156467;13.893851;7.680898;
0.37927097;-1.9262872;0.95203346;33.18;-32.579998;-8.28;1.3503298;21.900362;8.688857;
1.3939182;-2.7582858;1.2782356;29.64;-35.34;-10.08;-2.6264393;22.80537;9.720758;
2.1587214;-2.5860217;1.8793269;25.74;-38.04;-11.5199995;-9.047988;16.374544;10.163686;
2.6529114;-2.9592602;2.237294;21.3;-41.399998;-9.36;-3.074155;10.635344;5.693711;
1.602834;-2.3056345;0.41141775;15.839999;-44.94;-5.8199997;-2.1523874;5.6530094;0.06703765;
0.08422305;-2.1785746;0.3368922;14.5199995;-46.44;-4.2;-5.4375315;2.6862943;-1.721431;
0.72868586;-2.30258;1.2739595;13.259999;-47.1;-5.04;-4.7189717;1.8842367;4.012682;
0.85391325;-1.4766904;1.2403619;10.38;-48.719997;-5.16;-4.450821;0.1436521;-2.3199813;
0.050014593;-0.8633817;1.325883;7.9199996;-49.92;-3.0;-2.2481554;0.7517793;-3.0310593;
-0.4796056;-0.69661546;0.981355;4.5;-50.46;-3.36;1.1252748;1.4341269;-2.6719291;
-0.49182287;-0.29588786;0.16584991;1.5;-49.8;-4.02;3.4835634;2.0901382;-2.7006595;
-0.67874765;-0.82001024;-0.04184427;0.17999999;-48.539997;-6.42;3.9097314;0.9983821;-1.8267759;
-1.1002446;-0.69417197;-0.68875057;0.53999996;-47.64;-7.02;3.560178;1.9153614;-3.1651347;
-1.7801377;0.030925052;-1.774869;2.1599998;-47.34;-9.96;3.6343982;3.9552212;2.1428106;
-2.4429264;-0.9134726;-1.2599095;7.2;-45.539997;-14.7;3.6391866;5.7511716;2.585738;
-1.9279671;-1.2500594;-1.9080375;9.179999;-43.14;-20.16;1.697489;7.879617;6.9722147;
-1.7984636;-1.7436385;-1.7437148;12.12;-40.26;-23.519999;-3.7445314;10.020034;8.731953;
-2.141159;-2.397875;-1.3741413;13.139999;-36.12;-28.08;-4.711789;11.61936;9.9673605;
-1.4007903;-1.8334357;-2.1138992;11.04;-31.74;-33.36;-7.874829;10.877157;8.67928;
-1.6475799;-1.6605608;-0.5109888;12.24;-28.019999;-35.94;-9.773431;12.01201;6.7016697;
-1.3904057;-1.0338131;-0.4700608;10.139999;-24.42;-39.42;-5.8900356;12.047922;7.633014;
-1.3464234;-0.48098;0.22937989;7.62;-20.46;-41.52;-5.9474964;10.913071;6.2348003;
-1.2786173;-0.20120373;-0.26175576;6.8399997;-18.0;-43.26;-2.4540567;11.00405;7.25473;
-0.72822773;-0.005726862;-0.6160576;6.24;-15.0;-43.559998;-3.466804;10.201993;8.075942;
-0.30917418;-0.12851077;-0.34300083;6.2999997;-13.44;-44.64;-3.560178;9.316138;8.253113;
0.04390594;-0.020998493;-0.55863625;7.14;-12.3;-44.879997;-3.6990416;8.229171;7.7862434;
0.28641945;0.1091158;-0.47067168;6.8999996;-13.139999;-45.12;-4.060566;7.218817;8.01848;
0.28336513;0.25572348;-0.17134771;8.5199995;-13.92;-44.7;-3.9983168;6.7016697;6.0672064;
-0.013515393;0.2392301;0.15607607;8.88;-13.44;-45.719997;-3.2848446;6.2467713;6.3760586;
-0.2083814;0.17631099;0.3136793;10.139999;-13.86;-44.34;-3.0573955;6.4478846;6.893206;
-0.10636691;0.08590292;0.21960606;9.24;-13.38;-44.1;-1.8914193;6.5173163;7.723994;
0.35789067;0.120111376;-0.13775012;9.48;-13.0199995;-44.52;-2.243367;6.110302;7.070377;
