gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.012446379;-0.28970283;0.17432567;-12.3;-27.24;-19.92;-0.7062895;5.942708;7.036858;
-0.022831088;0.31016684;0.14866933;-11.94;-26.939999;-20.88;-0.38067806;6.20607;8.272266;
-0.02405282;0.21792617;0.23480132;-12.3;-26.16;-21.0;-0.45250413;6.304232;7.7670894;
0.029703323;0.60032785;0.09430232;-12.0;-26.039999;-21.84;-2.8778305;7.1613564;8.116643;
0.28382325;1.0859656;0.31604642;-11.04;-26.039999;-22.74;-6.289867;7.1230493;10.699986;
0.87269735;1.5160148;0.93240947;-10.5;-25.32;-22.98;-7.70484;6.3281746;8.195652;
0.65461844;1.5227343;1.541442;-9.66;-25.32;-23.64;-5.6075196;6.064812;7.6258316;
0.4994587;2.499508;1.7008779;-10.74;-22.619999;-24.6;-7.537246;4.891354;7.3744407;
0.30581442;2.2124012;2.5560892;-10.0199995;-21.24;-27.96;-5.674557;3.8881836;10.254665;
0.46708283;3.0101912;2.1156554;-9.36;-20.16;-29.279999;-5.0448823;2.8898015;12.208334;
0.4902957;2.8562531;2.7717247;-8.04;-18.6;-31.019999;-3.4452562;2.066196;12.277765;
0.5428301;2.8605292;2.7045295;-5.8799996;-17.4;-33.18;-0.581791;1.6208745;11.78456;
0.44936773;2.8000536;2.199344;-2.3999999;-16.32;-33.42;3.0933087;2.4253263;11.71034;
0.15248723;2.6137397;1.7124844;0.06;-16.02;-33.12;3.691859;3.2800562;10.869975;
0.19219348;1.8519907;1.4070517;3.48;-15.12;-32.34;5.5596356;3.8618474;9.371204;
0.05963572;1.3584116;0.87437725;5.52;-14.099999;-32.16;5.2651486;4.6710877;8.6457615;
0.05719226;0.8562804;0.7503716;6.8399997;-13.679999;-31.619999;5.2005053;5.930737;8.293814;
0.08773552;0.268628;0.6990589;7.2;-13.32;-31.92;4.99221;6.596325;7.6617446;
0.09017898;-0.1516473;0.5848271;6.96;-13.799999;-31.439999;4.9275665;7.558794;6.143821;
0.08040514;-0.34590244;0.2036472;6.3599997;-13.38;-30.96;4.5777135;8.332121;7.1757216;
0.19585867;-0.5120578;-0.11827879;5.1;-13.62;-30.779999;2.932897;8.849269;6.4981627;
0.42798746;-0.8700248;0.07658723;4.44;-14.219999;-30.779999;1.9536686;9.313744;7.9322896;
0.5788712;-0.80649483;-0.009544769;3.12;-13.74;-30.179998;3.1603463;10.5563345;6.438308;
0.6729444;-1.0807734;0.17004961;1.0799999;-15.54;-29.82;3.964798;11.8061075;7.472603;
0.92645353;-1.5755742;0.36980253;-0.42;-17.279999;-29.279999;3.9695864;12.356774;8.391976;
1.3174073;-2.2145393;0.6501897;-4.38;-18.96;-27.779999;4.232949;11.839626;7.558794;
1.4401911;-2.1198552;0.2848923;-8.16;-20.4;-25.08;3.1411927;11.205163;7.4534492;
1.6735417;-2.5297456;0.46876273;-12.059999;-21.18;-21.66;3.2034419;10.506057;6.184522;
1.4872278;-2.6745207;0.37102428;-13.98;-22.439999;-16.14;3.53863;9.366416;2.8682537;
1.2679272;-2.0917554;-0.43531784;-17.52;-23.16;-10.98;2.2098482;8.779837;2.765303;
1.2477686;-2.1668918;-0.41638103;-17.1;-23.76;-6.54;0.59136784;8.257901;3.2154129;
1.9692005;-3.02699;0.65263313;-16.619999;-24.18;-2.9399998;-3.7301662;6.467038;0.6775591;
1.3290137;-2.238363;0.59154665;-17.46;-23.939999;3.9599998;-1.9057846;5.466262;-4.027047;
0.34918585;-1.5383114;0.76197803;-16.44;-23.039999;8.46;-1.6160861;5.2603602;-3.8666358;
0.041309763;-0.7496844;0.36063957;-18.06;-21.66;10.86;0.6991069;4.9251723;-3.8283286;
-0.112017415;-0.18219055;-0.0064904434;-17.46;-20.76;11.04;-0.545878;4.7860093;-4.2880154;
-0.30443996;-0.061850104;0.0081703225;-17.76;-21.359999;9.66;-0.25857377;5.0951605;-5.633856;
-0.29405525;0.10064005;0.26778805;-16.98;-21.3;10.139999;0.6871359;5.906795;-5.317821;
-0.23785566;-0.29703322;0.5274058;-18.359999;-21.119999;9.36;2.2026656;6.6011133;-5.782296;
-0.3374267;-0.1479821;0.4657084;-18.539999;-20.58;8.76;3.7900212;7.0392523;-4.450821;
-0.35758525;0.049938235;0.057039544;-19.98;-19.74;8.58;4.0773253;6.7567363;-4.2425256;
-0.5200754;0.052381694;-0.018096883;-19.619999;-20.1;8.28;4.2999864;6.2635307;-4.3718123;
-0.6117052;0.2582433;-0.25572348;-18.9;-19.98;7.68;3.4691982;5.51654;-4.0892963;
-0.75281507;-0.19013181;0.11995866;-19.26;-19.8;7.02;3.8355112;5.2483892;-3.4500446;
-0.98066777;-0.14859296;-0.04314236;-19.439999;-20.46;5.64;3.7301662;4.697424;-3.5338416;
-1.4272103;-0.16630806;-0.04680755;-19.859999;-20.279999;5.04;4.4005427;4.4723687;-2.3008277;
-1.6843846;-0.0013744468;-0.37362045;-20.58;-20.88;3.48;2.731784;3.3901896;-1.9393034;
-2.2695935;-0.54321194;0.09430232;-20.52;-21.48;1.38;3.608062;4.1156325;0.8499416;
-2.3465624;-0.36667186;-0.24656048;-20.22;-21.96;-0.24;2.4516625;5.3752823;2.456451;
-2.6336691;-0.76067996;0.119347796;-21.96;-22.98;-3.54;4.024653;6.8596873;4.1515455;
-3.254919;-0.72341716;-0.24533875;-23.039999;-22.32;-6.54;4.5418005;8.3273325;6.1294556;
-2.9720886;-0.41554108;-1.0461831;-22.619999;-22.439999;-10.0199995;2.1308396;10.901099;11.083059;
-2.3545036;-0.7228063;-0.5965863;-23.039999;-22.8;-12.599999;0.60094464;13.596971;13.252206;
-1.5707636;-0.3996586;-0.5238933;-21.24;-22.859999;-14.219999;0.63206923;12.823644;12.481273;
-1.0258719;-0.27382034;-0.35773796;-20.64;-23.58;-15.839999;1.508347;11.444583;9.289802;
-0.7522042;-0.1479821;-0.5611561;-20.1;-23.82;-15.42;2.2577322;10.175656;8.2315645;
-0.789467;-0.028863383;-0.46708283;-19.68;-24.18;-16.32;1.1492168;9.126996;6.8740525;
-0.4443281;-0.19074267;-0.06085745;-19.439999;-24.84;-16.619999;1.7310078;8.5499935;9.103054;
-0.22197317;0.011453724;-0.16653714;-19.26;-25.619999;-17.16;1.6160861;7.6378026;6.926725;
-0.2598468;-0.13881913;0.017944166;-18.3;-25.38;-17.039999;2.0805612;6.988974;7.1852984;
-0.28733575;0.09086621;-0.23678663;-18.359999;-26.22;-16.68;2.1212628;6.5580177;7.5180926;
-0.2476295;0.09025534;-0.14393513;-18.66;-26.4;-16.92;1.4891934;6.3114147;6.739977;
-0.27023152;0.056046885;-0.1866957;-17.94;-26.279999;-17.039999;1.8962077;6.366482;7.759907;
-0.28855747;0.18860464;-0.17264579;-18.24;-26.279999;-18.18;1.2018893;6.3497224;6.9219365;
-0.3093269;0.14156802;-0.017486017;-17.58;-26.16;-18.6;1.8531121;6.3377514;7.534852;
-0.13828462;0.07376198;-0.081016004;-16.199999;-26.34;-19.199999;1.5634137;6.184522;8.123826;
0.005879578;0.01572978;-0.17325665;-16.32;-27.18;-19.02;1.6663644;6.2156467;7.484574;
-0.075976364;-0.022143865;-0.13782647;-16.44;-26.82;-19.14;1.2521675;6.0815716;7.8820114;
-0.009392053;0.009010263;-0.12377657;-15.36;-27.42;-18.779999;1.532289;6.119879;7.261913;
-0.122402124;0.02733622;-0.09140071;-15.719999;-27.48;-19.5;1.0726024;5.9594674;6.728006;
-0.19509509;-0.033750303;0.025885414;-16.44;-26.4;-18.66;1.7118542;6.0073514;8.6697035;
