gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.13538301;0.032375857;0.015577064;-14.34;-33.84;-15.719999;2.9257145;5.803844;5.945102;
0.41378483;-0.10995574;0.22388211;-13.679999;-34.44;-15.78;4.6399627;6.1988873;5.981015;
0.4657084;0.344528;0.16340645;-14.759999;-34.98;-15.719999;4.876989;5.8541226;5.138256;
0.32765284;0.267559;-0.019242255;-14.88;-35.16;-14.88;6.1294556;5.585972;4.51307;
-0.25450173;0.63713247;-0.09437868;-15.54;-35.04;-14.94;6.1055136;5.552453;5.621885;
-0.066355236;0.6750061;0.17562376;-13.38;-35.16;-15.12;5.4878097;5.147833;7.6473794;
0.45593455;0.7244862;0.50854534;-14.16;-34.5;-16.26;5.502175;5.468656;6.799832;
0.69661546;0.86070913;0.56779927;-14.34;-35.16;-15.839999;6.2515597;5.696105;5.782296;
0.5836054;0.8546005;0.38637227;-14.7;-35.28;-15.96;6.3138094;5.4518967;4.94672;
0.40340012;1.0543534;0.441961;-13.62;-34.92;-15.599999;5.2627544;4.5418005;7.0536175;
0.7289913;0.8491027;0.63621616;-14.82;-35.64;-15.54;6.3066263;5.210082;6.560412;
0.48953214;1.1129965;0.6374379;-15.179999;-34.98;-14.58;5.657798;5.2148705;7.573159;
0.96234185;1.2638801;0.63255095;-15.48;-34.92;-14.099999;7.242759;6.0336876;7.7311764;
0.71371967;1.3738359;0.5335908;-16.199999;-35.04;-13.259999;5.382465;5.0592475;6.680122;
1.0118219;1.4245378;0.77854776;-16.32;-35.1;-12.36;5.514146;5.1669865;7.6473794;
1.111393;1.6383406;0.7357872;-17.4;-35.399998;-11.7;5.698499;5.5309052;7.79582;
0.95684403;1.6615535;0.38026363;-18.539999;-35.88;-12.179999;5.753566;6.2515597;6.5939307;
0.25373816;1.8362609;0.35643986;-16.68;-34.98;-12.179999;3.6655228;5.076007;8.945037;
1.2329551;1.5271631;0.7492262;-18.72;-35.52;-12.599999;5.1071315;4.9969983;9.433454;
1.1132256;1.7348573;0.8940013;-19.14;-35.579998;-13.32;4.285621;4.6232033;8.119038;
1.2946526;1.8344283;0.9569204;-18.84;-35.28;-13.0199995;3.8187518;4.2999864;7.156568;
1.3838389;1.9046779;1.1047498;-20.58;-35.16;-12.96;5.430349;4.8602295;5.016152;
0.02893974;1.6157386;0.41813725;-21.06;-33.719997;-12.54;4.932355;5.384859;4.0773253;
-0.105450615;1.6475036;0.47739118;-20.52;-33.84;-15.299999;4.209007;4.8267107;7.1829042;
0.62819856;1.0806206;0.9636399;-21.24;-33.12;-16.8;5.334581;5.7487774;6.4957685;
0.7540368;0.9077458;0.8170323;-21.72;-32.52;-16.859999;5.4973865;6.2276177;5.11192;
0.8694903;0.5717699;0.7480045;-22.02;-31.679998;-16.8;6.124667;6.9578495;4.27365;
0.37041342;0.4129449;0.29046643;-22.8;-32.46;-16.08;6.668151;7.9921446;1.8962077;
0.21219932;-0.2003638;0.10293079;-23.1;-31.56;-14.7;5.0568533;7.8341274;3.41892;
0.081474155;-0.36346483;0.044898596;-23.1;-32.34;-15.66;4.9275665;8.729559;3.9336734;
0.25312728;-0.6914995;-0.28985557;-23.699999;-32.579998;-14.16;6.5771713;10.197205;3.4237084;
0.016111571;-0.9737192;-0.840856;-23.46;-32.579998;-13.74;6.7806783;11.36318;5.7008934;
0.6343072;-1.1948525;-0.9306532;-22.8;-34.02;-11.82;6.0193224;11.78456;5.4518967;
1.2299008;-1.4526376;-0.74189585;-20.699999;-36.54;-8.4;5.698499;11.705551;6.0935426;
1.4131604;-1.6780468;-0.89644474;-20.1;-36.899998;-5.7;5.8660936;11.873145;5.138256;
1.4302646;-1.749518;-1.0772609;-18.539999;-38.399998;0.35999998;5.5931544;11.339238;5.8660936;
1.7619644;-2.039679;-1.0033462;-15.12;-39.78;5.52;3.9791632;10.573094;5.269937;
1.6318501;-1.8478674;-0.9398162;-12.84;-40.5;11.46;4.1036615;10.467749;4.7524905;
