gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.061926465;0.11652254;0.057039544;-5.16;-34.38;-23.58;0.47405192;4.8123455;8.763078;
0.027259862;0.013286319;0.023441954;-3.48;-34.86;-24.779999;0.7062895;4.898836;8.684069;
-0.03504839;0.08597928;-0.124387436;-4.5;-34.739998;-24.3;0.30406362;5.7966614;9.476549;
0.33880115;0.29733866;-0.0828486;-3.8999999;-34.8;-24.6;-1.910573;7.592313;11.28896;
0.6998225;0.63697976;0.06375906;-2.58;-32.219997;-24.42;-3.1914709;7.8963766;10.175656;
0.9191231;1.0945178;0.19020817;-3.54;-29.46;-22.56;-4.7022123;7.0416465;9.689633;
1.0529026;1.4756978;0.42600214;-3.78;-27.18;-21.9;-6.428731;6.1414266;9.093477;
0.98082054;1.6064229;1.1346059;-2.28;-23.939999;-23.34;-7.240365;4.6830587;8.595484;
0.7523569;1.7939585;1.6391805;-3.36;-22.5;-23.58;-8.913912;2.801216;7.5779476;
0.792674;2.1244366;2.7369053;-3.36;-21.66;-24.72;-7.9658084;1.7956513;8.214806;
0.53183454;2.6528351;2.4094815;-4.2;-19.199999;-25.619999;-4.5034933;2.4253263;8.897153;
0.07185303;3.075554;2.3545036;-2.8799999;-18.18;-27.18;-7.2331824;1.8411411;10.623372;
0.019318614;3.0560062;2.9678125;-0.71999997;-15.66;-29.519999;-6.905177;0.90979666;11.777377;
-0.05826127;2.8012753;3.5194237;2.1;-14.4;-30.359999;-0.36391866;0.50996494;13.819632;
0.4909066;2.839149;2.597628;4.62;-12.48;-31.56;6.1653686;1.2449849;12.955325;
0.08651379;2.7157543;1.3600152;6.48;-11.759999;-31.26;6.65618;1.9608512;10.218752;
0.049861874;1.619862;1.1462122;10.2;-11.219999;-31.8;7.0272813;3.2369606;8.626608;
-0.08269588;1.043816;0.9788352;11.099999;-10.26;-31.08;6.4933743;4.6806645;8.341698;
0.06085745;0.10125092;0.8627708;10.559999;-9.179999;-31.199999;7.034464;6.1773396;8.052;
-0.028328875;-0.3391829;0.45715627;10.08;-8.94;-29.64;7.022493;7.8580694;6.6418147;
0.030925052;-0.52488595;-0.1512655;9.059999;-8.76;-30.42;6.062418;9.086295;7.8006086;
0.21174116;-0.9628763;-0.27404943;9.12;-9.78;-30.0;4.4125137;10.537181;9.22037;
0.44814602;-1.6910278;0.27084237;6.6;-10.08;-29.4;4.120421;12.227488;10.36001;
1.0095311;-2.174833;0.4461607;3.36;-11.46;-30.0;4.910807;13.422194;10.731112;
1.3125204;-2.750268;0.630642;-0.59999996;-12.96;-27.9;3.9552212;12.897863;10.568306;
1.5880206;-2.941469;0.34475708;-6.2999997;-14.82;-24.18;3.2585084;11.85878;8.538023;
1.3705525;-3.0202706;0.29588786;-10.8;-15.599999;-21.0;3.1316159;10.058341;6.562806;
1.3754394;-2.6708555;-0.3638466;-14.639999;-17.46;-15.719999;1.400608;7.5156984;2.777274;
0.7205919;-2.2169826;-0.89163417;-14.7;-18.84;-9.96;0.50757074;6.598719;1.5346833;
0.89407766;-1.9677497;-0.6857726;-14.4;-18.9;-6.3599997;-2.4396915;4.4819455;3.1914709;
0.50190216;-1.4277447;-0.3253621;-12.78;-19.08;-2.52;-3.071761;4.098873;-1.1180922;
0.2270128;-1.1833987;0.11446088;-12.059999;-20.1;-0.53999996;-1.4915876;4.261679;-0.6895301;
0.20502165;0.01817324;-0.5733734;-11.34;-19.5;0.35999998;-1.0486604;5.1286793;-2.5594015;
0.07246389;-0.22739458;0.112017415;-10.2;-20.46;0.48;-2.054225;5.578789;-2.9616275;
0.25022566;-0.58291817;0.64591366;-10.08;-20.699999;0.06;1.1348516;6.881235;-3.9624038;
