gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.019776762;-0.123547494;0.13523029;-7.9199996;-27.359999;-20.76;-0.04309563;5.6410384;7.826945;
-0.025885414;0.098807454;0.10529789;-7.44;-26.34;-21.539999;0.17717093;5.638644;8.042423;
-0.0045051314;-0.07895433;0.030772336;-7.98;-26.4;-21.539999;0.8451532;5.8876414;8.176498;
-0.016111571;0.09086621;-0.11339186;-7.68;-26.46;-21.72;-0.2633622;6.5101337;8.662521;
0.30825788;0.2209805;0.0313832;-7.98;-26.16;-22.26;-1.6280571;7.0057335;9.761459;
0.40660718;0.39629883;0.18287778;-7.08;-25.439999;-22.5;-1.9536686;7.010522;8.442254;
0.42798746;0.66874474;0.26473373;-6.12;-25.68;-21.96;-3.1387985;6.9219365;8.538023;
0.5788712;0.80557853;0.66179615;-6.24;-24.0;-22.92;-2.825158;6.742371;7.3696523;
0.2691625;1.2215778;0.6691265;-6.6;-23.34;-22.8;-1.6687586;6.3640876;6.8884177;
0.35285103;0.9240864;0.9067531;-6.8999996;-21.42;-23.76;-2.6719291;5.59076;8.57633;
0.48540878;0.88132584;1.2433399;-6.7799997;-21.0;-25.08;-2.420538;5.269937;6.7256117;
0.22395848;1.0456486;1.2415073;-6.7799997;-18.96;-24.96;-1.7956513;5.3896475;7.5516114;
0.3693444;1.1635456;1.2732723;-7.02;-18.66;-26.58;-2.030283;5.2483892;7.048829;
0.21051943;1.1024591;1.432708;-6.8999996;-16.38;-27.539999;-0.8499416;5.360917;8.269872;
0.26305383;1.4048374;1.1425471;-7.14;-15.839999;-28.859999;-0.5530606;5.5476646;7.18051;
0.07857254;1.3895657;1.2622766;-4.98;-15.12;-29.58;-1.3694834;5.5931544;7.58513;
0.041309763;1.3712398;1.3423;-5.16;-14.219999;-29.699999;-1.6400281;5.686528;8.20044;
0.115835324;1.4909693;1.4766904;-3.06;-13.0199995;-32.16;-1.721431;5.5692124;8.24593;
0.1530981;1.5905404;1.4840207;-2.58;-12.719999;-33.239998;-1.1923125;5.4495025;8.55957;
0.27160597;1.4989105;1.5774832;-0.71999997;-11.5199995;-32.88;-0.79487497;5.4997807;8.78702;
0.1811979;1.651016;1.4314864;1.3199999;-11.7;-33.059998;0.08140286;5.5572414;8.281843;
0.24411702;1.5245669;1.3087025;3.06;-11.219999;-32.46;0.21787235;5.585972;7.903559;
0.12927435;1.5642731;1.2140183;4.2;-10.8;-32.16;1.2856863;5.9498906;8.332121;
0.099952824;1.3266466;0.9672288;6.8399997;-9.36;-32.34;2.0207062;6.064812;7.633014;
0.07490735;1.4958563;0.36858082;7.98;-10.08;-30.96;2.765303;6.2467713;7.654562;
-0.055817813;0.9314168;0.39118284;9.78;-9.54;-31.439999;1.8962077;6.6130843;7.6114664;
0.11339186;0.41340306;0.5750533;11.16;-9.66;-31.439999;1.7046716;6.572383;7.1733274;
0.060246583;0.30833423;0.44188464;12.24;-8.5199995;-30.72;2.815581;6.7830725;7.285855;
0.08407033;0.17638734;0.103465304;11.82;-8.28;-30.84;1.7381904;7.0991073;6.2707133;
0.05047274;-0.08445212;0.20303634;12.12;-8.639999;-31.08;1.5921441;7.4462667;7.460632;
0.1109484;-0.12782355;0.07658723;11.759999;-8.82;-30.779999;1.0893618;7.652168;6.395212;
0.13599387;-0.32146785;0.0020616702;10.98;-9.36;-30.3;1.4053963;7.853281;6.646603;
0.08162687;-0.19624045;-0.2233476;11.099999;-9.3;-30.779999;0.5410896;7.8700404;6.0217166;
0.18608482;-0.28420505;-0.30520356;10.38;-9.059999;-29.939999;0.51235914;7.7575126;6.8860235;
0.18180877;-0.3061962;-0.26855165;10.8;-9.599999;-30.66;-0.58897364;7.793426;5.372888;
0.11400273;-0.40026945;-0.0028252518;10.0199995;-10.32;-30.539999;-0.45729253;8.044817;6.2348003;
0.16287194;-0.50656;0.064369924;10.0199995;-11.58;-30.72;0.02633622;8.267478;5.502175;
0.15859589;-0.5371033;0.032604933;8.4;-10.5;-30.0;1.0103531;8.588301;6.632238;
0.27282768;-0.49739704;-0.05047274;7.9199996;-11.34;-30.779999;0.29448682;8.842086;5.4040127;
0.18486309;-0.70203686;0.096134916;7.2;-11.5199995;-29.939999;1.5179238;9.522039;7.0033393;
0.46708283;-0.8034405;0.04848743;5.7;-11.759999;-30.42;1.8028339;10.094254;6.7926493;
0.53183454;-0.7325801;-0.041309763;4.5;-11.58;-30.24;1.13964;10.209175;6.77589;
0.9392817;-1.1308643;0.30321825;2.82;-13.86;-28.859999;1.9129672;10.553941;6.526893;
0.92645353;-1.0514518;0.30749428;0.06;-14.34;-28.08;3.6750996;12.1963625;7.204452;
1.2483795;-1.3532193;0.05642868;-1.1999999;-15.9;-26.82;4.187459;12.687174;9.196428;
1.730963;-1.8034269;0.19692768;-3.8999999;-17.1;-24.06;2.5881321;11.49965;6.7711015;
1.7291304;-1.9402608;0.40706533;-5.7;-19.32;-20.039999;1.115698;9.917083;5.765537;
1.6081791;-1.8254181;0.33070716;-8.94;-20.82;-14.16;0.5554548;8.676887;2.657564;
1.1610258;-1.6849191;0.22441661;-9.719999;-21.779999;-10.38;0.6967127;7.656956;0.29209262;
0.9130145;-1.4869987;0.061926465;-10.679999;-21.66;-7.08;-0.19632454;6.728006;-0.3184288;
0.66194886;-1.5322027;0.08575021;-10.679999;-21.48;-3.48;-0.7685388;5.432743;-2.2816741;
0.13416128;-1.3458889;0.499306;-11.099999;-21.24;-1.74;-0.59136784;5.818209;-1.7357962;
0.12744176;-0.98670006;0.7234935;-11.82;-20.16;-0.06;0.59136784;5.8493342;-2.44448;
-0.15477799;-0.52305335;0.2897792;-12.599999;-19.56;0.42;1.7549498;6.050447;-2.1667526;
0.32475123;-0.09117164;0.0075594573;-12.719999;-19.199999;1.0799999;0.78769237;6.5221047;-3.857059;
0.05169447;-0.44425175;0.3093269;-13.2;-19.859999;1.56;2.4468741;7.010522;-4.0892963;
-0.041157044;-0.36300668;0.30260736;-13.62;-18.66;2.3999999;2.908955;7.621043;-5.1406503;
-0.3563635;-0.28298333;0.106519625;-14.219999;-18.96;2.3999999;4.6255975;8.135797;-2.7246015;
-0.23296873;-0.20845777;-0.11461359;-13.679999;-17.82;1.86;3.2920272;7.831733;-2.837129;
-0.33376148;-0.012370021;-0.05047274;-14.58;-17.88;2.3999999;3.4093432;7.532458;-2.7030537;
-0.2457969;-0.1656972;-0.030925052;-13.74;-18.359999;1.86;3.3638535;6.809409;-1.5610195;
-0.34842226;-0.25488353;0.06498079;-13.799999;-18.18;0.9;3.6104562;5.916372;-2.6240451;
-0.426613;-0.257327;-0.092622444;-14.46;-18.3;0.42;3.86903;6.2707133;-2.44448;
-0.6324746;-0.40943244;-0.076739945;-14.639999;-17.34;1.62;4.120421;6.2108583;-1.1492168;
-1.1321623;-0.24327709;-0.15981762;-14.219999;-18.84;-0.17999999;3.98874;5.552453;-1.733402;
-1.2842678;-0.5572618;-0.11522446;-15.179999;-17.46;-1.38;2.2936451;5.3752823;-1.2401965;
-2.0307453;-0.5487097;-0.15004377;-15.299999;-18.539999;-2.28;3.6870706;5.0568533;0.81881696;
