gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.009850202;-0.36293033;0.10606148;-12.66;33.719997;-32.399998;0.36870706;0.33758244;9.768642;
0.58589613;-0.111253835;0.17020233;-13.38;33.12;-32.04;-0.24899697;-0.05746084;12.603377;
0.3000112;-0.67813677;0.32597297;-14.28;32.28;-31.08;-0.02873042;0.8523358;9.325715;
-0.33223432;-1.1454487;0.6130796;-14.46;28.32;-33.78;-3.857059;-0.34715924;12.387898;
0.21571179;0.08239045;1.2117276;-15.9;25.68;-33.42;-6.790255;-3.6152446;15.936405;
1.1649964;1.149572;2.8879418;-16.8;24.779999;-34.5;-4.0054994;-4.9036245;15.764023;
1.751427;1.5527431;3.0974686;-11.7;24.539999;-36.0;-2.7246015;-5.8636994;15.172655;
2.236454;1.1062006;2.8066967;-6.42;22.38;-38.579998;1.9680338;-4.891354;11.990461;
0.794812;1.9284252;3.086473;-1.74;19.26;-40.079998;4.268862;-6.110302;12.071864;
2.337247;1.040838;2.7798188;3.54;16.92;-42.18;8.044817;-5.090372;10.12059;
1.3335952;1.1721741;2.6216044;7.74;11.7;-42.239998;11.937789;-0.17477672;3.4141316;
-0.09155343;0.32979086;1.2728142;10.8;6.8999996;-41.1;9.809343;2.3918076;2.44448;
-0.15263996;-0.03611741;0.7352527;10.559999;6.24;-40.68;9.064747;3.3327289;4.6806645;
0.12896892;-0.75266236;0.45058948;10.32;6.18;-40.079998;7.652168;4.968268;6.0552354;
-0.4544074;-0.672639;0.035811976;9.059999;5.4;-40.739998;7.0895305;6.9602437;9.047988;
0.350713;-1.0794753;-1.2861004;7.02;6.72;-41.1;7.5300636;11.195586;13.905823;
0.9047678;-0.5303074;-1.1339949;5.16;6.54;-40.92;6.392818;11.935394;18.91958;
2.114281;-1.0745883;-1.9806542;4.3199997;3.8999999;-41.04;10.623372;12.646473;18.067245;
2.0770183;-0.22548564;-3.0356185;3.6599998;-1.14;-40.86;8.6457615;7.70484;18.876484;
3.0611222;-0.7208974;-2.9085586;5.3399997;-6.48;-38.46;4.3239284;3.5745432;16.918028;
3.3842697;-0.9744064;-2.5774696;6.2999997;-11.759999;-35.94;2.80361;1.508347;14.188338;
2.8021152;-0.28107437;-2.7033079;7.44;-17.76;-32.7;-0.076614454;-2.9496565;11.791742;
2.8296041;-1.094136;-1.6752216;10.679999;-22.26;-28.14;-6.9793973;-5.770325;4.620809;
2.2761602;-0.58589613;0.18791743;11.94;-25.8;-23.939999;-5.320215;-4.4963107;1.5490485;
2.4056637;-1.2273046;0.3027601;10.44;-30.359999;-19.199999;-2.6982653;0.39025488;-5.92116;
0.23159428;-0.3543782;0.0669661;8.7;-31.8;-15.12;-2.8395233;0.878672;-4.331111;
-0.20761782;-0.76304704;0.15431984;8.28;-33.18;-15.0;-3.1124623;0.7086837;-3.6655228;
-0.5985716;-0.6677521;0.8488736;7.9199996;-32.7;-15.78;-2.6240451;0.21308395;-2.858677;
-1.0640509;-0.554742;1.0009791;4.02;-32.399998;-16.619999;1.3790601;1.8267759;-3.3183637;
-2.2222514;-0.92981327;0.71265066;1.8;-30.84;-19.5;1.6807296;-0.30645782;-2.3558946;
-2.9693396;-0.80030984;0.6643923;-1.02;-25.619999;-24.72;4.570531;-0.6344634;-0.9911995;
-3.4757469;-2.5143976;1.536097;-4.98;-22.439999;-29.82;4.213795;-4.841076;5.123891;
-4.9448776;-1.6396387;1.5238798;-10.2;-15.0;-32.7;7.022493;-3.9312792;7.1038957;
-4.4891725;-2.8833604;1.5831337;-17.52;-2.6399999;-36.78;12.881104;-2.7365725;15.871761;
-5.1030917;-3.0916653;0.94661206;-24.72;9.42;-34.98;13.017574;-1.1061212;21.596298;
-4.137314;-2.160096;0.83787805;-28.8;17.76;-29.88;12.976872;0.7326257;26.557383;
-2.0658698;-1.4991397;0.80489135;-31.32;28.38;-21.96;11.329661;3.9743748;22.273857;
-1.9846249;-0.36415204;0.10606148;-31.92;31.32;-16.74;8.3512745;2.822764;17.87092;
-1.0487792;-0.1399645;0.099952824;-31.92;33.36;-14.219999;6.526893;1.2761095;13.601759;
-0.5075527;0.12270755;-0.21708624;-32.46;33.42;-12.059999;7.403171;0.49799395;10.984897;
-0.40187296;0.35666895;-0.4003458;-32.94;34.44;-11.88;5.844546;-1.3263878;9.404723;
6.872234E-4;0.37255144;0.030314188;-33.96;33.66;-11.28;5.293879;-1.6543933;9.10066;
0.39713877;0.3853796;0.18852828;-31.38;34.38;-12.12;6.2611365;-1.4341269;7.805397;
0.25663975;0.32856914;-0.10224357;-32.28;34.14;-12.719999;6.6250553;-1.6041151;6.395212;
0.04955644;0.20822869;-0.26900977;-31.26;34.079998;-13.74;6.2276177;-2.315193;6.304232;
0.11675162;0.21311562;0.04925101;-31.92;33.719997;-13.62;5.5356936;-3.0214825;6.65618;
0.09659307;0.10865766;0.21174116;-32.16;33.84;-15.299999;5.873276;-2.540248;6.572383;
0.11369729;0.098883815;0.11217013;-31.5;33.42;-14.5199995;6.6011133;-2.1045034;6.34254;
-0.100716405;0.0762818;-0.099189244;-32.34;34.02;-14.88;6.680122;-2.0087352;6.6418147;
-0.14408784;0.07383834;-0.10896309;-31.199999;34.079998;-14.82;6.110302;-2.2361844;6.857293;
