gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.5745951;-0.30596712;0.08269588;-11.16;-27.3;-20.58;0.33518824;3.821146;7.975385;
0.20624338;0.49060115;-0.10361802;-10.26;-27.18;-20.939999;-1.1994951;4.498705;7.546823;
0.1970804;0.80275327;0.08086329;-10.44;-26.4;-21.42;-2.7485435;5.3226094;9.177275;
0.45303294;0.8656724;0.48525608;-10.139999;-26.039999;-22.02;-5.370494;6.82138;9.9099;
0.8250499;1.5492306;0.7186066;-9.78;-24.9;-22.14;-6.5939307;7.0871363;12.086229;
1.2343296;1.8326721;1.3203089;-8.7;-24.0;-24.24;-8.5739355;5.909189;9.826103;
1.214171;2.255391;1.8108337;-9.54;-23.519999;-24.359999;-7.4534492;4.4077253;9.325715;
0.93989253;2.5877016;2.6868143;-9.0;-22.199999;-25.439999;-8.133403;2.657564;10.235512;
1.0254136;3.0324113;3.0130165;-8.4;-21.119999;-27.119999;-5.255572;1.3120226;9.675268;
0.67722046;2.59381;3.4571154;-7.98;-18.9;-27.42;-1.982399;0.7134721;10.64492;
0.40660718;2.9401708;2.779666;-7.56;-16.74;-29.279999;-0.92655605;1.0654198;11.071088;
0.6307947;2.4691937;2.8089874;-7.02;-16.92;-29.22;2.2936451;1.1875241;12.057499;
0.49151745;1.7929659;1.8749745;-5.52;-16.68;-29.699999;9.098266;2.4301147;8.461408;
0.051083606;1.7880789;0.8071821;-4.7999997;-15.36;-30.599998;8.41113;3.3159695;9.543588;
0.06207918;0.6427066;0.84077966;-1.4399999;-16.68;-29.939999;7.4678144;4.76925;7.951443;
0.124387436;-0.012140946;0.8957575;-1.38;-15.66;-30.119999;8.296208;6.1150904;6.390424;
-0.07231117;-0.38476875;0.93912894;-3.06;-15.24;-30.359999;8.133403;7.5276694;5.7631426;
0.25450173;-0.7073056;0.22869268;-5.22;-15.24;-29.64;10.5563345;9.957784;8.41113;
0.082237735;-0.62422794;-0.45608726;-5.7599998;-14.7;-29.58;5.753566;12.735058;8.839692;
0.9374491;-1.7054594;0.10713049;-6.3599997;-15.96;-29.279999;4.8745947;13.901034;10.271424;
1.3907111;-1.9675206;0.0026725354;-9.9;-16.38;-27.359999;6.6609683;13.728652;10.932224;
1.7340174;-2.106187;-0.32658383;-12.78;-17.52;-24.66;4.817134;12.064682;8.169315;
1.8622991;-2.3083835;-0.6149122;-13.5;-20.52;-20.699999;2.5354595;9.689633;5.945102;
1.7370716;-2.2772293;-0.5910885;-14.34;-22.619999;-15.0;-0.32800564;7.740753;4.098873;
1.5984052;-2.3126595;0.014278975;-14.58;-24.9;-9.179999;-1.8914193;5.770325;2.006341;
1.0467939;-1.5173129;-0.17570011;-14.88;-24.96;-5.7599998;-0.5434838;4.8722005;1.0151415;
0.8348237;-1.0200686;-0.027870728;-14.5199995;-24.84;-1.3199999;-3.1603463;3.8067808;-1.3383588;
0.8818603;-1.2570844;0.51518846;-14.34;-25.5;1.14;-1.958457;3.7134068;-2.8778305;
0.5067891;-0.9351583;0.45226935;-16.619999;-23.279999;4.08;1.0726024;3.7229836;-3.2106245;
0.08162687;-0.45990518;0.28061622;-16.32;-22.98;4.3199997;0.47405192;4.414908;-6.2395887;
-0.2671772;-0.578413;0.40462187;-17.039999;-22.619999;5.94;2.2744915;4.6160207;-5.06643;
-0.7351;-0.38599047;0.39790234;-17.039999;-21.779999;5.16;3.0669725;4.9036245;-5.114314;
-1.0802388;-0.43241623;0.38873938;-17.64;-22.14;5.2799997;5.0329113;4.369418;-3.799598;
-1.4003322;-0.23327416;-0.24533875;-18.779999;-21.3;3.78;4.489128;4.321534;-2.7820623;
-1.9232329;-0.29619327;-0.16714801;-18.9;-21.48;2.46;3.9743748;4.024653;-1.1779473;
-2.163303;-0.13187054;-0.3675118;-19.68;-22.08;1.26;2.4947581;3.0310593;-0.6919243;
-2.4919484;-0.4892267;-0.7224245;-19.32;-21.84;-2.28;3.2752678;3.3542767;3.2752678;
-3.0826552;-0.76411605;-0.26794076;-20.039999;-21.779999;-5.7599998;1.1971009;2.9496565;3.2249897;
-3.1590133;-1.1569024;-0.43287438;-19.74;-21.96;-10.2;0.9720459;3.9695864;7.154174;
-3.4711654;-1.1434634;-0.36018142;-20.64;-20.52;-13.86;4.307169;7.618649;11.332056;
-3.4540613;-0.65354943;-0.9203448;-21.42;-20.279999;-15.78;0.47165772;9.69921;14.76564;
-2.3923774;-0.6706537;-0.94111425;-19.619999;-18.84;-20.039999;0.22984336;11.717523;20.664953;
-0.99349594;-0.24243714;-0.9191231;-19.859999;-19.26;-19.92;-1.1492168;11.329661;14.698303;
-0.63858324;-0.2644283;-0.68821603;-19.439999;-20.82;-19.26;0.48123455;9.79019;9.62499;
-0.9727265;0.18883371;-0.81771946;-17.88;-21.84;-19.08;0.9888053;8.071154;8.5476;
-0.43211082;-0.1605812;-0.5593235;-18.3;-22.98;-19.56;0.260968;7.0392523;8.904335;
-0.580551;0.10209085;-0.32963815;-17.279999;-22.98;-18.72;0.3878607;6.2156467;8.758289;
-0.30871603;-0.16791159;-0.0669661;-16.44;-24.24;-19.199999;0.62967503;5.346552;9.301773;
-0.100410976;-0.094607756;-0.04008803;-16.199999;-25.38;-18.539999;1.4915876;5.1909285;9.033623;
-0.052763484;-0.112322845;-0.09506591;-16.92;-25.439999;-18.119999;0.9888053;5.0807953;8.612243;
-0.023441954;-0.058566704;-0.08162687;-17.16;-26.039999;-17.4;1.0510546;5.016152;8.837297;
0.010155635;-0.14164437;-0.13538301;-16.14;-26.34;-17.58;1.3024458;5.123891;9.316138;
-0.03443753;0.23892467;-0.13477215;-16.14;-26.34;-17.279999;1.5370775;4.783615;7.3600755;
0.003436117;-0.009697486;-0.13660474;-14.88;-26.46;-17.039999;1.9776106;4.6591167;8.396765;
-0.15783231;0.106977776;-0.21235204;-15.54;-27.599998;-16.859999;1.376666;4.4795513;8.174104;
-0.13461943;-0.08544478;-0.09201158;-14.4;-28.74;-17.16;1.4437037;4.6112323;8.949825;
-0.01366811;-0.017027868;-0.15920675;-14.219999;-27.66;-16.44;1.1109096;4.594473;8.923489;
-0.5964336;0.056886826;-0.07490735;-13.259999;-28.019999;-17.52;0.39504328;4.465186;7.6258316;
