gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.26244298;-0.689056;-0.2959642;-30.66;-27.18;-9.719999;1.5251064;5.3776765;9.1629095;
-0.21357377;0.42332962;-0.30695978;-30.96;-27.72;-9.599999;0.50757074;4.5058875;9.296985;
-0.017486017;-0.47708577;0.15974127;-30.06;-28.08;-9.78;-1.2018893;4.074931;8.873211;
0.17676914;-0.5198463;1.0192287;-31.14;-27.72;-9.24;-3.6966474;2.777274;10.101437;
0.94401586;-0.9969321;2.1053472;-33.54;-26.76;-8.28;4.462792;2.5570073;12.8092785;
2.0289125;1.8613064;2.2757785;-37.079998;-25.199999;-6.66;3.1986535;1.4197617;12.945748;
1.6025286;2.9126055;2.182927;-40.14;-22.38;-7.7999997;5.3441577;0.48362875;15.009849;
2.661769;3.5387423;1.4828753;-40.739998;-18.18;-13.62;9.742306;0.61770403;14.104542;
2.9598713;3.35365;2.151162;-40.44;-16.68;-16.5;12.1724205;-0.4189853;15.328278;
2.4504097;3.8001926;1.1554517;-39.18;-14.88;-20.64;15.749658;1.7669208;9.392753;
1.8151097;3.889379;0.9062186;-36.3;-15.42;-25.26;15.218144;1.079785;6.419154;
1.9495001;2.7452285;1.0888673;-31.56;-15.42;-31.08;14.659996;1.9297266;0.6631939;
1.1364385;1.5809193;0.7498371;-27.42;-18.24;-32.82;12.107778;3.8283286;-2.858677;
0.2653446;0.61941737;0.22999077;-26.64;-18.3;-33.0;9.696816;5.4471083;-1.8770541;
0.18043432;-0.3933972;0.074830994;-25.859999;-18.72;-32.7;8.116643;7.922713;0.90740246;
0.12912165;-0.8546005;-0.26358834;-26.699999;-19.02;-33.059998;7.1757216;10.673651;3.4979286;
0.43455425;-1.1319333;-0.5561928;-27.18;-18.72;-31.679998;7.867646;13.671191;4.654328;
0.6831764;-1.5008959;-1.212262;-29.16;-21.06;-28.74;8.047212;13.8842745;3.4644098;
1.6239089;-2.1954496;-0.95569867;-28.92;-23.4;-27.599998;7.412748;16.254833;4.9371433;
2.1278727;-2.9584203;-1.6398678;-31.14;-28.5;-20.34;13.297695;20.590733;5.686528;
1.3594042;-3.001181;-2.7528641;-30.359999;-31.439999;-13.139999;11.107001;15.538967;9.26586;
2.0429626;-2.8435776;-3.071125;-26.76;-36.239998;-5.8199997;6.119879;11.367969;10.869975;
2.6000717;-3.1606169;-2.685669;-19.439999;-40.739998;1.8;1.99437;6.4119716;7.2810664;
1.7240908;-2.6407704;-1.6850718;-13.38;-42.48;9.36;3.3399115;3.3662477;9.603442;
2.2225568;-1.5625933;-1.0112875;-7.62;-42.239998;14.5199995;-2.1763294;-0.10055647;8.652945;
2.3056345;-0.84849185;-0.6178902;-3.78;-41.28;19.439999;-2.681506;-0.16280572;4.307169;
1.1651491;-0.1600467;-0.15118915;-1.68;-37.8;25.38;-4.956297;-0.6991069;-2.8083985;
0.42966735;-0.3811799;-0.0852157;-2.28;-36.42;27.06;-4.8147397;-0.46926352;-3.5913026;
-0.7175376;-0.044593163;0.089491755;-0.12;-36.18;28.92;-3.763685;0.1412579;-4.4484267;
-0.83726716;0.02687807;0.63621616;-0.48;-36.54;28.14;-3.052607;0.2681506;-2.315193;
-0.2654973;0.1441642;1.099252;-2.46;-37.44;26.76;-2.791639;-0.22026655;-4.9778447;
-1.0382419;-0.17654006;1.9776763;-5.04;-38.579998;25.08;-0.23223756;1.0749966;-5.147833;
-1.7926605;-0.048258353;1.8231273;-8.76;-39.239998;22.5;1.8650831;2.3127987;-2.585738;
-2.4218516;0.14844026;2.127949;-12.96;-38.82;17.699999;6.61069;3.9193082;1.4772224;
-3.5470655;-0.79168135;2.0173824;-16.68;-39.899998;12.599999;3.8043866;3.7421372;3.6176388;
-2.972852;-0.7483099;2.4071145;-21.18;-39.48;6.54;5.9474964;7.0751653;6.878841;
-1.9013945;-1.3335189;2.8683178;-26.099998;-37.5;1.5;11.523592;12.591406;7.561188;
-2.4090235;-1.0170907;1.9581286;-30.3;-33.0;-1.02;11.78456;14.58817;10.405499;
-2.3283892;-1.074512;1.3778065;-34.26;-30.72;-2.82;8.396765;13.187562;11.346421;
-1.5880206;-0.36163223;0.95142263;-37.68;-27.24;-3.6599998;5.2627544;12.081441;11.693581;
-0.50006956;-0.06719518;0.81153446;-38.16;-25.92;-4.92;8.01848;11.02081;9.253889;
-0.6979899;0.3549127;0.17379116;-39.18;-23.16;-6.42;8.36564;9.823709;7.2116346;
-0.62102085;0.23457226;-0.28191432;-39.6;-21.96;-6.24;5.11192;8.308179;5.930737;
-0.7334201;0.10751228;-0.35643986;-38.82;-22.439999;-8.88;6.8860235;6.220435;5.906795;
-0.6527859;0.059864793;-0.39492437;-37.68;-23.16;-8.639999;5.480627;5.789479;5.5332994;
-0.33208162;0.40744713;-0.41386122;-36.78;-22.5;-9.48;4.4819455;5.4495025;7.4223247;
0.209145;0.103847094;-0.025961773;-36.84;-22.92;-10.38;5.0496707;5.360917;6.4119716;
-0.11827879;0.21013765;-0.046731193;-35.94;-22.56;-9.96;5.1334677;5.674557;5.885247;
0.07780896;-0.099571034;-0.16157386;-36.42;-22.02;-10.32;5.8397574;5.729624;6.4861917;
-0.19402607;0.11911872;-0.22571471;-35.52;-22.68;-10.2;5.770325;5.6673746;5.8206034;
