gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.6118579;0.38973203;0.11942416;-24.18;-31.92;-14.82;5.528511;6.107908;6.026505;
-0.33880115;0.27183503;-0.25442538;-25.019999;-31.8;-16.5;5.954679;5.4399257;8.310574;
-0.21968241;0.18753563;-0.17073683;-23.88;-32.16;-17.76;3.1771057;4.175488;7.9083476;
0.44738242;0.24862215;0.38087448;-24.48;-31.92;-17.699999;2.0350714;4.283227;13.003209;
0.82489717;1.0476339;0.53969944;-24.779999;-30.66;-17.34;-0.37828386;4.5537715;13.889063;
1.8896353;1.8301523;0.24281894;-25.26;-30.9;-18.96;4.76925;6.036082;16.34342;
0.286114;3.1667254;-0.3912592;-24.24;-32.579998;-18.96;3.4763808;5.8253922;9.651326;
1.9293416;2.7116308;0.93370754;-22.199999;-33.239998;-22.56;4.1802764;1.5849615;13.855544;
2.072284;2.8777862;1.162782;-20.279999;-33.78;-23.1;7.934684;4.283227;7.4582376;
1.1596513;2.4996605;1.2342533;-21.42;-33.719997;-22.439999;4.5058875;1.2090719;8.466196;
1.6587282;2.6267207;2.0564778;-20.279999;-33.899998;-23.58;5.5117517;-0.4429273;8.312967;
2.52127;2.0146337;2.1255057;-22.08;-32.76;-23.939999;12.043134;5.684134;-0.15562311;
0.16577356;1.3701707;0.47983465;-23.16;-33.059998;-22.74;9.67048;7.0536175;-3.1866825;
-0.5593235;0.7501425;0.19211712;-21.84;-32.94;-24.48;7.1398087;6.083966;1.163582;
0.2775619;-0.05375614;0.4596761;-21.42;-32.34;-25.619999;7.0296755;7.3935943;3.2824504;
0.09002627;-0.45020768;0.118202426;-22.26;-31.74;-24.779999;7.654562;9.598654;1.508347;
0.005726862;-1.3176364;-0.29718593;-23.16;-31.38;-23.699999;7.120655;12.232276;1.9177556;
-0.08040514;-1.7067575;-0.7443393;-25.5;-31.859999;-22.26;9.189245;16.23568;4.594473;
0.8945358;-2.82403;-1.2855659;-25.08;-32.7;-19.859999;7.8963766;15.716139;3.4165258;
1.1627057;-2.778826;-1.4853189;-24.6;-35.28;-15.12;8.049605;14.796765;10.46296;
2.0246365;-2.3866506;-1.7449366;-23.1;-38.16;-8.5199995;7.807791;15.433622;11.985673;
2.4235315;-2.3225098;-2.4071145;-19.56;-40.5;-1.86;7.6114664;13.367127;10.111013;
2.5231025;-2.2766948;-2.7791314;-13.139999;-42.96;6.0;3.9145198;7.934684;5.894824;
1.8041141;-2.5082128;-2.209805;-7.14;-42.899998;11.82;1.6496049;5.674557;6.036082;
1.8542051;-1.7965547;-1.6282613;0.96;-42.12;17.94;-1.5777789;2.4253263;7.228394;
2.2598195;-0.9584476;-0.38087448;6.7799997;-39.54;21.9;-3.5194764;0.9744401;4.06296;
1.5438856;-0.852157;-0.24404067;8.46;-37.739998;25.8;-5.5093575;0.34955344;0.9744401;
0.8462774;-0.16126843;-0.20433442;10.32;-35.1;28.26;-4.050989;0.78529817;-2.9161377;
-0.3113122;0.1020145;-0.16584991;11.5199995;-34.2;29.4;-4.673482;0.6631939;-2.2960393;
-0.2270128;0.44348818;0.23609942;11.82;-34.32;29.46;-4.711789;0.92176765;-2.4995465;
-0.28932106;0.4098906;0.9850202;9.84;-34.68;28.619999;-4.0677485;1.6759412;-4.8602295;
-0.9893726;0.30848694;1.1450669;6.12;-35.16;27.42;-0.2633622;3.478775;-4.132392;
-1.3876568;0.10445796;1.2501358;4.68;-37.44;26.16;0.7086837;3.6391866;-1.7525556;
-2.153071;0.18570304;1.0509937;2.28;-40.02;23.519999;1.8579005;4.9491143;-1.8842367;
-1.9270508;-0.7648033;1.6496416;-0.29999998;-42.239998;18.119999;2.1188686;4.0294414;1.9201498;
-2.297235;-0.5821546;2.5518897;-3.06;-42.42;14.099999;2.966416;4.829105;2.1571758;
