gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.05933029;-0.14485142;0.10728321;-16.98;-1.1999999;-45.84;2.9831753;1.1324574;9.10066;
-0.07261661;-0.04344779;0.046196684;-17.699999;-1.92;-44.76;3.5745432;1.1923125;8.9402485;
0.13324498;-0.30917418;-0.019165898;-18.359999;-2.28;-45.78;3.3375173;1.271321;9.713575;
-0.12759447;0.09216429;0.20379992;-17.4;-2.28;-45.12;-0.59376204;1.2425907;11.085453;
0.50281847;-0.124692865;0.66194886;-17.88;-1.9799999;-44.879997;-0.92416185;1.4389153;13.65922;
0.5632941;0.33528867;0.4909066;-19.32;-4.38;-43.62;-2.837129;0.94331545;14.276924;
0.75449497;1.0609965;0.8299368;-19.14;-5.7599998;-42.78;-5.430349;-2.3199813;16.40088;
1.810681;1.2778537;2.5415812;-17.46;-8.58;-41.34;-3.3997664;-4.980239;15.462353;
1.5687783;2.1043544;2.47011;-18.48;-9.179999;-39.96;-0.29688102;-6.182128;14.193127;
1.5706109;2.1898756;3.689397;-18.24;-10.92;-38.16;0.9768343;-9.5292225;14.985907;
1.9633973;1.9345338;4.101731;-18.84;-9.12;-39.0;6.1917048;-8.6457615;12.284948;
1.5742761;1.8380171;3.8451676;-19.619999;-8.16;-39.239998;8.65055;-6.1893106;8.253113;
1.7996854;0.9308823;3.521409;-19.619999;-6.24;-40.86;9.684845;-2.2888567;6.098331;
0.8143597;1.2656364;1.7822757;-19.56;-7.44;-42.54;14.243405;3.6032736;2.0231004;
-0.7738899;0.81848305;0.60574925;-19.32;-6.18;-41.879997;8.468591;2.1260512;4.187459;
0.39774963;-0.5406921;1.0180833;-18.06;-4.38;-43.739998;7.9682026;3.8283286;6.562806;
0.18639025;-0.8534551;0.44448084;-20.4;-3.36;-43.079998;9.883564;9.045593;5.1047373;
-0.3994295;-0.7050148;-0.9140835;-21.119999;-3.78;-40.98;10.474932;12.641685;12.086229;
0.32750013;-0.9389762;-1.5945873;-22.08;-5.1;-41.219997;10.661679;13.8363905;18.179771;
2.2602777;-1.0153344;-1.8517616;-23.22;-8.4;-40.559998;8.538023;10.546758;20.052038;
3.0507374;-1.4985288;-2.3233497;-23.58;-14.759999;-37.5;8.26269;9.562741;17.274763;
2.9780445;-1.5651131;-3.264693;-22.14;-25.56;-32.76;6.830957;6.512528;16.496649;
3.17963;-1.5748869;-3.4009159;-17.46;-38.46;-24.779999;4.486734;1.5514427;13.601759;
3.1851277;-1.4875332;-2.743014;-9.96;-40.26;-14.88;-2.528277;-1.42455;10.81012;
2.4129941;-1.0825295;-2.0038671;-5.4;-43.26;-7.56;-4.642357;-4.213795;3.1148565;
2.0293708;-1.0293843;-0.5255732;-1.86;-44.879997;-3.8999999;-6.7256117;-3.7205894;2.9759927;
1.4826463;-0.5303074;0.19219348;-1.38;-45.0;1.26;-4.3766007;-1.7118542;-3.4524388;
0.98051506;-0.9139308;0.59169936;-1.26;-44.7;5.94;-2.6144683;-0.5650316;-5.255572;
-0.30535626;-0.8161923;0.91362536;-2.28;-44.04;7.02;-1.5155296;-0.49559975;-4.7884035;
-0.845972;-1.1747702;1.2728142;-3.8999999;-43.86;5.94;-0.7398083;-1.1061212;-4.036624;
-1.7714329;-1.1674398;1.3528374;-6.0;-44.399998;4.08;1.4891934;-1.103727;-2.5929205;
-2.5753314;-1.5376241;1.4713453;-7.98;-43.86;0.48;3.3614593;-2.0326772;-0.9696517;
-4.2100067;-1.5816065;1.6032922;-11.94;-42.719997;-5.52;4.910807;-2.8107927;0.47165772;
-4.286365;-2.9450576;2.4939337;-16.8;-41.04;-12.0;9.723152;-4.280833;10.374375;
-5.25703;-2.2193499;2.2801309;-23.279999;-35.46;-18.359999;13.601759;-2.8443117;17.763182;
-4.7542877;-2.5009587;2.1365776;-28.68;-28.08;-24.539999;15.723321;1.388637;22.407932;
-3.5820374;-1.6420821;1.3601679;-32.219997;-19.92;-28.56;14.482825;4.31914;19.281105;
-3.3725107;-1.2242503;0.4469243;-34.86;-10.74;-32.16;11.415853;3.0310593;18.040909;
-1.7054594;-1.189431;0.6436229;-34.5;-5.94;-32.94;10.259454;2.815581;16.590023;
-1.4165201;-0.4826599;0.23251058;-34.92;0.59999996;-32.16;9.478944;2.4157495;12.208334;
-0.90522593;-0.31467196;-0.14928019;-35.28;3.78;-30.96;8.983344;1.3718776;11.0974245;
-0.30841058;0.23021984;-0.38018724;-34.68;5.94;-29.46;8.042423;-0.019153614;10.649709;
-0.06528623;0.41592288;-0.15661058;-34.14;5.64;-31.26;6.241983;-0.79008657;8.15495;
0.058719423;0.69447744;0.054748796;-34.26;5.7;-31.859999;7.2834606;-0.94570965;6.6657567;
0.20288362;0.16241379;-0.0020616702;-33.12;5.64;-33.239998;7.5755534;-1.1875241;5.5332994;
-0.010919216;0.07200574;-0.23907739;-32.52;5.16;-32.579998;7.1015015;-1.4748282;4.9610853;
-0.11415544;0.032910366;-0.16943875;-33.12;5.46;-33.239998;7.1829042;-2.2242134;6.0456586;
-0.009697486;-0.010461068;0.05047274;-33.12;5.16;-33.18;7.0296755;-2.1547816;6.062418;
0.11919508;-0.09903653;0.15187638;-33.54;4.8599997;-33.66;7.656956;-1.8579005;6.060024;
-0.041462477;-0.0538325;0.027259862;-33.3;5.64;-33.66;7.5899186;-1.7980455;5.729624;
