gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.0322995;0.53305626;0.058337633;7.8599997;-10.26;-46.079998;-6.586748;5.4854155;6.5675945;
0.09094256;0.3497967;0.66737026;9.3;-10.62;-46.2;-9.002498;4.757279;5.3561287;
-0.11614075;1.1317042;0.44929138;10.8;-10.92;-45.6;-8.353669;5.2747254;6.818986;
0.14897476;1.5031103;0.7021896;11.88;-11.759999;-45.239998;-11.681609;4.223372;5.645827;
-0.045280386;2.0113502;1.2586879;14.46;-11.4;-45.12;-12.2442465;2.8754363;5.84694;
-0.6335436;2.642374;1.8958203;18.539999;-12.12;-42.719997;-13.529933;1.42455;7.501333;
-0.99456495;3.322267;2.1670444;20.76;-12.719999;-40.739998;-12.06947;0.842759;8.538023;
-1.2896129;3.5464544;2.6233609;26.039999;-13.38;-36.48;-10.630555;0.78769237;11.899482;
-1.0385473;3.3521993;2.6978865;29.46;-13.559999;-32.82;-6.5675945;1.2018893;13.316849;
-1.3244323;3.544622;2.5879307;33.42;-16.26;-30.0;-8.03524;0.79008657;13.30009;
-1.0031171;2.8066967;3.1285462;35.7;-19.08;-26.039999;-0.18435353;2.3463178;14.9547825;
-0.67508245;2.4939337;1.7363845;35.64;-22.8;-22.859999;5.3776765;3.6846764;13.292907;
-0.39652792;1.7132479;0.3576616;36.059998;-25.32;-19.8;4.9012303;4.355053;11.420641;
-0.28718302;0.76762855;0.473726;37.44;-26.58;-17.52;4.450821;5.969044;10.637737;
-0.26519188;-0.30810517;0.44868052;37.32;-26.279999;-17.22;5.257966;9.43106;10.953772;
0.5118287;-1.0649672;-0.14630222;36.3;-27.84;-17.52;4.1036615;13.958495;11.624148;
0.7751116;-1.6092482;0.786489;35.28;-26.82;-18.539999;-4.4795513;18.2923;13.237841;
1.8398497;-2.8694632;2.4071145;32.88;-30.179998;-20.039999;-0.055066638;17.435175;11.229105;
2.2265275;-2.6666558;1.208597;26.519999;-34.559998;-21.3;-1.6807296;16.350601;12.14369;
2.75798;-3.2616386;1.6502525;21.9;-38.04;-19.74;-5.779902;12.423812;10.951378;
2.6516898;-2.629393;1.0906999;15.66;-42.54;-16.32;-6.914754;7.752724;4.685453;
1.5564083;-2.6391668;1.6258179;11.759999;-45.6;-12.42;-6.9195423;3.6104562;-0.3184288;
0.46540296;-2.1651356;1.7547104;6.96;-46.8;-9.36;-3.6942532;1.8602947;-1.5490485;
0.36522105;-1.4388168;0.95142263;1.68;-48.42;-7.62;-1.5107412;1.3934253;1.2090719;
0.12698361;-0.78458005;0.30879238;-0.9;-48.96;-6.96;-0.51954174;-0.7254431;-2.2625206;
-0.33360878;-0.5866597;0.07360926;-2.9399998;-48.42;-7.5;1.4939818;-1.7166426;-2.7509377;
-0.6903541;-0.28000537;-0.14874569;-3.54;-48.539997;-7.14;2.396596;-1.340753;-3.7253778;
-1.275563;-0.2213623;-0.48533243;-2.1;-47.579998;-9.84;3.6056678;-0.019153614;-2.018312;
-1.6139823;-0.51396674;-0.95264435;0.35999998;-47.7;-12.3;4.6950297;1.5107412;1.8842367;
-2.3170881;-0.6556875;-1.4871514;1.0799999;-45.899998;-16.68;4.5657425;1.3742718;2.054225;
-2.3366358;-0.381409;-2.36863;5.04;-41.76;-21.84;1.6041151;2.2481554;5.4830213;
-3.3005812;-1.2861004;-2.3264804;9.78;-37.8;-26.82;-3.5625722;3.1172507;9.936236;
-3.401374;-1.7430276;-2.3790147;11.4;-32.52;-32.7;-4.5322237;4.7668557;9.9673605;
-3.043407;-1.804725;-2.6758952;12.66;-24.72;-39.12;-6.7854667;8.966584;17.009007;
-2.5455518;-1.6385697;-2.1267273;11.82;-17.82;-42.6;-11.660062;11.401487;16.111181;
-1.5144113;-0.7351;-2.6923885;9.66;-11.88;-45.84;-11.054329;13.388675;15.270817;
-0.822301;-0.8652143;-0.95142263;9.0;-7.56;-45.719997;-10.276213;12.351986;11.597813;
-0.44356453;-0.13889548;-0.68691796;7.7999997;-5.22;-47.34;-7.012916;10.58746;9.299378;
-0.12530373;-0.17432567;-0.28924468;7.44;-4.5;-47.219997;-5.4279547;8.700829;9.775825;
0.28275424;0.20135646;-0.54275376;8.46;-4.02;-47.28;-3.3063924;7.439084;7.984962;
0.16241379;0.3638466;-0.6270532;8.5199995;-4.2;-47.1;-4.6830587;6.5077395;8.751106;
0.5839108;0.23861924;-0.12186762;9.719999;-4.8599997;-47.34;-4.2521024;5.7008934;7.747936;
0.38415787;0.3009275;0.16279559;9.059999;-5.46;-45.66;-3.6942532;4.7405195;6.751948;
0.23816109;0.25389087;0.12492194;10.559999;-6.66;-47.039997;-2.3535004;4.72376;7.0895305;
0.0622319;0.25816694;-0.05222898;9.719999;-7.2599998;-46.14;-2.767697;4.510676;7.508516;
0.10682506;0.12072224;0.051618114;10.74;-7.3199997;-46.379997;-2.9376855;4.654328;7.166145;
0.048181996;0.07551821;0.09010262;11.5199995;-7.7999997;-45.719997;-2.942474;4.6136265;7.9777794;
-7.6358156E-5;0.13782647;0.074830994;12.36;-7.9199996;-45.96;-2.6767175;4.5441947;6.6513915;
-0.18089247;-0.015500706;0.11575896;11.639999;-7.44;-45.48;-3.1842883;5.195717;8.509292;
0.044516806;0.14698945;0.05589417;12.3;-7.7999997;-45.12;-2.6839;5.327398;7.525275;
