gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.3849978;0.21074851;0.01947133;-44.34;-8.28;-20.82;7.8341274;5.7511716;4.098873;
0.27412578;-0.15699236;0.1202641;-44.579998;-6.8999996;-21.0;6.9913683;5.504569;5.686528;
0.6785186;0.28099802;0.098883815;-45.059998;-7.08;-20.76;6.1055136;5.4734445;7.4797854;
0.29000828;0.9914343;0.065897085;-45.48;-8.22;-21.48;5.0736127;7.975385;14.408606;
0.5508477;2.58396;-0.6720281;-42.719997;-7.7999997;-22.92;4.7405195;6.37127;20.832548;
1.2881621;3.7702603;-0.17172949;-39.899998;-10.98;-27.18;6.000169;1.6711528;20.066402;
3.1622968;5.04086;1.2100477;-35.76;-13.62;-34.559998;13.953707;-1.5825673;19.975424;
3.9698606;4.9944344;1.1068115;-29.099998;-18.6;-40.2;18.586786;-3.4763808;4.7261543;
2.9582677;4.1245623;2.1880429;-20.039999;-24.48;-42.6;17.94514;-2.597709;0.59615624;
2.815936;2.3793201;0.87468266;-13.74;-28.98;-39.96;15.809512;3.8905778;-10.731112;
0.7707592;1.2357804;0.39881864;-9.719999;-32.1;-37.8;12.888287;5.39683;-11.054329;
0.35414913;-0.4007276;-0.16012305;-7.62;-33.42;-36.059998;10.620978;8.957007;-9.261071;
0.26374108;-1.604743;-0.33238706;-8.16;-35.219997;-34.86;11.621755;18.960281;-7.2236056;
0.9014844;-2.485;-1.2877803;-10.139999;-36.6;-33.3;13.479655;26.832716;2.2768857;
1.6345227;-3.0482175;-2.5657103;-11.34;-36.36;-31.38;14.147637;25.250149;6.950667;
1.691944;-2.5644124;-4.0128503;-9.96;-39.899998;-24.66;14.250587;15.929222;11.473314;
1.6772833;-1.9761491;-4.195499;-4.2599998;-42.3;-20.64;8.803779;5.550059;9.991303;
0.92164296;-1.5259414;-3.220558;3.1799998;-43.62;-17.699999;3.6224272;-2.006341;6.8956003;
0.68707067;-1.1068878;-2.1845305;9.66;-43.5;-15.36;-1.292869;-5.4734445;6.359299;
1.651016;-0.8051204;-1.0953578;13.08;-43.079998;-13.86;-4.19943;-6.6777277;3.9504328;
1.2924381;-0.21868975;0.10865766;15.66;-43.2;-10.62;-3.6367924;-4.6926355;-1.2138603;
0.49464813;-0.1563815;0.9113346;14.759999;-44.28;-7.62;-2.3702598;-3.3901896;-4.9060187;
0.65225136;-0.84116143;2.0615938;13.44;-45.539997;-6.54;-1.541866;-4.237737;-7.218817;
-0.45463645;-1.2266175;2.7469847;8.46;-45.84;-6.2999997;2.980781;-3.5458126;-7.3624697;
-2.2463043;-1.2455542;3.398778;2.58;-46.379997;-7.02;6.766313;-4.7764325;0.076614454;
-1.4417948;-2.0482311;4.4696245;-6.8999996;-44.52;-12.78;7.4534492;-4.8123455;3.8498764;
-3.2847753;-1.5906931;5.578956;-20.52;-40.26;-14.94;13.841179;0.9672575;3.3327289;
-1.9555323;-2.176513;5.605223;-31.439999;-30.539999;-19.859999;22.891562;12.016798;14.547469;
-2.8174632;-1.4269812;3.8434877;-42.899998;-20.279999;-19.02;22.848465;18.541296;5.6793456;
-2.7356074;-0.9034697;2.206369;-46.5;-9.12;-18.06;20.940287;18.653824;14.597747;
-1.1620184;-0.32070425;0.8801805;-47.34;-2.04;-17.76;12.919412;14.619295;9.021651;
-0.6067419;-0.2669481;0.35666895;-46.32;1.0799999;-16.26;10.206781;10.247482;5.3513403;
-0.99097615;-0.039095376;-0.062384613;-46.92;2.9399998;-16.74;8.605061;6.917148;3.107674;
-0.72219545;-0.040317107;-0.033673946;-46.079998;3.72;-15.42;8.243536;4.807557;4.4699745;
-0.33368513;-0.026267206;-0.03795;-46.739998;2.82;-16.38;8.746318;3.952827;2.7820623;
-0.25305092;-0.048258353;-0.083764896;-47.579998;3.0;-14.94;8.978556;3.5170822;3.3135753;
0.21670444;0.03848451;0.12942708;-45.539997;3.48;-16.199999;8.032846;3.1364043;2.6192567;
0.053603426;0.19242255;0.09216429;-45.899998;3.48;-15.66;8.425495;3.6487634;1.4556746;
-0.18463401;-0.03359759;0.1642464;-47.399998;4.08;-15.36;9.150938;3.9504328;2.1978772;
-0.15958855;0.02321288;-0.061773747;-46.26;3.4199998;-15.9;9.002498;3.8043866;2.80361;
0.024892759;0.07513642;0.106214195;-46.14;4.44;-16.32;8.518868;3.2585084;3.1411927;
0.16417004;0.2687807;-0.0012980887;-45.84;5.58;-16.68;9.079112;3.7948096;2.80361;
0.059101213;0.45204028;0.1642464;-45.78;4.3199997;-16.56;8.617031;3.4045548;3.1627405;
0.30711251;0.11301007;-0.15645786;-46.379997;4.14;-17.699999;9.577106;4.0557775;3.1411927;
-0.04046982;0.1160644;-0.20349449;-45.18;4.44;-17.64;8.425495;3.3399115;2.1092918;
-0.06795876;0.111177474;-0.025732698;-45.48;3.6599998;-18.3;8.607454;2.8658595;3.2944214;
0.1470658;0.11911872;0.29619327;-45.36;3.24;-18.6;8.004115;2.516306;3.086126;
0.023060163;0.4251622;0.22960897;-45.899998;4.44;-18.18;8.260295;2.4612393;3.2130187;
0.18677205;-0.16310102;0.32001704;-44.34;4.98;-19.439999;8.947431;2.8754363;3.1747115;
0.037110064;0.042760566;0.17768542;-45.3;5.16;-19.38;8.629003;2.9137435;2.7820623;
