gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.20486893;-0.122783914;-0.040011674;-20.22;-27.06;-17.4;6.61069;4.6136265;4.771644;
-0.018096883;-0.020158553;0.09010262;-22.02;-26.16;-17.699999;6.4095774;4.6232033;4.711789;
0.1297325;-0.08552113;0.22815818;-21.66;-26.16;-17.88;5.882853;4.6591167;5.6673746;
0.26412287;0.12156218;0.3820962;-21.3;-27.599998;-18.18;4.7381253;4.944326;6.514922;
0.23663393;0.45265114;0.33261612;-20.76;-27.06;-18.18;5.138256;7.3361335;9.342474;
1.8236618;1.5876387;0.19272798;-20.58;-27.779999;-17.52;7.3576813;7.166145;13.647249;
2.3264039;1.6872098;0.11453723;-20.46;-29.279999;-16.08;6.354511;6.4957685;7.6737156;
1.1034517;2.2418754;-0.49754974;-18.96;-30.599998;-13.559999;6.1533976;6.356905;7.1589622;
1.1352167;2.5534167;-0.14813483;-17.76;-32.64;-13.08;4.134786;3.9217024;13.271359;
2.602515;2.489276;0.5684101;-16.02;-34.2;-13.2;5.952285;4.0581717;12.96969;
2.7643943;3.1923819;0.29840767;-15.66;-35.64;-8.34;7.118261;4.4699745;8.837297;
1.9030743;3.0176742;0.5897904;-15.24;-36.48;-5.64;7.9562316;4.1299977;8.81575;
2.212783;3.3249395;0.33750305;-16.98;-36.78;-2.9399998;10.206781;3.8666358;5.624279;
0.80596036;2.8295279;0.464563;-17.94;-36.78;-1.68;7.5899186;1.9919758;1.970428;
1.396667;2.270586;1.1059716;-19.32;-36.6;-1.4399999;8.243536;1.4341269;3.0454245;
1.5225053;1.269378;1.2635747;-21.0;-34.92;-1.38;8.6457615;3.0693667;-2.054225;
0.3111595;0.9633345;0.8151997;-23.519999;-34.079998;0.35999998;9.404723;6.036082;-2.3127987;
0.4272239;0.48930305;0.66737026;-25.08;-33.6;0.17999999;10.611402;8.588301;-1.0893618;
-0.14698945;-0.38423425;0.21471913;-26.4;-32.16;0.06;9.69921;11.85878;-1.8291701;
0.27267498;-1.3408492;-0.20433442;-25.859999;-32.579998;1.26;10.877157;14.868591;-0.533907;
0.8975901;-2.4312437;-0.5696318;-25.26;-32.94;3.4199998;10.836456;15.984289;-0.40701428;
0.38018724;-2.918714;-1.0479393;-24.0;-33.36;7.68;10.350433;15.579669;2.896984;
1.3484087;-3.5546248;-1.3955216;-20.1;-34.68;12.54;9.522039;14.492402;6.7136407;
1.714317;-3.513697;-1.493871;-14.4;-35.1;18.3;7.91553;13.599365;6.004957;
1.5530485;-3.3988543;-1.7815884;-7.5;-34.26;23.1;5.269937;11.102213;7.036858;
1.1620947;-2.5784621;-1.5189165;0.71999997;-32.64;28.26;1.5059528;7.3600755;5.317821;
1.5115097;-2.4086416;-0.81214535;5.8799996;-30.66;29.22;-1.2904748;4.642357;5.1310735;
1.7418059;-1.6267341;-0.17989981;12.78;-29.699999;31.679998;-1.0893618;3.6822822;3.2632968;
1.5389986;-1.2125676;-0.42485678;14.04;-26.58;34.14;-1.922544;2.858677;0.5602432;
0.09796751;-0.36102137;-0.37415496;17.64;-24.48;34.86;-3.490746;2.2050598;-1.8626889;
-0.21601722;-0.24190263;-0.21288654;19.26;-23.58;34.38;-5.210082;1.6663644;-1.9033904;
-0.25755605;0.2761111;-0.19639318;20.4;-23.76;34.62;-1.8842367;3.3662477;-3.8139634;
-0.6191883;0.3933972;0.21533;19.14;-23.64;34.44;-3.7588966;2.0350714;-3.2321723;
-0.4011094;0.07941248;0.8622363;18.66;-25.32;33.54;-2.1260512;2.822764;-4.4939165;
-1.0632873;0.48808134;1.0845913;16.859999;-26.699999;33.3;-0.16998832;2.858677;-3.4452562;
-1.1084913;0.321926;1.320996;14.46;-28.8;30.48;-0.35434186;2.815581;-2.0135236;
