gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.27206412;0.04810564;0.081474155;-6.96;-26.82;-21.24;-0.8690952;4.630386;7.580342;
-0.14133894;0.019394971;0.081474155;-6.8999996;-26.699999;-22.14;0.7326257;5.245995;9.399935;
-0.06253733;-0.011759156;0.0051159966;-7.2;-25.619999;-22.38;0.6440403;5.064036;8.542811;
-0.0081703225;0.21792617;-0.10972667;-6.48;-26.16;-23.039999;-0.7038953;5.279514;9.486126;
-0.001450805;0.2753475;0.006337727;-6.2999997;-26.64;-23.1;-1.9560628;6.3066263;9.471761;
0.275882;0.6815729;-0.19463694;-5.7;-25.56;-23.82;-4.321534;7.9203186;10.082283;
0.7395287;1.3150401;0.26290113;-6.18;-24.0;-23.1;-6.479009;7.5875244;9.878776;
0.90262973;1.0517572;1.0979539;-4.92;-23.039999;-23.58;-7.5994954;5.638644;10.558729;
0.8641452;1.8379408;1.1737012;-6.66;-21.3;-24.66;-8.459014;3.7301662;9.26586;
0.670501;1.8727602;2.380771;-5.1;-18.96;-26.16;-8.731953;1.8124107;8.803779;
0.58742326;2.453082;2.5231025;-5.52;-17.58;-27.779999;-7.762301;0.40940848;10.486903;
0.3449098;2.2753203;3.4687219;-4.8599997;-15.78;-29.34;-5.3776765;-0.63206923;11.990461;
0.43226352;2.602744;3.3654857;-4.44;-14.219999;-30.119999;-1.1707647;-0.581791;12.246641;
0.22762366;2.7585146;2.8566349;-3.12;-12.179999;-32.94;0.9600749;0.37110126;11.504438;
-0.09002627;3.0224085;2.126651;-0.96;-11.219999;-33.54;2.2984335;0.9911995;11.964126;
-0.17799085;2.8049405;1.7204256;3.84;-9.48;-34.68;1.4269443;1.4556746;11.21474;
-0.19753855;1.6522378;2.3141866;8.04;-8.34;-33.78;4.3622355;1.8866309;10.558729;
-0.061926465;1.1672108;1.7161496;8.82;-7.9199996;-33.54;9.050382;3.2130187;8.923489;
-0.09552405;0.5673411;0.8071821;8.88;-7.14;-33.059998;10.070312;5.382465;8.676887;
0.054137934;0.3266602;-0.04802928;10.38;-7.44;-33.239998;7.984962;6.3090205;8.020875;
0.15004377;-0.3031419;-0.24594963;10.92;-6.06;-33.18;5.870882;7.2212114;8.921095;
0.2587778;-0.7173085;-0.5611561;10.38;-6.42;-32.46;3.8355112;7.843704;8.449437;
0.33452508;-0.9744828;-0.6662249;9.24;-7.74;-33.0;2.492364;9.273043;9.9673605;
0.6167448;-1.2786937;-0.45853072;8.04;-8.16;-32.7;2.3774424;11.396699;11.152491;
1.1793517;-2.3904684;0.31726813;5.3399997;-9.42;-32.34;3.2369606;13.247417;11.083059;
1.377883;-2.4026856;-0.06574437;1.56;-10.86;-30.66;2.5881321;12.842797;11.88751;
1.8794032;-2.641534;-0.10300715;-4.02;-13.08;-28.619999;0.6560113;11.166856;12.603377;
2.0987039;-2.660471;0.053985216;-7.68;-15.299999;-24.18;0.33997664;9.811738;7.817368;
1.7700584;-2.4008532;-0.4218788;-11.099999;-18.0;-19.859999;0.8403648;8.011298;4.4795513;
1.5208254;-2.048384;-0.7523569;-11.4;-18.779999;-12.42;0.5410896;6.110302;3.857059;
1.1268173;-1.1968378;-1.2001212;-10.92;-20.699999;-8.7;-2.755726;4.1252093;1.8315643;
0.8818603;-0.6623306;-0.8494845;-6.96;-21.18;-5.7;-3.7205894;3.4045548;1.7812861;
1.0290788;-0.5401576;-0.22762366;-6.42;-21.42;-4.74;-4.414908;3.6727054;-0.90740246;
0.6283513;-0.6751588;0.739376;-6.24;-20.76;-1.9799999;-2.4660277;4.177882;-4.5872903;
0.23678663;-0.62690043;0.94829196;-6.6;-21.359999;0.06;0.7661445;5.39683;-4.829105;
-0.209145;-0.39843684;0.76564324;-8.5199995;-20.46;-0.17999999;1.4341269;6.8956003;-3.8953662;
-0.08636107;-0.3483459;0.5145776;-10.2;-19.92;0.29999998;3.9719806;7.865252;-2.633622;
-0.37896553;0.1684461;-0.08040514;-10.559999;-19.02;-0.24;3.193865;8.037635;-3.3135753;
-0.4553237;0.076816306;-0.2447279;-10.139999;-18.96;0.29999998;2.9352913;7.829339;-1.9488802;
-0.51763195;-0.07040222;0.04298964;-10.38;-19.859999;-0.35999998;1.541866;7.3337393;-2.7246015;
-0.64163756;-0.3061962;0.16394097;-11.099999;-19.5;-1.68;3.3997664;7.3983827;-1.292869;
-0.75098246;-0.11804971;0.06681339;-11.04;-18.18;-1.9799999;3.5314474;6.7304;-0.4189853;
-0.7186066;0.10552697;-0.52816933;-12.599999;-18.66;-2.76;3.4572272;7.0153103;-0.47644615;
-1.0380892;-0.19624045;-0.2447279;-12.66;-19.32;-3.48;2.5378537;6.3976064;-0.047884032;
-1.079017;-0.26648995;-0.41760275;-11.5199995;-19.26;-5.22;2.9233203;6.5197105;0.6991069;
-1.5762614;0.09819659;-0.8488736;-11.7;-20.16;-6.12;3.7014358;6.170157;1.5227122;
-1.7216474;-0.15042557;-1.0913872;-10.92;-20.22;-9.84;-0.06943185;5.4949923;4.144363;
-1.4571427;-0.9640981;-0.3742313;-11.04;-21.0;-11.58;0.59855044;5.7966614;4.498705;
-2.2775347;-1.1577424;0.1297325;-10.98;-21.18;-12.78;0.15083471;5.2747254;3.881001;
-2.3960426;-1.3513867;0.0173333;-12.059999;-20.279999;-15.24;3.7948096;7.910742;8.65055;
-2.5218809;-1.2438743;0.32459852;-13.86;-18.539999;-17.52;3.0334535;8.12622;8.784625;
-2.6464972;-1.4143058;-0.26366472;-16.199999;-16.14;-18.06;5.0496707;8.257901;12.13172;
-2.411925;-0.515723;-1.4243087;-17.46;-14.94;-20.22;2.5450363;8.619426;13.029545;
-1.7387515;-0.47662762;-1.5525904;-16.74;-15.48;-20.88;-2.0374656;8.305785;12.972084;
-1.2506702;-0.50656;-0.88980156;-15.66;-16.56;-21.66;-3.157952;8.444649;12.608166;
-0.69111764;-0.50411654;-0.41271582;-13.98;-19.38;-21.0;-1.0989386;8.418312;10.61619;
-0.4198935;-0.28298333;-0.24045183;-14.28;-20.939999;-20.34;0.49799395;7.4893622;10.666468;
-0.12484559;0.106137834;-0.5776495;-14.16;-22.74;-20.46;0.8499416;6.4814034;8.968979;
-0.008781188;0.18555032;-0.5587126;-11.58;-25.5;-21.119999;0.32561144;5.5931544;8.41113;
-0.012446379;0.13790283;-0.2673299;-10.5;-26.82;-20.939999;0.16759412;5.0927663;8.617031;
-0.106519625;0.20570888;-0.0846812;-10.2;-27.96;-20.88;0.6536171;4.879383;8.133403;
0.0071013086;0.038331795;0.0032834008;-9.179999;-28.56;-20.88;1.3718776;4.76925;9.531616;
-0.0173333;-0.046578474;0.057039544;-8.22;-28.32;-22.14;1.8483237;4.7884035;8.114249;
0.09750936;0.42562035;-0.52328247;-8.099999;-28.92;-21.48;1.7717092;4.675876;9.347262;
-0.024663685;0.27473664;-0.25755605;-5.7;-29.099998;-22.439999;0.021547815;4.4244847;7.999327;
0.06574437;0.14889841;-0.15431984;-5.4;-29.82;-22.439999;0.8738836;4.891354;8.289025;
-0.15844317;0.17944166;-0.15981762;-5.04;-30.779999;-21.9;0.8499416;4.4484267;8.025663;
-0.2580142;0.08170322;-0.093844175;-5.2799997;-30.06;-22.8;0.30645782;4.560954;8.3991585;
-0.057650406;-0.08078693;-0.11522446;-5.04;-29.58;-21.72;0.35434186;4.5418005;9.098266;
-0.18593211;-0.06490443;0.021609358;-4.92;-31.26;-23.34;0.49799395;4.5441947;9.495703;
