gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.29619327;-0.37468946;-0.24404067;11.58;-4.68;-45.899998;-4.321534;4.6160207;6.5316815;
0.14225525;0.1372156;0.020463986;12.179999;-5.58;-46.26;-6.440702;4.1826706;7.230788;
0.0017562376;-0.18287778;0.6808093;12.179999;-7.2599998;-47.039997;-5.8517284;4.5441947;6.9195423;
0.11415544;0.14149167;0.37782016;11.5199995;-7.14;-46.14;-8.521263;5.4495025;6.392818;
0.447077;0.6320165;0.5720753;11.46;-6.72;-46.44;-10.573094;5.320215;5.7511716;
0.33406693;1.6692656;0.6740898;12.9;-7.68;-45.539997;-14.554651;3.5577838;4.3502645;
-0.35010216;2.56907;2.0069978;16.68;-10.0199995;-44.399998;-15.301942;2.183512;4.256891;
-0.8852201;3.2019265;2.8072312;20.88;-10.26;-42.84;-14.051869;1.2665327;9.22037;
-1.0464885;3.702836;3.093727;25.199999;-11.28;-40.02;-12.933777;0.23702596;9.862016;
-1.4325553;3.6503017;3.7137554;30.179998;-12.96;-35.7;-11.090241;0.23463176;14.614507;
-1.0287734;3.7150533;3.7161987;32.82;-16.08;-31.56;-7.1278377;-0.33758244;15.124771;
-0.92431545;3.145727;3.706425;34.5;-19.92;-27.119999;-0.8571242;-0.7182605;14.940417;
-0.43379068;2.6484826;1.7424932;33.96;-25.439999;-23.699999;5.183746;1.328782;13.0319395;
-0.391641;2.0125718;0.6954701;34.079998;-27.66;-19.619999;2.566584;1.9249382;12.30889;
-0.41485387;0.9124036;1.1414018;34.98;-28.92;-17.88;3.371036;2.896984;9.675268;
-0.45517096;0.28993192;0.6178902;34.079998;-30.72;-17.4;8.947431;7.6378026;12.04074;
0.24060455;-0.8676577;-0.49021935;33.78;-31.439999;-18.359999;10.048764;12.004827;11.305719;
0.94004524;-1.4101061;-1.5671748;33.48;-30.359999;-17.52;2.681506;15.567698;12.933777;
2.373135;-2.5609763;-0.055283304;33.66;-28.619999;-19.14;-5.0736127;15.119983;14.446913;
1.9669098;-3.300734;1.3771957;31.439999;-30.179998;-18.96;-3.7924154;14.461278;10.393529;
2.187432;-3.3037884;1.1108584;26.939999;-34.02;-20.039999;-4.9658737;13.685556;9.749489;
2.478204;-2.8499155;0.6753115;22.14;-37.98;-19.199999;-7.340922;11.798925;10.362404;
2.6700156;-2.2567654;0.9673051;18.18;-41.52;-16.859999;-10.242694;7.2714896;3.6391866;
1.920484;-1.9659934;1.7052304;15.0;-45.0;-12.96;-5.5428762;2.813187;-0.6775591;
0.34384078;-1.210964;1.1053606;10.8;-47.039997;-9.36;-3.5362358;0.521936;-2.8802247;
-0.2505311;-0.79985166;1.2092078;7.62;-47.34;-8.7;-1.9656396;0.59136784;-2.6168625;
-0.42401683;-0.7375434;0.8775079;4.92;-47.219997;-9.059999;0.8595184;1.1923125;-2.0111294;
-0.4789947;-0.47487137;0.4822781;0.35999998;-48.42;-10.2;1.3024458;1.7764976;-2.755726;
-0.6292676;-0.5952118;0.27763826;0.42;-47.039997;-12.12;3.4452562;2.5761611;-1.5705963;
-0.53397256;0.047418416;-0.8921687;-1.26;-46.5;-13.559999;3.1124623;2.540248;-2.2002714;
-1.021443;-0.055817813;-0.9398162;1.92;-45.84;-16.199999;1.9752164;2.6384103;0.92655605;
-1.0562624;-0.4883104;-0.86529064;3.3;-45.48;-18.18;1.8387469;2.89459;2.1260512;
-1.9768363;-0.56650114;-1.0228939;5.64;-43.2;-20.22;2.7030537;3.1124623;3.1747115;
-2.3690119;-1.0075458;-1.0302242;7.3799996;-41.16;-23.939999;2.540248;4.156334;5.743989;
-2.7776806;-0.89514667;-2.060143;7.68;-37.02;-29.88;1.448492;4.819528;8.494926;
-3.111213;-1.4711926;-2.2763894;10.559999;-31.679998;-34.62;-3.4979286;6.7232175;12.414235;
-2.967049;-1.6568956;-2.7669141;10.98;-25.74;-38.82;-5.284302;9.517251;13.8363905;
-2.1808653;-1.4950163;-2.572659;10.62;-18.779999;-42.78;-10.817303;10.989685;13.314455;
-1.8082374;-1.2121857;-1.5909985;10.0199995;-12.66;-44.52;-10.094254;12.706327;13.422194;
-1.162553;-0.4602106;-1.1731668;8.099999;-7.9199996;-46.98;-9.273043;11.51641;11.468526;
-0.47166434;-0.48892128;-0.34605515;6.8399997;-5.94;-47.7;-5.6290674;10.055946;9.838074;
-0.026343564;0.016264288;-0.73823065;6.3599997;-3.36;-47.039997;-3.526659;8.566753;9.428665;
0.32551482;0.101174556;-0.700357;7.02;-4.14;-47.7;-4.0462008;7.1230493;8.447042;
0.3206279;0.13477215;-0.40591997;7.3799996;-4.62;-46.5;-3.1507695;6.4957685;8.121431;
0.45135304;0.33696854;-0.5225952;7.3799996;-5.46;-47.16;-2.6839;6.04087;8.095096;
0.2167808;0.17142406;-0.29718593;9.3;-5.1;-47.52;-3.1172507;5.1071315;7.2116346;
0.26320657;0.10361802;-0.08827003;9.179999;-6.2999997;-46.379997;-3.1124623;5.1310735;8.265083;
0.04268421;0.03397938;0.13530666;9.24;-6.42;-46.44;-2.885013;4.853047;7.549217;
0.097662084;0.089568116;-0.054061573;9.96;-7.08;-46.68;-1.6519991;4.9299607;7.764695;
0.04757113;0.0052687125;-0.15424347;10.26;-7.7999997;-46.379997;-2.4875755;4.6686935;7.6713214;
