gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.078725256;0.18990274;-0.0026725354;-22.619999;10.32;-26.16;1.745373;0.21308395;8.894758;
0.038560867;-0.10636691;0.35895967;-21.72;10.0199995;-26.939999;1.5442601;-0.18195933;9.936236;
0.32383493;-0.046502117;0.4200462;-21.84;10.8;-27.0;1.745373;0.34715924;10.249877;
-0.3132975;0.44157922;0.49151745;-21.06;10.0199995;-27.359999;-3.4237084;-1.1061212;12.476484;
0.3140611;-0.63965225;0.5269476;-19.98;9.96;-28.26;-6.914754;-0.8595184;15.953164;
0.9908998;-0.9292024;2.0150154;-21.96;7.68;-28.5;-4.853047;-4.4819455;17.423204;
1.1405618;1.5912277;3.5165222;-22.859999;6.48;-29.76;-3.1651347;-6.704064;14.499585;
1.7324902;2.0872502;4.647845;-18.48;9.84;-32.16;2.0207062;-9.1629095;15.780782;
1.9578995;2.169717;3.1573334;-10.26;10.74;-36.66;6.5197105;-8.909123;10.3097315;
2.1436026;1.6914095;4.2904882;-3.9599998;9.48;-38.76;10.36001;-6.7567363;9.998486;
1.198594;1.5857298;2.6747499;2.1;5.8799996;-40.379997;10.716746;-0.62728083;2.9879637;
0.29573515;0.8062658;1.8140407;6.48;3.8999999;-39.54;7.352893;0.35673606;4.197036;
0.29512426;-0.17600554;1.2844205;9.24;2.1599998;-40.379997;6.7830725;1.4676456;4.5777135;
0.0012980887;-0.7380016;0.5782603;8.82;1.14;-40.86;7.249942;4.0222588;5.578789;
-0.058566704;-0.9395871;-0.19937114;8.04;0.17999999;-41.04;9.598654;8.277055;9.543588;
0.12041681;-1.6390278;-1.2195162;5.4;0.12;-41.399998;7.9179244;11.475708;15.18702;
0.69096494;-1.1772137;-2.1352031;2.1;0.78;-42.12;9.778219;11.770195;20.459051;
2.5461626;-1.3702471;-2.2946389;-1.68;-1.74;-42.18;7.1254435;8.882788;21.943457;
2.681164;-1.2053134;-2.64833;-4.62;-8.4;-40.98;6.1414266;6.2276177;18.701708;
2.5437193;-1.9499582;-2.819983;-5.4;-15.54;-39.6;5.8373632;2.4660277;14.478037;
2.4056637;-0.62621325;-3.537139;-6.8999996;-22.38;-36.42;1.1779473;-1.3599066;10.422259;
2.3293056;-0.6683629;-2.3068562;-3.72;-30.06;-32.82;-2.5953147;-3.5936968;5.856517;
2.5412757;-0.9530261;-1.0240393;-1.92;-35.64;-29.699999;-4.8219223;-3.5865142;3.0262709;
1.8772652;-0.9957867;-0.15050192;-1.68;-40.2;-22.859999;-3.0334535;-0.93134445;-0.5267244;
1.1656072;-1.1026881;-0.30138564;-1.3199999;-41.579998;-20.1;-2.834735;0.7230489;-3.0142999;
-0.13492486;-0.38308886;0.60208404;-3.1799998;-44.52;-16.859999;-4.0677485;-0.047884032;-3.1124623;
-0.19723311;-0.5767332;1.0443505;-4.8599997;-43.8;-17.16;-1.8411411;0.8714894;-3.7349546;
-0.82214826;-0.5040402;1.449965;-7.74;-41.399998;-17.52;-0.08140286;1.163582;-3.916914;
-1.9870683;-0.7025714;1.4982234;-11.88;-39.719997;-19.74;2.3918076;0.533907;-2.9975405;
-2.9461267;-0.60849816;1.096274;-15.48;-35.579998;-23.039999;2.6288335;-0.8882488;-1.9991584;
-2.9430723;-2.5003479;2.2508094;-19.8;-29.519999;-27.359999;8.205229;-3.0933087;3.3614593;
-5.625993;-0.8650615;1.2679272;-26.22;-21.9;-28.199999;8.39437;-6.0456586;3.8594532;
-3.892968;-2.834491;2.111532;-29.4;-10.74;-30.42;15.51742;-8.286632;12.129325;
-6.150726;-1.8235091;0.6326273;-34.2;-0.06;-26.34;10.824485;-9.821315;16.968306;
-4.482453;-2.4667501;1.4493542;-34.86;8.639999;-20.16;15.024214;-5.3680997;26.808775;
-2.5148559;-0.5962808;0.98387486;-36.12;14.28;-12.3;13.929765;-0.9576807;23.70559;
-1.5545757;0.25465444;0.22823453;-35.88;16.8;-8.76;10.695198;0.5363012;16.336237;
-1.3780357;0.41958806;-0.27939448;-34.44;16.98;-8.04;7.690475;-0.5386954;12.045528;
-0.7616726;0.14347698;-0.17432567;-34.739998;17.82;-7.08;6.6178727;-1.8938135;10.76463;
-0.3120758;0.15141822;-0.038713586;-34.02;18.18;-6.24;6.8956003;-2.9712043;9.7447;
-0.015195273;0.67431885;-0.06375906;-34.2;17.039999;-7.08;7.261913;-3.301604;7.999327;
0.014737124;0.5069418;-0.17066048;-33.54;17.88;-8.639999;6.6394205;-3.9001546;6.6513915;
0.23098342;0.23693936;0.054137934;-33.3;16.56;-8.639999;6.7016697;-3.6942532;6.277896;
0.10514518;0.15630515;0.09628764;-33.899998;17.16;-9.96;6.41676;-3.2585084;5.030517;
0.01656972;-0.33055446;0.005879578;-33.12;17.58;-10.559999;6.596325;-3.8402996;6.3497224;
-0.017638734;-0.03611741;0.012599096;-33.78;17.52;-9.78;5.945102;-4.1826706;6.2587423;
0.24808764;-0.15706873;0.20868684;-34.26;16.92;-10.26;6.6537857;-3.9600096;6.6154785;
0.21998784;-0.03611741;0.07429648;-33.3;17.82;-9.78;7.1230493;-3.2872388;5.8397574;
-0.090331696;0.18318321;-0.052763484;-33.78;18.0;-10.139999;6.739977;-3.560178;6.0456586;
-0.07689266;0.04512767;-0.094913185;-33.48;17.88;-10.26;6.464644;-3.691859;6.256348;
