gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.30810517;-0.1826487;0.17195857;-27.96;-18.6;-23.939999;2.267309;4.6040497;9.122208;
0.17799085;0.42760566;0.38759398;-28.5;-19.199999;-25.439999;1.4077905;4.321534;8.736741;
0.030772336;0.16187929;0.4908302;-28.14;-18.18;-25.199999;0.15801731;4.606444;9.531616;
0.71371967;0.20158553;1.1749994;-27.9;-17.88;-25.98;-0.48362875;4.474763;13.400646;
0.4217261;0.051923547;0.7150178;-28.5;-18.72;-25.98;-1.163582;4.1395745;14.894927;
1.9342284;1.5699236;1.3326025;-29.58;-22.32;-26.22;1.7884687;4.1395745;12.682385;
0.6679048;2.329229;0.9593639;-29.699999;-22.92;-28.14;0.18195933;1.5298948;15.900492;
2.4149795;2.6505444;1.8188512;-27.779999;-23.82;-30.359999;2.3439236;1.1420342;16.77677;
2.4833963;3.3542612;1.6575829;-26.82;-25.019999;-33.0;7.4438725;1.685518;12.828432;
2.1956787;3.5436292;1.6520851;-24.48;-26.22;-34.32;9.735124;1.0271125;7.723994;
1.505401;2.715296;1.3478742;-21.359999;-27.48;-35.94;10.417471;1.6472107;1.4580688;
0.7051676;1.5289958;1.2336423;-18.66;-27.779999;-35.82;9.962572;3.9791632;-0.6607997;
-0.035811976;1.0250319;0.6826419;-17.46;-28.08;-38.28;8.995315;6.6633625;0.39264908;
0.6685157;0.03176499;0.59589905;-17.1;-27.42;-37.62;8.15495;8.995315;0.866701;
0.20303634;-0.47342056;0.025961773;-17.039999;-27.66;-37.2;8.061577;13.1277075;0.85473;
0.22747095;-1.1313224;-0.8249735;-18.24;-29.279999;-36.36;8.233959;15.80233;1.9153614;
0.51518846;-1.5583172;-1.1261301;-18.66;-30.24;-35.16;6.9554553;15.855002;5.171775;
2.2115612;-2.3738225;-1.0027353;-19.199999;-32.88;-31.679998;6.77589;16.26441;7.084742;
1.8175532;-2.3811526;-1.7479908;-19.5;-36.3;-26.16;8.763078;18.004995;6.751948;
1.3746759;-2.4153612;-2.8170052;-19.02;-40.92;-19.92;5.2890906;13.156438;9.936236;
2.4326944;-2.302351;-2.4058928;-15.0;-43.379997;-15.24;0.22984336;7.558794;11.820473;
2.49317;-1.9950858;-1.5531249;-9.78;-46.92;-6.2999997;-1.2569559;5.818209;7.807791;
2.4107034;-1.6108516;-1.3582588;-7.8599997;-47.039997;-1.86;-0.79487497;4.596867;5.245995;
1.7686839;-1.3646729;-0.7113526;-0.42;-47.039997;6.96;-3.9959226;0.4141969;3.2800562;
