gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.17310394;-0.31215215;0.44073927;-19.26;-34.26;-21.42;2.3654714;5.4255605;7.987356;
0.051541757;0.14049901;0.28802297;-18.06;-34.68;-21.359999;2.992752;6.2826843;8.418312;
-0.08773552;0.3659083;0.09437868;-18.0;-34.92;-20.58;1.4939818;5.992986;7.862858;
0.34109187;0.26083946;0.44806966;-18.6;-34.559998;-22.38;-0.2777274;5.0592475;10.321703;
0.60865086;0.6169739;0.8940013;-18.42;-34.8;-21.9;-0.39743748;4.4939165;10.290578;
0.64347017;1.2730432;0.9294315;-20.4;-32.52;-21.3;0.08619126;4.120421;10.630555;
0.9226356;1.6560557;1.4834863;-22.08;-33.12;-22.26;-0.21068975;3.3614593;11.279384;
0.31848988;1.9847012;1.3130548;-23.039999;-30.96;-24.24;0.19153613;3.7110126;10.431836;
0.46937358;2.47095;1.6655241;-23.46;-30.66;-26.16;1.0271125;2.1499932;14.138061;
0.6141486;2.6035078;2.0912971;-23.22;-28.74;-28.5;3.0669725;0.89543146;13.82442;
1.1975249;2.3860397;2.2666154;-22.619999;-25.619999;-31.56;5.648221;1.2042835;12.974479;
1.0863475;2.9077187;1.9410243;-22.68;-25.14;-33.36;10.76463;3.6966474;8.169315;
0.7082219;1.9694295;1.6789632;-20.82;-25.26;-35.219997;9.045593;4.8698063;3.028665;
0.5267949;1.0671816;1.3423764;-19.68;-25.26;-36.78;9.486126;6.170157;2.822764;
0.512745;0.35613444;1.0112875;-20.1;-24.359999;-37.26;8.447042;7.4103537;3.1771057;
-0.16042848;-0.1966986;0.060170226;-20.34;-24.0;-36.719997;7.0895305;8.030452;2.8682537;
0.71127623;-0.870483;-0.3735441;-20.22;-24.06;-36.66;8.511686;9.498097;4.9371433;
-0.21784982;-1.2431108;-1.0363328;-20.82;-24.96;-35.399998;6.0193224;12.5147915;7.0081277;
0.8328384;-1.7568485;-1.2928963;-21.6;-26.46;-33.48;5.954679;15.816695;8.210017;
1.8554268;-1.9437732;-1.2177598;-22.56;-28.92;-29.939999;3.787627;15.043367;11.279384;
2.5420394;-1.9608774;-1.321607;-22.98;-33.3;-24.42;7.192481;14.985907;10.817303;
2.4003186;-1.9242256;-1.9074267;-21.6;-36.42;-18.9;4.1395745;11.348815;11.083059;
2.7833312;-2.0824397;-1.6630806;-18.42;-40.98;-9.96;-0.47405192;8.102278;11.135732;
2.5957954;-1.4776831;-1.2177598;-16.8;-43.5;-3.4199998;-0.36631286;6.024111;7.18051;
2.0350213;-1.3494014;-0.9825767;-12.48;-43.26;4.14;1.1348516;3.5984852;3.6272156;
1.4052192;-0.71959925;-0.32467487;-10.26;-42.899998;9.54;-3.2513258;1.8339585;2.8299465;
1.260444;-0.6151413;0.04184427;-8.46;-42.18;12.78;-2.1140802;2.1332338;-1.4820108;
0.71616316;-0.21563543;0.027183503;-7.9199996;-41.04;15.599999;-1.3215994;3.3494883;-3.229778;
0.2054798;-0.43799037;-0.053450707;-8.7;-39.96;17.039999;-1.8842367;3.3303347;-3.809175;
-0.07002043;-0.3023783;0.2751948;-8.639999;-39.899998;18.24;-0.557849;5.006575;-3.0597897;
-0.13477215;-0.12217305;0.4718934;-8.28;-39.96;18.72;-1.1348516;4.6040497;-2.3942018;
-0.44448084;-0.030543262;0.46944994;-8.76;-40.62;18.3;1.0366893;5.609914;-4.2880154;
-0.7438048;-0.37140608;0.5012149;-9.78;-40.739998;16.98;0.15083471;4.2401314;-3.5889084;
-1.4353043;-0.47708577;0.51159966;-9.78;-41.579998;16.68;1.7046716;2.6503813;-2.707842;
-1.6057357;-0.83077675;1.4700472;-10.26;-41.46;13.38;1.0414777;1.4532804;1.5514427;
-3.1854331;-0.19120082;0.64904433;-12.96;-41.1;9.719999;5.0855837;2.861071;-2.0326772;
-3.2379675;-0.9431759;2.0528126;-15.299999;-42.719997;3.84;5.183746;1.508347;5.315427;
-4.419381;-0.8772025;0.6441574;-17.46;-41.399998;-2.82;6.9434843;3.6272156;5.1454387;
-4.1396046;-1.7837266;1.0027353;-19.439999;-40.8;-9.78;8.583512;7.484574;10.09186;
-3.2281938;-2.434298;0.6582073;-22.92;-38.399998;-15.48;8.468591;11.068694;19.791069;
-1.6717091;-1.8350391;0.88178396;-25.38;-35.64;-16.92;7.4941506;14.128484;20.099922;
-1.3674982;-0.40500367;-0.004581489;-27.359999;-33.18;-18.84;6.016928;13.474867;15.136742;
-0.339412;-0.23396139;-0.35155296;-26.64;-32.88;-19.26;4.8267107;10.520422;10.094254;
-0.3467424;-0.026267206;-0.6985244;-26.64;-33.3;-19.56;3.8187518;7.5899186;8.145373;
-0.18852828;-0.15577064;-0.66675943;-25.199999;-33.239998;-19.619999;3.7349546;5.894824;7.273884;
-0.3039818;0.081855945;-0.6600399;-23.88;-34.559998;-20.58;4.084508;5.135862;7.379229;
-0.30825788;-0.13683382;-0.47433686;-22.439999;-34.62;-21.359999;3.406949;4.4819455;6.77589;
-0.24656048;0.029321533;-0.27275133;-21.9;-34.92;-21.119999;3.679888;4.27365;7.5875244;
-0.25266913;-0.035430185;-0.09254608;-21.66;-34.44;-21.96;4.0294414;4.675876;7.6856866;
-0.18913916;0.1142318;-0.086437434;-21.72;-34.5;-23.22;4.84347;5.2651486;7.3912;
-0.11522446;0.13744467;-0.17684549;-21.119999;-35.1;-21.96;4.5920787;5.0209403;7.31698;
-0.101174556;0.12889257;-0.18600847;-20.16;-34.32;-22.439999;4.8003745;5.0831895;7.573159;
-0.09750936;0.1001819;-0.11148291;-19.199999;-34.62;-23.1;4.4316673;4.980239;7.1852984;
-0.05963572;0.06536258;-0.009468411;-18.84;-34.44;-24.119999;4.5441947;4.898836;7.273884;
0.019776762;0.039095376;0.048563786;-20.039999;-34.62;-23.76;4.3358994;4.7429137;7.202058;
0.08636107;-0.14782938;0.03634648;-19.32;-34.2;-23.46;5.63625;5.11192;7.8460984;
