gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.09567677;-0.32742378;0.33322698;-12.42;-34.739998;-26.279999;2.9041667;4.7860093;6.34254;
-0.2129629;-0.37018433;0.3717115;-12.48;-34.92;-26.34;3.5338416;4.5418005;8.468591;
0.08636107;-0.1337795;0.5879578;-14.82;-33.899998;-26.22;2.9352913;4.9898157;8.588301;
0.3300963;-0.14172074;0.46028697;-15.059999;-34.2;-26.46;0.866701;3.016694;12.14369;
1.265331;-0.026267206;1.0338894;-17.22;-33.12;-24.359999;-2.3702598;1.733402;13.867516;
1.1682035;0.45081854;1.2910637;-19.08;-34.62;-22.619999;-2.1212628;1.5466543;14.933234;
0.7748062;2.0922134;2.1071796;-21.9;-34.5;-22.859999;-0.22744916;-0.6775591;16.968306;
2.2225568;2.6902506;2.5604417;-22.98;-31.74;-24.48;3.9001546;-0.9864111;16.499043;
2.0655644;3.0897565;2.2623394;-23.939999;-30.72;-26.519999;5.3896475;-1.1085154;13.462895;
0.60193133;3.20521;2.7479773;-24.6;-30.06;-27.84;7.7790604;-1.4173675;15.843031;
3.1455743;3.7543778;2.8842003;-24.119999;-27.539999;-31.859999;16.700155;0.6751649;9.373599;
1.1602622;2.9859092;1.9190332;-22.56;-26.16;-33.36;14.758458;3.8905778;1.0342951;
1.446758;1.9052887;1.6032158;-20.699999;-26.699999;-34.98;12.347198;4.477157;2.0087352;
0.6813438;0.9987647;1.1756102;-19.439999;-26.039999;-35.16;8.90673;5.5332994;-2.0685902;
0.35697436;0.22968534;0.5207626;-19.98;-26.46;-34.68;7.891588;7.668927;1.0151415;
0.2653446;-0.40622538;0.048563786;-19.8;-26.099998;-35.04;7.0775595;10.383952;1.5729905;
1.0380892;-1.3213016;-0.0033597588;-20.22;-26.4;-34.559998;8.564359;15.89331;3.9815574;
1.0490847;-1.7263051;-1.0137309;-22.5;-28.8;-31.5;11.609783;21.1821;5.394436;
1.8346574;-2.6261096;-1.6074919;-22.8;-30.72;-28.019999;8.9641905;18.960281;7.925107;
1.9592739;-2.5375342;-2.4303274;-22.74;-35.34;-20.4;8.047212;13.549087;10.546758;
2.5231025;-2.928488;-2.3252585;-20.16;-39.78;-12.96;5.370494;9.088689;9.86441;
1.70943;-2.453235;-1.9037615;-15.66;-43.739998;-4.8599997;1.9871874;6.2874727;8.755895;
1.8108337;-2.2339342;-1.5488489;-10.0199995;-45.0;2.6399999;-1.7070658;3.1292217;7.826945;
1.8755853;-1.4990633;-0.8353582;-6.18;-44.7;6.6;-1.8698715;2.9137435;7.6234374;
0.70883274;-0.4147775;-0.7351763;-2.04;-43.44;11.4;-1.9919758;3.1723173;0.45489833;
0.3038291;-0.11484267;-0.2452624;-1.5;-43.98;13.5;-3.6631286;1.1228806;1.6567876;
0.5396231;-0.37751472;0.0711658;-1.92;-42.899998;13.32;-3.9695864;1.8866309;-2.6886885;
0.7961865;-0.5907067;0.58062744;-0.35999998;-43.8;16.08;-2.741361;4.4963107;-2.2026656;
0.15722144;-0.33475417;0.36254853;-1.5;-42.6;16.8;-2.504335;6.318598;-2.707842;
-0.22823453;-0.18325958;0.3210097;-1.92;-41.579998;17.46;-1.8746599;6.5316815;-3.6727054;
-0.7083746;-0.35308012;0.15363261;-1.9799999;-42.18;17.039999;-2.2960393;5.765537;-3.2585084;
-0.31925344;-0.56138515;0.8194757;-2.34;-42.84;16.02;-1.352724;5.7272296;-0.2825158;
-1.3949871;0.32559118;0.32406402;-4.02;-42.12;15.36;0.14844051;5.456685;-2.0470424;
-0.94294685;-0.16493362;1.0705414;-4.02;-43.02;12.48;1.1731589;3.53863;-0.7062895;
-1.2740358;-0.28588495;1.2348641;-5.8199997;-43.079998;10.74;0.7206547;4.1276035;-0.58657944;
-1.9184986;-0.28405234;1.2647965;-8.88;-44.04;7.74;4.1491513;6.4622498;-1.0845734;
-2.2013292;-1.0946705;1.8762726;-10.5;-43.68;5.46;5.6051254;5.5069633;4.489128;
-2.6588674;-0.7715228;1.181108;-13.62;-43.2;0.35999998;7.7311764;7.776666;4.7620673;
-1.7480673;-0.9272934;1.5280794;-17.4;-42.36;-3.6599998;7.319374;8.873211;5.9259486;
-2.9856803;-1.3610078;1.14018;-19.8;-40.44;-6.8999996;5.8996124;8.9163065;8.435072;
-1.9325485;-1.5522085;1.3497068;-23.939999;-37.5;-10.62;6.9793973;10.781389;8.605061;
-1.7376826;-1.6749926;0.97524637;-25.98;-35.64;-11.46;7.898771;11.420641;10.58746;
-2.283796;-0.9462303;0.11942416;-28.14;-32.52;-12.9;5.272331;9.320927;12.01201;
-1.4560736;-0.5186246;0.129198;-28.68;-32.399998;-13.08;6.2850785;9.160515;10.489297;
-0.7890088;-0.4166101;-0.2843578;-28.38;-31.32;-15.24;5.0472765;8.032846;8.363246;
-0.7230354;-0.081855945;-0.3894266;-28.14;-31.679998;-15.42;5.320215;6.512528;7.774272;
-0.543441;-0.052534413;-0.3313944;-27.9;-31.8;-16.56;5.4135895;5.5835776;7.544429;
-0.48479792;0.073303826;-0.29046643;-26.099998;-31.56;-18.539999;5.612308;5.490204;7.0655885;
-0.34307718;0.069027774;-0.42424592;-25.08;-31.859999;-18.48;5.834969;5.222053;7.549217;
-0.23434319;0.18387043;-0.30268374;-25.32;-31.8;-19.68;5.2364182;4.6160207;7.1613564;
-0.14882204;0.1863139;-0.31429017;-24.3;-32.04;-19.859999;5.514146;4.6040497;6.9315133;
-0.2129629;0.07391469;-0.3313944;-23.34;-32.34;-20.82;5.4710503;4.5777135;6.716035;
-0.13355042;0.18509217;-0.22204952;-23.34;-32.579998;-20.88;5.2244473;4.1299977;6.6178727;
-0.13416128;0.069027774;-0.121256754;-22.38;-32.82;-22.02;5.4471083;4.4436383;7.048829;
-0.034590244;0.28160888;-0.21044308;-22.859999;-33.78;-21.359999;5.566818;4.711789;7.034464;
-0.39316815;-0.025045475;-0.37782016;-20.939999;-32.64;-21.72;5.8206034;4.6255975;7.472603;
-0.02359467;0.20769419;-0.47739118;-20.279999;-31.8;-22.38;4.687847;4.0078936;6.802226;
