gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.40240747;-0.1085813;0.1698969;10.62;-27.9;-16.32;-3.9193082;6.13185;7.8820114;
0.3407101;-0.023060163;0.17905988;10.74;-27.3;-15.42;-3.2848446;6.881235;7.448661;
0.9045387;0.22128594;0.38797578;9.36;-28.98;-14.82;-3.205836;5.5356936;7.3097973;
2.1268802;0.052687127;0.985402;9.78;-30.0;-13.799999;-4.9754505;5.672163;6.974609;
3.428634;0.67088276;0.5920048;6.7799997;-33.3;-9.78;-8.4231;6.5292873;7.5420346;
5.0651417;1.8602374;1.5144113;4.68;-33.6;-3.9599998;-9.455002;8.241141;2.4349031;
0.16783522;2.1259637;-0.27236953;1.38;-35.88;7.62;-4.5896845;11.312902;-9.5531645;
-0.29031372;2.2689064;-0.27114782;0.65999997;-34.559998;9.54;-8.830115;10.398317;5.4495025;
-0.13515393;3.0111074;-0.11904237;-0.24;-33.18;12.54;-8.8444805;9.455002;4.0821137;
-0.019089539;3.3593006;-0.5759696;0.48;-33.42;12.48;-8.552388;10.491692;6.41676;
-0.20173825;3.9078577;0.38553232;-0.71999997;-34.92;12.84;-7.2978263;8.832509;8.372823;
-0.3361286;4.0453024;1.3757449;-4.38;-34.86;13.44;-0.78769237;10.137349;10.585065;
-0.03863723;3.140611;-0.17890716;-8.58;-36.0;11.94;1.388637;11.14052;9.524434;
0.40668353;2.215761;-1.3969724;-9.48;-37.44;9.9;5.064036;8.075942;4.2401314;
-0.066737026;1.694082;-0.4000404;-7.44;-38.76;10.44;1.7812861;6.323386;4.9874215;
-0.3061962;1.6788104;0.7581601;-7.3199997;-37.559998;9.96;4.197036;8.095096;4.0533834;
-0.1253801;0.5627596;-0.23205243;-9.719999;-38.879997;9.0;8.00651;8.79899;-0.20111294;
-0.21151209;-0.52946746;-0.15386169;-9.24;-38.399998;7.3199997;5.5596356;12.723087;-0.5363012;
0.1647809;-1.2191343;0.9676869;-8.76;-39.3;6.96;6.5819597;21.656153;-1.6208745;
1.2527319;-1.687668;0.5614615;-11.34;-39.0;7.3799996;0.2873042;24.591743;-1.5011644;
2.6931522;-1.1085677;2.6915486;-11.88;-37.5;11.04;-0.92655605;24.004866;2.9113493;
2.8580859;-2.0419698;2.1796436;-17.1;-34.92;18.06;3.004723;19.740791;0.49559975;
2.0254765;-2.4494169;1.0593166;-18.96;-31.679998;23.4;-2.6408045;17.700932;6.8285627;
2.9967523;-2.0737348;2.2327888;-17.64;-25.859999;31.38;-6.0073514;9.814132;2.9999347;
1.8843665;-1.8135062;2.1985803;-17.1;-22.02;35.94;-3.727772;9.481338;5.078401;
1.5532776;-1.7511979;1.3213779;-16.8;-16.38;41.46;-4.0462008;4.402937;-0.30645782;
1.4433218;-1.2313516;0.813138;-13.74;-13.139999;44.579998;-6.20607;3.383007;4.5753193;
1.3724614;-0.626595;1.747151;-12.059999;-8.28;46.92;-5.1167083;-3.8307228;-4.548983;
0.6962337;-0.36025777;0.9676869;-12.059999;-5.16;48.0;-0.81163436;-0.4261679;-1.5586253;
0.47571132;-0.3119994;0.9004917;-12.0;-2.76;47.46;-1.6352397;-5.5835776;-8.930672;
-0.3379612;0.11377365;0.17478381;-12.78;-0.78;47.82;0.7110779;-3.0358477;-5.906795;
-0.41554108;-0.11346822;-0.014584408;-11.94;-0.78;49.079998;2.1883004;-3.6008794;-5.777508;
-1.7649424;-0.071318515;0.57184625;-11.46;-3.54;47.76;2.870648;-2.1906946;-4.036624;
-1.8571831;-0.4195117;0.29940033;-10.8;-5.94;46.079998;4.9275665;-0.85473;-2.44448;
-2.7783678;-0.7677049;0.13019066;-10.44;-10.86;45.539997;3.8139634;-0.56982;0.3878607;
-3.5614972;-1.0193814;0.32139146;-6.6;-18.6;42.239998;1.8076223;2.4181437;3.064578;
-4.19191;-1.0535898;-0.26320657;-4.8599997;-24.0;35.94;2.2888567;6.1917048;8.545205;
-4.343405;-1.0969613;0.18761198;-1.68;-29.88;29.519999;-1.4891934;7.9179244;10.257059;
-4.63662;-1.3822353;-0.47456592;-1.02;-34.02;19.26;0.45968673;12.191574;9.387964;
-4.4606905;-1.7737999;-0.38415787;0.06;-35.52;8.46;2.5474305;19.168577;15.347431;
-3.834554;-1.9558378;-1.6156622;0.84;-34.02;-0.78;-4.7429137;21.287445;13.307272;
-2.627484;-1.0713049;0.00496328;2.46;-33.18;-7.9199996;-8.071154;18.603546;9.677663;
-1.5877914;-0.6571383;-0.73051846;1.86;-33.54;-11.82;-4.4196963;17.219698;7.331345;
-0.7912232;-0.21670444;-0.5820782;2.82;-31.199999;-15.24;-3.5482068;14.803947;6.6753335;
-0.20479257;-0.110413894;-0.16180293;2.76;-31.08;-16.68;-1.5777789;11.650485;6.833351;
0.11407909;-0.111635625;-0.38843393;3.72;-30.3;-17.699999;-1.1228806;8.494926;6.256348;
-0.1516473;0.18952094;-0.1465313;4.74;-32.04;-17.94;-2.44448;7.867646;6.929119;
0.20693061;0.3135266;0.45394924;4.3199997;-30.779999;-17.94;-0.5793968;7.6114664;6.8644757;
0.15378532;0.33124167;0.088040955;2.9399998;-31.199999;-17.699999;0.24899697;7.0536175;6.574777;
0.09514226;0.10399981;-0.22411118;3.6;-31.26;-17.1;0.5602432;6.9913683;6.7327943;
