gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.29863673;0.3908774;-0.38812852;-1.68;-10.2;-40.44;-1.6950948;4.501099;8.473379;
-0.05917757;0.17340937;0.18180877;0.35999998;-9.54;-41.879997;-3.9097314;4.3406878;9.14615;
-0.5075527;0.8581893;0.09567677;0.24;-10.2;-42.66;-6.1510034;6.4718266;8.449437;
0.37636936;0.9687559;0.73097664;1.74;-8.94;-45.48;-11.418247;6.584354;10.154109;
0.45700356;1.8532888;1.2801445;4.98;-8.76;-47.94;-15.503055;5.293879;10.235512;
0.39408445;2.636418;2.4627795;11.5199995;-12.78;-50.52;-18.0864;1.7142484;10.295366;
0.1821142;3.2686636;4.138383;19.619999;-19.56;-44.64;-16.434399;-2.89459;14.078205;
-0.014584408;3.23079;5.212895;18.6;-25.859999;-32.46;-9.45979;-5.698499;15.421652;
-0.28153253;3.0102675;5.1096587;10.08;-29.039999;-24.779999;-4.048595;-6.256348;16.415245;
0.27313313;2.6797895;4.5659885;0.24;-27.119999;-21.539999;2.6168625;-4.7165775;14.696209;
0.6445392;1.7781523;3.312493;-6.2999997;-25.92;-21.539999;8.997709;-1.3790601;12.840403;
0.3684281;0.4611269;2.7138453;-12.3;-23.699999;-21.72;14.126089;2.1164744;11.561899;
0.5755114;-0.45394924;1.2428817;-15.96;-23.64;-21.48;16.968306;7.927501;12.790125;
0.8626181;-1.4948636;0.43043092;-19.5;-23.64;-19.5;11.772589;13.510779;15.548544;
1.452714;-3.0195832;0.49335003;-21.9;-24.3;-17.039999;9.783008;14.928446;15.752051;
1.8155679;-3.8399754;-0.24824037;-26.279999;-25.199999;-10.139999;7.0081277;12.900258;17.16463;
2.1851413;-4.2052727;-0.91102916;-28.08;-27.18;-1.56;1.6424223;9.215582;15.191809;
2.5962536;-3.8900661;-0.73204565;-26.099998;-29.22;7.2;-9.601048;2.2098482;10.005669;
1.7373772;-3.6396115;1.105437;-24.48;-28.68;17.88;-13.635278;-1.2545617;-1.6280571;
0.2279291;-2.4685829;1.5880206;-23.1;-27.84;24.119999;-7.520487;0.4141969;-0.2633622;
0.6427066;-1.7764724;1.413924;-23.4;-26.16;27.84;-2.0398598;1.5011644;-0.7182605;
0.21693352;-1.1723268;0.6869943;-22.92;-23.76;31.199999;0.20829555;2.006341;-5.698499;
-0.47945285;-0.80275327;0.3956116;-22.74;-23.16;33.48;1.8914193;4.268862;-3.7134068;
-0.44646615;-0.5828418;0.24778222;-22.8;-22.98;32.88;3.4045548;5.2651486;-4.2999864;
-0.82031566;0.00786489;-0.6691265;-21.779999;-23.88;31.8;3.25372;4.8147397;-2.1499932;
-0.6168975;-0.064828075;-0.3288746;-20.46;-25.26;31.74;1.1109096;3.6750996;-3.8762126;
-1.2332605;-0.09720393;-0.34842226;-19.619999;-26.58;30.42;1.436521;3.809175;-2.2649148;
-1.7341701;-0.03306308;-0.05337435;-18.779999;-27.3;27.66;2.0374656;3.2321723;-1.7669208;
-2.137952;0.26565003;-0.8206211;-19.92;-29.4;24.6;3.4572272;2.0901382;1.6256629;
-2.332818;0.3487277;-1.3178654;-17.64;-31.98;18.96;0.21787235;0.045489833;1.5634137;
-2.9821677;0.09827295;-1.460197;-14.58;-33.66;12.54;-1.5993267;-0.8475474;4.3526587;
-4.0536256;0.09705122;-1.1211668;-11.28;-35.1;6.7799997;-2.9592333;-0.7661445;6.8860235;
-4.9283843;0.0041996986;-1.4437037;-9.059999;-36.42;-4.92;-0.8619126;4.3143516;14.248194;
-3.5594354;-0.43134722;-0.90919656;-7.62;-34.739998;-17.4;-4.0462008;13.8603325;25.439291;
-2.8123472;0.85696757;-2.7314076;-6.66;-29.88;-33.48;-4.5322237;15.615582;22.822128;
-0.98280585;0.26137397;-1.5829809;-3.3;-19.8;-44.399998;-4.6950297;13.455713;17.542915;
-0.8447503;-0.0110719325;-0.5732207;-1.14;-13.32;-47.52;-3.7708676;9.957784;12.38311;
-0.36033413;0.06345363;-0.41256312;-0.42;-7.3799996;-45.12;-0.45729253;7.8963766;9.71597;
-0.47945285;0.011530082;-0.4095088;-0.42;-6.18;-44.1;-1.6879122;6.332963;9.794978;
0.008017606;-0.1381319;-0.43088907;1.02;-3.72;-43.26;-1.2449849;5.3250036;11.044752;
0.09659307;0.053068917;-0.58788145;1.26;-4.38;-43.079998;-1.7142484;4.1802764;9.126996;
0.33421963;0.038408153;-0.29955304;2.1599998;-5.04;-41.94;-3.1411927;3.4237084;9.775825;
0.21693352;-0.15706873;0.0388663;2.9399998;-5.7599998;-41.94;-1.8052281;3.1364043;8.2555065;
-0.07506007;-0.060552016;0.13477215;3.1799998;-6.3599997;-42.239998;-1.5251064;3.4165258;9.1150255;
0.22731823;-0.13202325;0.054137934;3.48;-5.52;-41.7;-0.85473;3.3494883;8.995315;
-0.05673411;-0.030008756;-0.12667818;2.9399998;-6.8999996;-40.86;-1.5298948;3.41892;9.962572;
0.23892467;-0.13752104;-0.02893974;1.8;-7.7999997;-42.18;-1.6280571;3.4117374;8.710405;
0.122860275;-0.06299548;0.065133505;1.5;-7.98;-41.76;-1.3694834;3.4332852;8.763078;
0.0061850105;-0.04589125;0.08590292;1.9799999;-8.04;-42.719997;-1.5370775;3.265691;8.877999;
-0.067118816;-0.008017606;0.016875152;1.3199999;-8.4;-40.86;-0.6991069;3.6846764;8.988132;
