gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.15355626;-0.571159;0.1994475;-17.58;-34.02;-17.76;3.1124623;5.234024;5.4231663;
-0.36812267;0.24312437;-0.06688975;-19.08;-35.16;-17.34;3.4380736;5.741595;7.735965;
-0.2392301;0.52106804;0.13897185;-17.94;-34.26;-17.94;1.3838485;5.1909285;9.074324;
0.15294538;0.93584555;0.5946773;-19.32;-33.78;-19.14;-0.62009823;5.1669865;11.770195;
1.0661889;1.3176364;0.87689704;-19.439999;-33.48;-18.119999;0.4189853;5.243601;13.762171;
0.5145776;2.6481009;0.68875057;-21.24;-32.94;-19.08;0.08140286;5.468656;10.338462;
0.29833132;2.6193902;0.80848014;-21.06;-30.84;-21.48;-1.2042835;2.2864625;13.946525;
1.0057132;2.6297748;1.9953914;-21.119999;-31.199999;-23.64;1.283292;1.5251064;12.615348;
0.7210501;2.9523118;2.0815234;-20.76;-29.519999;-26.58;3.098097;0.29927522;13.793295;
1.4858533;2.8845057;2.8194485;-20.82;-27.84;-28.439999;6.7208233;-0.30166942;13.553875;
1.3539065;2.8142562;2.133447;-20.64;-26.64;-30.599998;10.149321;2.779668;7.6497736;
0.9311877;2.1197023;1.452943;-20.1;-25.439999;-31.92;10.36001;4.76925;5.468656;
0.57566416;1.1044444;0.8384125;-19.199999;-25.439999;-32.579998;10.0751;5.7487774;1.2090719;
-0.49396092;0.8723156;0.30451632;-18.66;-24.539999;-33.42;8.075942;5.3752823;4.039018;
0.33376148;-0.18387043;0.5006041;-18.9;-23.939999;-34.38;5.9738326;6.644209;3.4715924;
0.49075386;-0.6792821;0.21166481;-19.5;-24.119999;-33.48;8.90673;9.304167;4.402937;
-0.39011383;-1.0983357;-0.7467828;-20.88;-24.72;-33.36;6.9793973;10.565911;3.2106245;
0.44066292;-1.72264;-0.93676186;-20.939999;-25.26;-32.1;7.5564;13.544298;5.2627544;
-0.49640438;-2.5821273;-1.1847731;-23.34;-25.92;-29.279999;8.336909;16.11597;11.344027;
1.678276;-2.4465153;-1.5537357;-22.859999;-27.72;-27.06;6.6394205;14.418182;16.149488;
3.7112355;-2.8735101;-1.1371256;-23.88;-32.579998;-19.14;7.3002205;14.111724;9.378387;
2.2567654;-2.7543914;-1.8487836;-23.279999;-36.48;-8.82;8.15495;14.298471;12.2634;
2.4516313;-2.3383923;-2.327702;-18.539999;-38.94;-0.17999999;4.0198646;8.832509;11.825261;
1.8499291;-2.3286183;-1.7632625;-13.679999;-41.04;6.2999997;1.2617443;4.0318356;9.256283;
1.7106518;-1.4709635;-1.4639386;-8.94;-42.36;11.34;-0.37588966;0.21547815;7.654562;
1.854816;-1.4459181;-0.6356053;-4.38;-41.579998;16.26;-3.881001;-1.8962077;1.7597382;
1.7418059;-1.2504412;-0.13469578;-2.28;-40.86;21.0;-2.908955;0.60333884;0.1364695;
1.0350348;-0.21746802;-0.11759156;0.48;-38.04;24.84;-2.5594015;3.4572272;-1.6879122;
0.4180609;0.026267206;-0.038179077;-0.53999996;-36.42;26.519999;-4.1371803;3.0502129;-2.2529438;
0.6343072;0.2742785;0.3417791;0.12;-35.34;28.019999;-2.315193;4.1706996;-4.3287168;
0.12912165;0.1881465;0.52687126;-0.17999999;-35.399998;29.279999;-2.0254946;4.0581717;-5.717653;
-0.3656792;0.14355333;0.6960809;-1.3199999;-34.559998;28.14;-0.7062895;4.4843397;-3.7301662;
-0.15248723;-0.17531833;0.7266242;-3.06;-35.28;28.38;1.7357962;6.16058;-4.4556093;
-1.4408021;0.48624873;0.060170226;-3.4199998;-35.7;27.0;-0.92416185;4.2784386;-2.2936451;
-1.055957;0.12217305;0.8378017;-4.44;-36.42;24.84;1.9608512;3.289633;-3.5170822;
