gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.06910413;-0.11491902;0.12072224;-7.44;1.62;-44.399998;1.9608512;0.35194764;8.743924;
0.1662317;-0.5785657;0.34429893;-7.74;2.28;-44.94;1.8986019;0.12210429;10.113407;
0.40508002;-0.19860756;0.45058948;-8.46;1.56;-45.84;1.7429788;0.45968673;10.424653;
-0.044516806;0.23205243;0.24778222;-9.42;1.26;-45.18;-2.2098482;1.1947067;10.613795;
0.20654881;-0.337274;0.9551642;-8.88;0.24;-46.26;-7.1398087;-1.958457;15.850214;
1.9218584;-0.40935606;2.379091;-10.74;-4.08;-47.7;-5.8493342;-1.8435353;16.669031;
2.1161137;1.0231229;3.1017447;-11.639999;-6.42;-49.5;-3.2872388;-3.4524388;17.588404;
2.3561835;1.8722256;3.236135;-8.28;-11.88;-51.3;1.364695;-6.4837976;15.50066;
3.0165288;1.902158;3.8598285;-6.18;-17.94;-49.44;3.2513258;-9.562741;15.7736;
2.8796952;2.382298;3.0070605;-7.68;-24.779999;-43.379997;11.183616;-6.6896987;9.613019;
1.5901586;1.8398497;1.8983401;-8.94;-29.939999;-37.98;8.2315645;-4.2521024;3.4644098;
0.83879435;1.2045499;1.8885663;-9.42;-30.66;-35.34;11.21474;0.1412579;2.0709844;
0.21143574;0.28764117;1.0742829;-11.5199995;-31.439999;-34.559998;9.964967;2.5306711;1.5394717;
-0.074449204;-0.1259146;0.5623778;-13.08;-30.9;-34.559998;9.694422;4.8482585;5.6673746;
0.17661642;-0.79847723;0.11339186;-13.86;-29.279999;-33.96;10.666468;8.827721;5.2244473;
-0.42997277;-1.1204032;-1.0356457;-14.58;-30.119999;-33.36;10.721535;11.566688;8.260295;
-0.015195273;-1.4001795;-1.8719202;-13.5;-30.9;-33.36;9.574712;12.888287;13.61373;
1.7300467;-1.5076917;-1.8371009;-13.0199995;-33.3;-31.859999;10.652102;12.802095;17.315466;
1.855885;-1.5364025;-2.6348908;-11.759999;-36.059998;-28.92;9.364022;11.245865;14.918869;
2.3451881;-1.9169714;-3.0007992;-7.9199996;-40.739998;-23.88;6.526893;7.9203186;17.238852;
2.5986972;-2.4007769;-2.7582858;-3.54;-44.16;-17.82;3.976769;4.7046065;15.117588;
1.9908862;-0.7764861;-2.77539;0.9;-45.96;-11.58;2.621651;-0.12449849;12.957719;
1.6384169;-1.135064;-1.4259886;8.16;-46.44;-4.62;-6.479009;-4.0916905;6.8764467;
2.4691937;-0.89010704;-0.8499426;11.4;-45.96;-1.92;-6.071995;-4.441244;3.572149;
2.3311381;-0.8644507;0.26366472;12.66;-44.399998;4.74;-3.2680852;-1.0295067;-2.0733786;
0.7752644;-0.8607855;0.33452508;11.46;-44.399998;8.34;-3.572149;-0.4213795;-6.347328;
-0.19845484;-0.65614563;0.6167448;12.24;-43.8;9.12;-1.9536686;0.08619126;-5.51654;
-0.8789587;-1.1197923;0.73036575;12.059999;-44.1;8.639999;-0.8834604;0.5363012;-4.596867;
-1.7922022;-0.9163742;0.9887618;10.98;-44.7;6.06;0.8451532;0.06703765;-2.6719291;
-1.7323375;-1.4007903;1.386435;9.12;-45.84;1.62;3.2513258;-0.4309563;0.22984336;
-3.3535738;-1.0550406;1.4982234;5.64;-45.96;-3.4199998;2.8898015;-1.3455414;0.1364695;
-3.5551593;-2.489963;2.0082958;1.92;-45.96;-12.059999;5.514146;-3.4739866;4.2999864;
-4.029802;-2.145435;2.9533043;-5.58;-43.62;-20.279999;11.399094;-2.896984;11.008839;
-4.118988;-3.0776155;2.4230733;-15.96;-39.42;-30.66;15.795147;-2.3630772;15.203779;
-4.8459177;-1.5736653;2.0638845;-29.039999;-29.64;-36.66;16.882114;-0.19393034;17.954718;
-3.2002466;-1.5809956;1.6399441;-38.64;-9.719999;-37.32;17.234062;4.4603977;22.345682;
-2.1391737;-0.5596289;0.71326154;-36.18;-3.12;-33.3;14.145243;5.4495025;16.118364;
-1.6620879;0.26259568;0.20685424;-33.84;0.17999999;-32.64;11.468526;4.0940847;13.515568;
-0.73418367;0.053068917;-0.09674578;-33.0;2.1;-32.46;8.882788;2.0470424;9.735124;
-0.687147;0.16119206;-0.021609358;-31.5;2.3999999;-33.719997;7.486968;-0.3878607;8.494926;
-0.36399934;0.27786732;0.04558582;-31.199999;3.6599998;-34.8;8.083124;-0.8858546;8.188469;
-0.12515102;-0.013515393;-0.093080595;-30.24;4.08;-35.28;6.977003;-1.6017209;7.154174;
0.25175285;-0.17539468;0.15554157;-31.5;3.84;-34.62;7.261913;-2.054225;6.8596873;
0.41424298;0.09216429;0.44264823;-31.26;3.78;-34.86;6.830957;-2.348712;5.96665;
0.26946792;0.028023442;0.46341765;-30.72;3.6;-35.579998;7.3097973;-2.2649148;5.372888;
0.28107437;-0.23953554;0.34552065;-31.14;4.7999997;-35.04;8.3512745;-1.8626889;5.858911;
-0.1905136;0.39209914;-0.0173333;-31.5;4.62;-34.559998;8.183681;-1.6136919;5.5476646;
0.0819323;0.16913332;-0.0026725354;-30.119999;4.68;-35.1;8.27466;-2.3295584;6.790255;
0.098425664;0.17218764;-0.04604397;-30.599998;4.38;-35.76;8.011298;-1.745373;5.0951605;
0.020845776;0.28458685;-8.399397E-4;-29.88;4.02;-34.739998;7.5755534;-2.0039468;6.0552354;
