gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.094913185;0.119729586;0.32589662;-14.46;-38.219997;-16.619999;2.3343468;5.1334677;6.728006;
0.27328584;0.18936823;0.52748215;-15.599999;-38.1;-17.46;1.982399;5.296273;9.356839;
0.4760931;0.5491679;0.6264423;-17.58;-37.02;-15.179999;1.9560628;5.4949923;8.729559;
-0.3216969;1.3219124;0.44990227;-18.24;-35.94;-15.839999;-1.283292;3.9456444;11.688792;
0.69111764;1.4648548;1.4895949;-20.279999;-34.079998;-16.619999;-2.2744915;2.4181437;16.108788;
2.2604306;1.5668694;1.8481728;-22.199999;-34.2;-18.42;2.1763294;4.144363;16.87972;
2.702086;1.9456058;2.169488;-25.32;-33.6;-17.52;5.408801;1.2138603;12.905046;
2.6593256;2.5662448;2.1389446;-27.779999;-32.399998;-17.52;9.811738;2.0398598;10.537181;
2.647108;2.914438;1.6936239;-29.16;-30.84;-16.8;11.691186;2.15957;9.610625;
2.615343;2.874121;1.1688906;-31.56;-31.38;-17.699999;11.983279;3.1411927;3.2561142;
1.2445616;2.5986207;0.68386364;-30.24;-29.34;-18.72;11.485285;4.249708;-0.3878607;
0.7943539;1.7941113;0.37110063;-28.92;-29.939999;-20.279999;9.119814;4.06296;-0.9648633;
0.7204392;0.8900307;0.5458081;-29.16;-28.98;-22.14;8.904335;4.980239;-0.7230489;
0.1297325;0.2968805;0.32528573;-28.8;-29.88;-22.38;9.2347355;6.9841857;-0.770933;
0.059483003;-0.17654006;-0.31612277;-28.8;-29.099998;-22.98;9.718364;9.672874;1.9416976;
-0.7016551;-0.8564331;-0.7809912;-29.16;-29.64;-22.32;7.84131;11.667244;-1.7429788;
-0.0064904434;-1.7037032;-0.96852684;-28.619999;-30.3;-22.14;8.655338;13.652038;3.8283286;
1.1388819;-2.4599543;-0.81336707;-28.08;-31.38;-19.38;9.682451;16.247652;3.6128504;
