gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.11927144;0.30970868;0.12820534;-34.739998;-22.859999;-20.939999;6.7806783;3.406949;6.088754;
-0.030085113;-0.115453534;0.07506007;-35.04;-22.56;-21.9;6.704064;4.367024;6.2755017;
-0.02031127;0.1826487;-0.032452215;-34.38;-22.199999;-21.24;6.5819597;5.0113635;8.533235;
0.74265945;-0.004276057;-0.06299548;-34.559998;-22.08;-21.6;4.6902413;5.9594674;12.991238;
-0.15592335;0.62858033;-0.36170858;-34.079998;-25.68;-21.6;0.81881696;6.268319;20.449474;
1.1702651;3.5277467;0.23021984;-31.8;-28.68;-23.939999;-3.2944214;-5.9858036;29.614779;
3.7866008;4.3456955;2.160554;-27.48;-30.42;-26.76;7.7072344;-8.396765;24.273016;
4.827515;5.42204;2.8471665;-24.96;-32.399998;-23.46;19.752762;-7.3744407;14.418182;
4.1781654;4.900361;2.1098523;-26.88;-35.1;-20.279999;19.1183;-5.918766;2.6360161;
2.743854;3.5662313;1.9962313;-28.5;-35.88;-18.96;16.906057;-0.4429273;-2.5115175;
0.9240864;1.8979583;1.0622183;-29.939999;-35.34;-20.82;14.775217;6.3401456;-6.2491655;
0.07498371;0.8362745;0.20150918;-29.099998;-35.1;-21.359999;11.7678;6.8836293;-3.13401;
0.957684;-0.0067195175;0.041462477;-28.5;-34.2;-22.619999;8.43986;7.656956;-3.8546648;
0.09819659;-1.2339478;-0.264581;-28.92;-36.0;-21.359999;7.67611;13.628096;-3.6846764;
0.5917757;-1.6022996;-0.60605466;-29.88;-35.76;-19.439999;10.00088;21.543625;2.2146366;
1.288773;-2.4776695;-2.2205715;-30.179998;-37.92;-16.02;12.344803;25.08016;1.1468226;
1.1244502;-2.933375;-3.3060791;-27.18;-41.82;-10.5;13.19235;21.162947;6.289867;
1.6656768;-2.8154778;-3.805156;-20.88;-45.66;-5.2799997;11.00405;15.2492695;15.941194;
2.3779457;-1.9853121;-4.2914047;-9.599999;-48.18;1.38;9.433454;6.2611365;13.89864;
0.38041633;-0.7556403;-3.7355173;1.14;-48.84;6.24;2.9951463;-4.355053;13.0079975;
2.1018345;-0.57360244;-2.1533763;11.4;-47.16;7.62;-5.1334677;-10.52521;8.061577;
2.1311562;-0.3268129;-0.717843;16.199999;-45.48;12.24;-4.8817773;-6.8596873;0.5434838;
1.5801557;-0.3481932;0.4489096;17.88;-43.44;16.38;-5.0616417;-3.9240966;-2.7581203;
0.513585;-0.3585779;0.9938014;17.64;-42.36;19.02;-3.4237084;-2.3630772;-4.3478703;
0.4427246;-0.63285637;1.8575648;15.78;-42.36;19.8;-1.6304513;-3.0071173;-3.526659;
-0.21090123;-0.9419542;2.5020278;12.719999;-43.5;18.3;1.3838485;-4.0294414;-4.6136265;
-0.6403395;-1.273654;3.4720817;7.9199996;-44.1;18.359999;5.1454387;-4.2042184;-3.347094;
-2.0398319;-1.4355333;4.222835;1.9799999;-45.539997;15.9;7.903559;-4.3239284;-2.5761611;
-2.9750664;-2.1361957;5.450063;-5.04;-46.92;11.16;14.729728;-2.743755;2.5234885;
-3.389233;-3.0036244;6.228306;-15.96;-46.68;2.82;24.026413;5.3250036;11.229105;
-3.4765868;-2.2094996;4.3602796;-28.8;-40.739998;-3.36;28.415283;16.659454;19.154213;
-0.7142542;-1.2675453;3.4012213;-37.079998;-33.719997;-6.66;23.672071;20.729597;14.578593;
-1.6812539;-0.6432411;1.3426055;-42.059998;-26.46;-6.12;15.651495;17.806276;5.222053;
-1.730123;-0.3915646;0.35300374;-42.899998;-23.46;-6.42;11.128549;11.269807;7.192481;
-0.49006665;-0.19303341;0.04085161;-43.559998;-21.66;-6.72;9.371204;7.3241625;6.4119716;
-0.6348417;0.050701816;-0.32933274;-43.62;-21.72;-6.0;9.047988;5.0975547;4.189853;
-0.6385069;0.31764993;-0.32505667;-42.54;-21.48;-6.6;8.387188;3.7253778;5.174169;
-0.4063781;0.38056904;-0.34093916;-42.84;-22.859999;-8.16;8.272266;3.3255463;4.185065;
-0.19746219;0.28099802;-0.1735621;-42.059998;-22.68;-9.36;8.985738;3.6894648;2.9879637;
-0.4961753;0.28893927;-0.24808764;-41.399998;-24.06;-10.139999;8.705617;3.6391866;2.3343468;
-0.23655757;0.11178834;-0.09292787;-41.16;-24.0;-11.759999;8.688857;3.502717;3.928885;
0.07620544;0.14355333;-0.07582365;-41.52;-24.0;-11.46;8.391976;3.6511576;3.0885203;
-0.024587326;0.15210545;-0.12347114;-41.64;-24.119999;-11.28;8.698434;3.8115692;2.8993783;
-0.08933904;0.2302962;-0.15279266;-40.14;-24.18;-11.34;8.040029;3.3303347;3.4500446;
-0.04230242;0.20097467;-0.07032586;-40.92;-25.26;-12.42;8.5978775;3.4093432;3.4931402;
0.12018774;0.027488936;-0.050778173;-40.44;-23.939999;-12.78;8.427889;3.157952;3.5410242;
0.071318515;0.09590584;0.10132727;-40.32;-24.84;-13.74;8.14298;3.1962593;3.9576154;
0.20693061;0.056199603;0.04268421;-40.92;-23.16;-13.259999;8.269872;3.4691982;3.4644098;
0.032223143;-0.06963864;0.12698361;-40.739998;-24.24;-13.799999;8.468591;3.5003228;3.560178;
-0.011148291;-0.0580322;-7.6358156E-5;-41.04;-24.18;-13.259999;8.377611;3.5003228;3.502717;
