gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
0.04008803;-0.10399981;0.13828462;-4.56;-24.539999;-21.84;0.36631286;4.321534;8.626608;
0.018096883;0.15012014;0.072922036;-4.68;-24.6;-21.06;-0.29448682;4.721366;8.114249;
0.032757647;0.38896844;0.07047858;-4.08;-23.82;-22.14;-1.3215994;5.3800707;9.380781;
0.32108605;0.6382015;0.29039007;-3.78;-24.84;-22.08;-4.280833;5.59076;9.83568;
0.52328247;0.92164296;0.6343072;-4.14;-23.039999;-22.619999;-6.038476;5.4518967;9.390358;
0.6320165;1.1922562;1.1559861;-3.84;-22.56;-23.16;-6.8165917;4.879383;9.337686;
0.7505243;1.3315336;1.7283669;-5.46;-21.6;-23.1;-7.2978263;3.8786068;9.751883;
0.69493556;1.4170547;2.6348908;-5.58;-19.56;-24.48;-6.5795655;2.9855695;9.862016;
0.45669812;2.2960896;1.8474855;-8.04;-18.9;-26.16;-4.4005427;1.7860745;10.441413;
1.1988994;2.7310257;2.5609763;-7.44;-16.199999;-27.72;-3.241749;1.2138603;12.567464;
0.393779;2.181247;2.973921;-8.22;-14.82;-28.619999;-2.954445;0.4333505;10.5563345;
0.12255484;2.7817276;2.8969522;-6.2999997;-12.12;-31.38;-1.4149733;-0.12210429;11.497256;
-0.04848743;2.743854;2.647108;-4.08;-11.04;-33.66;1.7381904;0.06464344;11.4876795;
-0.29588786;2.2661574;2.6355016;-0.84;-8.22;-34.68;3.8666358;1.0079589;11.944971;
0.0071013086;1.4396566;2.402151;2.22;-6.66;-34.8;6.7734957;1.484405;10.927436;
-0.07108945;1.347416;1.4400384;4.02;-4.92;-34.14;8.945037;3.1747115;9.134179;
0.015042556;0.8727737;0.49991685;6.06;-4.14;-34.02;8.863634;4.0294414;9.158121;
-0.13400856;0.45799622;0.25862506;7.3199997;-3.9599998;-33.42;5.430349;5.284302;7.2595186;
0.07002043;-0.38805214;0.44677156;7.98;-4.2599998;-33.18;6.4335194;6.550835;10.036793;
0.33330336;-0.7655669;0.05215262;6.6;-4.14;-32.579998;7.048829;7.8580694;9.866804;
0.49396092;-0.7527387;-0.7963392;5.22;-4.8599997;-32.88;6.3138094;9.723152;9.79019;
0.724868;-1.3245085;-0.63873595;3.84;-6.18;-33.48;5.502175;11.633725;11.964126;
1.2514338;-1.9530889;-0.60697097;1.62;-7.14;-33.719997;3.9456444;13.113342;12.486061;
1.749289;-2.4485006;-0.32658383;-1.56;-9.9;-31.56;0.91219085;12.179604;14.267347;
2.329611;-2.6335928;-0.046196684;-6.06;-11.94;-28.92;0.9840169;9.759066;12.553099;
2.5409703;-2.6152668;-0.016264288;-9.9;-15.48;-22.5;0.090979666;8.590695;7.096713;
1.7981582;-2.527913;-0.63873595;-12.179999;-17.16;-16.32;2.4516625;7.0560117;3.9240966;
1.603903;-1.7282904;-0.8458193;-12.719999;-19.439999;-10.5;-0.81642276;5.360917;4.853047;
1.5977944;-1.3019066;-1.096274;-12.599999;-21.0;-7.3199997;-2.8323407;4.19943;0.5554548;
0.5813146;-0.8907942;-0.49151745;-9.719999;-20.88;-3.48;-2.6192567;3.7732618;-0.33518824;
0.7584656;-1.1027645;0.1559997;-8.76;-21.42;-1.74;-3.8402996;3.9073372;-0.4213795;
0.85681486;-0.95554596;0.5066364;-7.8599997;-20.46;1.26;-1.316811;4.9036245;-2.5833437;
0.32841644;-0.257327;0.39851323;-8.94;-19.439999;3.12;-0.8499416;5.7487774;-3.7349546;
0.23495404;-0.13271047;0.20303634;-9.84;-19.26;3.54;0.82121116;6.354511;-3.7205894;
-0.037491854;-0.24388795;0.42050436;-10.5;-19.859999;3.8999999;1.6328455;7.0560117;-5.492598;
-0.2018146;-0.18035796;0.22563834;-9.66;-19.02;3.78;2.8993783;7.652168;-4.1252093;
-0.7155523;0.110413894;-0.066355236;-10.5;-18.6;4.2;3.2609026;7.400777;-2.753332;
-0.48464522;0.045662176;-0.28932106;-11.04;-18.24;2.6399999;2.6479871;7.5037274;-1.3958195;
-0.6495788;-0.3220787;0.22258402;-11.219999;-18.72;2.46;2.9879637;6.1414266;-1.8746599;
-0.7363217;-0.5768095;0.30138564;-11.04;-18.9;1.92;3.3159695;5.909189;-2.0207062;
-1.1095604;-0.61101794;0.19448422;-12.3;-18.539999;1.68;3.9863458;6.088754;-1.7238252;
-1.2702179;-0.5670357;-0.06574437;-13.32;-18.48;0.96;4.5537715;6.136638;0.29688102;
-1.6440674;-0.28603765;-0.22456934;-14.46;-18.9;-0.35999998;2.0518308;6.2826843;1.0127473;
-1.6709455;-0.89873546;0.0020616702;-13.799999;-18.6;-3.06;3.6894648;6.7304;3.8953662;
-1.8132771;-0.63239825;-0.19341521;-15.299999;-18.6;-3.48;3.3255463;6.440702;3.0693667;
