gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.031688634;0.20639609;0.044974953;-18.24;7.9199996;-43.739998;6.368876;-1.0989386;7.4414783;
0.31894803;-0.33971745;0.18791743;-18.539999;8.22;-43.02;6.7304;-0.5674258;6.8860235;
0.11247557;0.015195273;0.115835324;-18.3;7.2599998;-44.28;6.598719;-0.48841715;7.3624697;
0.11308643;-0.06727154;0.23617578;-19.68;7.9199996;-43.32;4.027047;-0.06464344;9.172486;
0.63781965;0.29619327;0.6185774;-18.9;8.04;-42.3;0.2657564;-1.0941502;14.799159;
1.7306576;0.6639342;1.2667054;-19.74;6.72;-43.02;-1.9081788;-0.92416185;13.948918;
1.8522198;0.83741987;1.477454;-18.84;5.7599998;-42.42;-2.4660277;-2.8778305;15.17026;
2.6573403;1.8148043;2.855566;-17.94;2.28;-43.26;-0.6847417;-8.24593;17.425598;
2.7691286;2.4201717;3.49392;-16.5;0.96;-42.36;0.62967503;-12.306496;17.76797;
3.3635004;2.155667;4.4578657;-15.9;2.1599998;-43.379997;4.0773253;-14.051869;15.036185;
3.2712598;2.0890827;4.77185;-13.92;2.6399999;-48.42;6.419154;-13.340791;13.505991;
2.527226;1.9840139;3.907476;-6.18;-6.3599997;-51.899998;8.308179;-10.122984;10.269031;
2.337247;2.0096703;3.335706;-4.56;-15.36;-48.719997;10.369587;-8.887576;9.950602;
1.9902754;1.6510924;2.511038;-5.1;-20.279999;-43.62;12.351986;-4.920384;5.2531776;
0.5803983;1.9058232;0.74441564;-6.72;-23.279999;-39.48;13.474867;-0.4261679;1.0414777;
0.028787024;0.3823253;0.85498226;-4.02;-23.699999;-38.579998;9.897929;0.8595184;2.6431987;
-0.20578523;-1.0593166;0.7218136;-5.7599998;-23.279999;-38.04;9.402329;3.9600096;3.6367924;
-0.14225525;-1.388573;-0.41745004;-7.3199997;-23.22;-37.62;13.235446;9.028834;7.8365216;
7.6358156E-5;-1.9365191;-1.0167089;-8.76;-23.58;-38.46;11.724705;12.974479;18.59397;
2.3134232;-2.3855052;-1.0936779;-11.28;-25.019999;-36.36;16.82226;17.408838;19.470247;
2.571819;-3.2401056;-2.2732587;-13.559999;-30.779999;-31.619999;21.031267;15.833454;18.945917;
2.4429264;-3.2987487;-4.4662647;-14.28;-36.3;-22.98;18.763958;7.4295073;24.335264;
2.989651;-3.0055335;-4.396015;-7.44;-41.94;-15.78;13.058275;-0.7661445;22.762274;
2.9175687;-3.3115768;-3.768046;1.92;-43.739998;-7.02;6.34254;-3.1986535;18.072033;
3.006755;-3.3366222;-3.2481997;10.679999;-44.04;-0.48;1.8555063;-4.7189717;15.445594;
2.5461626;-2.499737;-2.747901;19.859999;-41.16;5.04;-4.9634795;-7.946655;15.036185;
3.4532976;-2.4985151;-0.6508006;26.34;-37.079998;8.639999;-13.175591;-9.021651;4.201824;
2.6640596;-2.458198;1.10055;29.34;-34.32;12.059999;-9.586683;-4.0821137;1.2785037;
1.275563;-0.72639513;-0.17738;29.16;-33.239998;14.7;-6.799832;-0.04309563;-4.8817773;
0.7019605;-0.32750013;0.48418707;30.42;-33.059998;15.66;-10.079888;-2.813187;-3.7828386;
0.3103959;-0.14362969;1.5061647;29.699999;-33.899998;16.68;-5.490204;0.91219085;-5.8996124;
-0.96203643;0.3114649;1.3992631;27.359999;-33.899998;16.5;-4.1060557;0.59615624;-5.3226094;
-1.652925;0.5234352;1.3510048;23.939999;-36.48;14.5199995;-2.2002714;-1.7429788;-3.9911342;
-1.838628;0.3450625;2.1109211;22.74;-38.219997;12.179999;-0.89782566;-2.8060043;-2.8083985;
-2.7060566;-0.26274842;2.8628964;16.14;-41.94;6.6;3.8067808;-3.7349546;-1.3862427;
-3.8245509;-0.019013181;3.0748665;8.82;-43.26;0.35999998;7.034464;-4.5872903;1.532289;
-4.11349;-0.83329654;3.277063;1.3199999;-43.739998;-9.719999;14.195521;-4.1276035;6.790255;
-5.230763;-1.2615131;3.3790774;-6.7799997;-41.1;-18.6;18.084003;-4.9179897;13.005603;
-4.4867287;-1.556561;3.6686275;-17.88;-33.42;-28.199999;20.095133;-1.7764976;17.380108;
-4.355393;-0.7636579;2.5935047;-29.22;-22.26;-32.219997;22.601862;1.9512744;15.929222;
-3.982765;-1.2297481;1.5501469;-31.679998;-10.8;-33.719997;20.035278;2.669535;16.120758;
-3.3596826;-1.0758101;1.0449613;-32.34;0.12;-34.8;16.360178;2.980781;17.138294;
-2.4519367;-0.5034293;0.47807842;-32.28;6.48;-34.2;12.818855;2.6479871;16.977882;
-1.004797;0.027412578;-0.006337727;-32.7;11.88;-34.38;10.968137;2.6599581;11.808502;
-0.8429177;0.6847036;-0.5280166;-31.619999;14.639999;-33.84;10.04637;1.2521675;9.859622;
0.0092393365;0.58513254;-0.6886742;-30.84;14.94;-35.16;8.26269;-0.1316811;9.052776;
0.36720636;1.1911108;-0.7680867;-30.359999;14.58;-36.6;8.511686;-1.7717092;5.5189342;
0.20960313;0.4208098;-0.5463426;-29.039999;13.139999;-37.739998;7.25473;-2.2290018;1.0079589;
-0.23693936;-0.16745344;-0.07780896;-28.199999;11.4;-37.68;7.803003;-2.2146366;5.684134;
0.23587035;-0.067882404;0.15187638;-29.34;11.28;-38.399998;7.8700404;-2.0829554;5.0855837;
