gyro_x;gyro_y;gyro_z;magnetometer_x;magnetometer_y;magnetometer_z;accelerometer_x;accelerometer_y;accelerometer_z;
-0.124387436;0.3213151;0.020463986;-46.92;-12.42;-11.219999;6.706458;5.614702;1.7238252;
0.032604933;0.21685717;0.03756821;-45.48;-13.38;-12.12;6.5795655;6.4861917;2.0350714;
0.16638441;0.15149458;0.061391957;-45.42;-13.32;-11.7;6.277896;6.644209;3.7229836;
0.29039007;0.6261369;0.14385876;-43.14;-14.46;-12.3;4.2880154;6.526893;6.277896;
0.8096255;0.6585127;0.26847526;-43.5;-14.5199995;-13.32;4.331111;6.2491655;7.570765;
1.4675274;0.84665924;-0.070554934;-43.98;-13.98;-14.88;6.0432644;6.9482727;8.159739;
0.39973494;2.021353;-0.2770274;-42.84;-14.04;-15.719999;5.087978;6.112696;8.265083;
1.0185415;2.2406538;0.0125227375;-41.7;-14.94;-20.16;5.0329113;4.6710877;11.293749;
1.4430928;3.0164526;0.70157874;-39.66;-15.299999;-23.699999;7.0608;4.417302;11.731888;
1.804725;3.1563408;0.6753115;-37.02;-15.839999;-28.32;8.040029;3.8187518;11.494862;
1.8810831;3.163671;0.6215554;-33.719997;-17.16;-31.74;10.541969;5.0855837;9.907506;
0.9293551;3.4831536;0.2733622;-29.039999;-18.9;-35.16;9.021651;3.1196449;10.357615;
1.7796795;3.7055085;1.1560625;-24.0;-20.46;-39.0;10.187628;1.4460979;12.471696;
1.8425987;3.6065483;1.0790935;-18.0;-21.6;-40.02;12.567464;2.5809495;6.244377;
1.782123;3.264464;1.5085317;-12.96;-24.18;-40.559998;11.332056;3.550601;2.7461493;
0.5903249;2.4947736;1.1157454;-8.639999;-25.68;-40.32;11.446978;5.952285;1.4221559;
1.0576369;2.3041837;1.0778717;-6.7799997;-25.8;-38.94;10.1660795;5.016152;-0.46926352;
1.4394276;0.7104363;0.77121735;-3.84;-27.96;-38.46;6.6154785;4.7381253;-3.5745432;
0.25434902;0.07086037;0.85062987;-4.02;-30.119999;-37.14;7.1852984;7.0919247;-0.61291564;
